Category Name,``$REGION$``,ISO Alpha 3,FAO Area Code,Latitude Population Centroid 2020,Longitude Population Centroid 2020,World Bank Global Region,UN Sub-Region,UN Region
Afghanistan,afghanistan,AFG,2,34.61259162704533,67.50738688624715,South Asia,Southern Asia,Asia
Albania,albania,ALB,3,41.206902216622495,19.858921492475098,Europe & Central Asia,Southern Europe,Europe
Algeria,algeria,DZA,4,35.52456973326537,3.4940618716499725,Middle East & North Africa,Northern Africa,Africa
American Samoa,american_samoa,ASM,5,-14.309417466224012,-170.69043796973168,East Asia & Pacific,Polynesia,Oceania
Andorra,andorra,AND,6,42.524074431587934,1.5622809018626138,Europe & Central Asia,Southern Europe,Europe
Angola,angola,AGO,7,-10.344261092547796,14.50052171024844,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Antigua and Barbuda,antigua_and_barbuda,ATG,8,17.11104407329859,-61.81979961962799,Latin America & Caribbean,Latin America and the Caribbean,Americas
Argentina,argentina,ARG,9,-33.02016074802312,-61.31178135340029,Latin America & Caribbean,Latin America and the Caribbean,Americas
Armenia,armenia,ARM,1,40.27137496340707,44.59188287834807,Europe & Central Asia,Western Asia,Asia
Aruba,aruba,ABW,22,12.514940424597574,-69.99309963421958,Latin America & Caribbean,Latin America and the Caribbean,Americas
Australia,australia,AUS,10,-32.92057848099158,144.76537180599146,East Asia & Pacific,Australia and New Zealand,Oceania
Austria,austria,AUT,11,47.784309297575376,14.704342081855726,Europe & Central Asia,Western Europe,Europe
Azerbaijan,azerbaijan,AZE,52,40.269753135442485,48.13434451664671,Europe & Central Asia,Western Asia,Asia
Bahamas,bahamas,BHS,12,25.24753331285922,-77.4196415437923,Latin America & Caribbean,Latin America and the Caribbean,Americas
Bahrain,bahrain,BHR,13,26.16813952463928,50.56409490712132,Middle East & North Africa,Western Asia,Asia
Bangladesh,bangladesh,BGD,16,23.94161565207583,90.2513460628737,South Asia,Southern Asia,Asia
Barbados,barbados,BRB,14,13.14289391524375,-59.56395912796397,Latin America & Caribbean,Latin America and the Caribbean,Americas
Belarus,belarus,BLR,57,53.53764704959128,27.84199915729216,Europe & Central Asia,Eastern Europe,Europe
Belgium,belgium,BEL,255,50.84610282275092,4.439392635541555,Europe & Central Asia,Western Europe,Europe
Belize,belize,BLZ,23,17.362791210013814,-88.58002250413746,Latin America & Caribbean,Latin America and the Caribbean,Americas
Benin,benin,BEN,53,8.082779043871078,2.298194617743632,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Bermuda,bermuda,BMU,17,32.300149134980565,-64.78041104205377,North America,Northern America,Americas
Bhutan,bhutan,BTN,18,27.207468504836275,90.2306101697188,South Asia,Southern Asia,Asia
Bolivia,bolivia,BOL,19,-17.448059718991235,-65.61266248391492,Latin America & Caribbean,Latin America and the Caribbean,Americas
Bosnia and Herzegovina,bosnia_and_herzegovina,BIH,80,44.33233578094568,17.90670809744477,Europe & Central Asia,Southern Europe,Europe
Botswana,botswana,BWA,20,-22.9534502855006,25.623412615886394,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Brazil,brazil,BRA,21,-16.812879051332487,-45.79728954033165,Latin America & Caribbean,Latin America and the Caribbean,Americas
British Virgin Islands,british_virgin_islands,VGB,239,18.434546526206244,-64.58711161677347,Latin America & Caribbean,Latin America and the Caribbean,Americas
Brunei Darussalam,brunei_darussalam,BRN,26,4.847217962418056,114.81300577889294,East Asia & Pacific,South-eastern Asia,Asia
Bulgaria,bulgaria,BGR,27,42.72789158867999,25.03979295576417,Europe & Central Asia,Eastern Europe,Europe
Burkina Faso,burkina_faso,BFA,233,12.220239342141944,-1.8881692997149555,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Burundi,burundi,BDI,29,-3.252673820154001,29.841675961004103,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Cabo Verde,cabo_verde,CPV,35,15.682248394486493,-23.98199787272505,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Cambodia,cambodia,KHM,115,12.283430417013491,104.53538982755435,East Asia & Pacific,South-eastern Asia,Asia
Cameroon,cameroon,CMR,32,6.1732823835694886,11.811627824699311,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Canada,canada,CAN,33,46.89489854978547,-88.2494062260452,North America,Northern America,Americas
Cayman Islands,cayman_islands,CYM,36,19.3171650839192,-81.28696350135527,Latin America & Caribbean,Latin America and the Caribbean,Americas
Central African Republic,central_african_republic,CAF,37,5.448575796996445,18.43025498012064,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Chad,chad,TCD,39,11.632561356390148,17.539497076608463,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Chile,chile,CHL,40,-34.051241231816725,-71.27073369830202,Latin America & Caribbean,Latin America and the Caribbean,Americas
China,china,CHN,351,32.32707203975302,113.8166532483636,East Asia & Pacific,Eastern Asia,Asia
Colombia,colombia,COL,44,5.876475742782778,-74.85772312216821,Latin America & Caribbean,Latin America and the Caribbean,Americas
Comoros,comoros,COM,45,-11.974983887707817,43.59058359465768,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Costa Rica,costa_rica,CRI,48,9.973118541243776,-84.15880258906498,Latin America & Caribbean,Latin America and the Caribbean,Americas
Cote d'Ivoire,cote_divoire,CIV,107,6.69757848768579,-5.345088772222265,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Croatia,croatia,HRV,98,45.21783182287518,16.336943507708586,Europe & Central Asia,Southern Europe,Europe
Cuba,cuba,CUB,49,21.778468034142627,-79.32430745484376,Latin America & Caribbean,Latin America and the Caribbean,Americas
Curacao,curacao,CUW,279,12.147680177901796,-68.92284158923782,Latin America & Caribbean,Latin America and the Caribbean,Americas
Cyprus,cyprus,CYP,50,35.01709880562414,33.306806897319625,Europe & Central Asia,Western Asia,Asia
Czechia,czechia,CZE,167,49.83330043698138,15.52017182556361,Europe & Central Asia,Eastern Europe,Europe
Democratic People's Republic of Korea,democratic_peoples_republic_of_korea,PRK,116,39.64831686022044,126.5917992142774,East Asia & Pacific,Eastern Asia,Asia
Democratic Republic of the Congo,democratic_republic_of_the_congo,COD,250,-4.19595087637747,23.96874853904109,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Denmark,denmark,DNK,54,55.851698285559664,10.893625714680196,Europe & Central Asia,Northern Europe,Europe
Djibouti,djibouti,DJI,72,11.598914681264196,42.85233989521589,Middle East & North Africa,Sub-Saharan Africa,Africa
Dominica,dominica,DMA,55,15.38823623307312,-61.353284283170765,Latin America & Caribbean,Latin America and the Caribbean,Americas
Dominican Republic,dominican_republic,DOM,56,18.79692149978929,-70.14826718339356,Latin America & Caribbean,Latin America and the Caribbean,Americas
Ecuador,ecuador,ECU,58,-1.4073741145368794,-79.28042243277312,Latin America & Caribbean,Latin America and the Caribbean,Americas
Egypt,egypt,EGY,59,29.583001128359623,31.238757814489155,Middle East & North Africa,Northern Africa,Africa
El Salvador,el_salvador,SLV,60,13.723813814176916,-89.08136438629354,Latin America & Caribbean,Latin America and the Caribbean,Americas
Equatorial Guinea,equatorial_guinea,GNQ,61,2.166287548495497,9.935705244482769,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Eritrea,eritrea,ERI,178,15.507236149679,38.56002039157536,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Estonia,estonia,EST,63,59.01777528630226,25.455662946191964,Europe & Central Asia,Northern Europe,Europe
Eswatini,eswatini,SWZ,209,-26.52004615161722,31.42538866457827,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Ethiopia,ethiopia,ETH,238,9.013605978043008,38.60075579946292,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Faroe Islands,faroe_islands,FRO,64,62.04108501584852,-6.821704191196179,Europe & Central Asia,Northern Europe,Europe
Fiji,fiji,FJI,66,-17.710784935402057,169.967186595081,East Asia & Pacific,Melanesia,Oceania
Finland,finland,FIN,67,61.709536522543466,24.948237567759445,Europe & Central Asia,Northern Europe,Europe
France,france,FRA,68,47.0468681963262,2.6422035936870296,Europe & Central Asia,Western Europe,Europe
French Polynesia,french_polynesia,PYF,70,-17.289146434841914,-149.15204363058214,East Asia & Pacific,Polynesia,Oceania
Gabon,gabon,GAB,74,-0.3896138696376904,11.227625186169634,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Gambia,gambia,GMB,75,13.397926239277986,-16.060676506662375,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Georgia,georgia,GEO,73,41.9340904516794,43.70139195589455,Europe & Central Asia,Western Asia,Asia
Germany,germany,DEU,79,50.81961464949886,9.667407050727745,Europe & Central Asia,Western Europe,Europe
Ghana,ghana,GHA,81,6.867318574471042,-0.9873675272572372,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Gibraltar,gibraltar,GIB,82,36.137162388929504,-5.349052972771242,Europe & Central Asia,Southern Europe,Europe
Greece,greece,GRC,84,38.691966976191104,23.32912007506804,Europe & Central Asia,Southern Europe,Europe
Greenland,greenland,GRL,85,65.99382487032933,-50.66339946008936,Europe & Central Asia,Northern America,Americas
