strategy_code,TX:AGRC:DEC_CH4_RICE,TX:AGRC_DEC_DEMAND_FOR_UNHEALTHY_CROPS,TX:AGRC:DEC_EXPORTS,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,TX:AGRC:EXPAND_CONSERVATION_AGRICULTURE,TX:AGRC:INC_PRODUCTIVITY,TX:AGRC:INC_RESIDUE_REMOVAL,TX:CCSQ:INCREASE_CAPTURE,TX:ENTC:DEC_LOSSES,TX:ENTC:LEAST_COST,TX:ENTC:TARGET_RENEWABLE_ELEC,TX:ENTC:TARGET_RENEWABLE_ENERGY_PRODUCTION,TX:FGTV:DEC_LEAKS,TX:FGTV:INC_FLARE,TX:GNRL:DEC_RED_MEAT_CONSUMPTION,TX:INEN:FUEL_SWITCH_HI_AND_LO_HEAT,TX:INEN:FUEL_SWITCH_HI_HEAT,TX:INEN:FUEL_SWITCH_LO_HEAT,TX:INEN:INC_EFFICIENCY_ENERGY,TX:INEN:INC_EFFICIENCY_PRODUCTION,TX:IPPU:DEC_CLINKER,TX:IPPU:DEC_DEMAND,TX:IPPU:DEC_HFCS,TX:IPPU:DEC_N2O,TX:IPPU:DEC_OTHER_FCS,TX:IPPU:DEC_PFCS,TX:LNDU:DEC_DEFORESTATION,TX:LNDU:DEC_DEFORESTATION_AND_INC_SILVOPASTURE,TX:LNDU:DEC_SOC_LOSS_PASTURES,TX:LNDU:INC_LAND_REHABILITIATION,TX:LNDU:INC_SILVOPASTURE,TX:LNDU:PLUR,TX:LSMM:INC_CAPTURE_BIOGAS,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,TX:LSMM:INC_MANAGEMENT_OTHER,TX:LSMM:INC_MANAGEMENT_POULTRY,TX:LVST:DEC_ENTERIC_FERMENTATION,TX:LVST:DEC_EXPORTS,TX:LVST:INC_PRODUCTIVITY,TX:PFLO:IND_INC_CCS,TX:SCOE:DEC_DEMAND_HEAT,TX:SCOE:FUEL_SWITCH_HEAT,TX:SCOE:INC_EFFICIENCY_APPLIANCE,TX:SOIL:DEC_LIME_APPLIED,TX:SOIL:DEC_N_APPLIED,TX:TRDE:DEC_DEMAND,TX:TRNS:FUEL_SWITCH_LIGHT_DUTY,TX:TRNS:FUEL_SWITCH_MARITIME,TX:TRNS:FUEL_SWITCH_MEDIUM_DUTY,TX:TRNS:FUEL_SWITCH_RAIL,TX:TRNS:INC_EFFICIENCY,TX:TRNS:INC_OCCUPANCY,TX:TRNS:MODE_SHIFT_FREIGHT,TX:TRNS:MODE_SHIFT_PASSENGER,TX:TRNS:MODE_SHIFT_REGIONAL,TX:TRWW:INC_CAPTURE_BIOGAS,TX:TRWW:INC_COMPLIANCE_SEPTIC,TX:WALI:INC_TREATMENT_INDUSTRIAL,TX:WALI:INC_TREATMENT_RURAL,TX:WALI:INC_TREATMENT_URBAN,TX:WASO:DEC_CONSUMER_FOOD_WASTE,TX:WASO:INC_ANAEROBIC_AND_COMPOST,TX:WASO:INC_CAPTURE_BIOGAS,TX:WASO:INC_ENERGY_FROM_BIOGAS,TX:WASO:INC_ENERGY_FROM_INCINERATION,TX:WASO:INC_LANDFILLING,TX:WASO:INC_RECYCLING
BASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:DEC_CH4_RICE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:DEC_EXPORTS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:DEC_LOSSES_SUPPLY_CHAIN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:DEC_LOSSES_SUPPLY_CHAIN_PLUR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:EXPAND_CONSERVATION_AGRICULTURE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:INC_RESIDUE_REMOVAL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:INC_PRODUCTIVITY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:INC_PRODUCTIVITY_PLUR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:ALL,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRC:ALL_PLUR,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNDU:DEC_DEFORESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNDU:INC_LAND_REHABILITIATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNDU:INC_SILVOPASTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNDU:INC_SILVOPASTURE_PLUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNDU:INC_SUSTAINABLE_GRAZING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNDU:PLUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSMM:INC_MANAGEMENT_CATTLE_PIGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSMM:INC_MANAGEMENT_OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSMM:INC_MANAGEMENT_POULTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
