Transformer ID,Transformer,Sector,Transformer Code,Description,Variables Affected,,,,
0,Identity,,TX:IDENTITY,"The identity transformation, or the null transformation",,,,,
1003,AGRC: Decrease Exports,AF,TX:AGRC:DEC_EXPORTS,Decrease agricultural exports by 50% (relative to final time period),,,,,
1004,AGRC: Expand conservation agriculture,AF,TX:AGRC:EXPAND_CONSERVATION_AGRICULTURE," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",,,,,
1005,AGRC: Improve crop productivity,AF,TX:AGRC:INC_PRODUCTIVITY,Increase crop yield factors by 20%,,,,,
,AGRC: Increase residue removal,AF,TX:AGRC:INC_RESIDUE_REMOVAL,"Unlike conservation agriculture, remove residues from croplands. However, does not coincide with no till agriciulture.",,,,,
1007,AGRC: Improve rice management,AF,TX:AGRC:DEC_CH4_RICE,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,,,,,
1008,AGRC: Reduce supply chain losses,AF,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),,,,,
1010,LNDU: Increase Reforestation,AF,TX:LNDU:INC_REFORESTATION,Increases probability of input land use classes being converted to ,,,,,
1011,LNDU: Stop deforestation,AF,TX:LNDU:DEC_DEFORESTATION,Halt deforestation of primary and secondary forests,,,,,
1012,LNDU: Expand silvopasture,AF,TX:LNDU:INC_SILVOPASTURE,"Increase the use of silvopasture; modeled by shifting 30% of pasture (in final time period) to secondary forests over time; livestock carrying capacities increase to meet the change, while pasture fractions of grassland decrease.",,,,,
1014,LNDU: Expand sustainable grazing practices,AF,TX:LNDU:DEC_SOC_LOSS_PASTURES," | Decrease soil organic carbon loss in grasslands through sustainable grazing practices
 | 
 | **Grasslands**: Increase :math:`F_{MG}` for ``grasslands`` to 1.157 (see V4, Chapter 6, Table 6.2 [2019R] for grasslands management factors :math:`F_{MG}` under different management regimes--mean of *Improved Grassland*)",,,,,
1016,LNDU: Rehabilitate degraded land,AF,TX:LNDU:INC_LAND_REHABILITIATION,,,,,,
1017,LSMM: Improve manure management for cattle and pigs,AF,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS," | 95% of manure from cattle (dairy and non-dairy) and pigs is treated. Under default conditions, the manure treated is sent to the following pathways:
 |    37.5% to Anaerobic Digestion
 |    12.5% to Composting
 |    25.0% to Daily Spread
 |    12.5% to Deep Bedding
 |    12.5% to Solid Storage",,,,,
1018,LSMM: Improve manure management for other animals,AF,TX:LSMM:INC_MANAGEMENT_OTHER," | 95% of manure from all other animals is treated. The manure treated is sent to the following pathways:
 |    37.5.% to Composting
 |    12.5% to Dry Lot
 |    25.0% to Daily Spread
 |    25.0% to Solid Storage",,,,,
1019,LSMM: Improve manure management for poultry,AF,TX:LSMM:INC_MANAGEMENT_POULTRY," | 95% of manure from poultry (chickens) and pigs is treated. The manure treated is sent to the following pathways:
 |    100% to Poultry Management",,,,,
