Variable Type,Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,``$CAT-SOIL-MANAGEMENT$``,Emissions Total by Gas Component
Input,Agriculture Equivalent Exports,Exports of agricultural equivalent products (mass of crops).,``exports_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,0,1,1,none,0
Input,Agriculture Fraction Dry," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1",``frac_agrc_$CAT-AGRICULTURE$_cl2_dry``,,,,,0,1,1,``dry_climate``,0
Input,Agriculture Fraction Temperate," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1",``frac_agrc_$CAT-AGRICULTURE$_cl1_temperate``,,,,,0,1,1,``temperate_crop_grass``,0
Input,Agriculture Fraction Tropical," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1",``frac_agrc_$CAT-AGRICULTURE$_cl1_tropical``,,,,,0,1,1,``tropical_crop_grass``,0
Input,Agriculture Fraction Wet," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1",``frac_agrc_$CAT-AGRICULTURE$_cl2_wet``,,,,,0,1,1,``wet_climate``,0
Input,Crop Demand Income Elasticity,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita",``elasticity_agrc_$CAT-AGRICULTURE$_demand_to_income``,,See the `USDSA Commodity and Food Elasticities Database <https://www.ers.usda.gov/data-products/commodity-and-food-elasticities/>`_ for baseline elasticies by country.,,,0,0.8,1.2,none,0
Input,Crop Fraction Animal Feed,"Proportion of the crop yield that is used for animal feed. Used to adjust demand for crops in response to changing animal populations. Demands for non-animal feed are driven by gdp/capita. Trivial proportions (e.g., radish tops) can be ignored. ",``frac_agrc_initial_yield_feed_$CAT-AGRICULTURE$``,,"Loose proportions dervied from `Statista <https://www.statista.com/statistics/1099196/brazil-corn-animal-feed/>`_ (quantity of Maize yield used for livestock feed), `FAO <https://www.fao.org/faostat/en/#data/QCL>`_ (total yield), and `VOX <https://www.vox.com/2014/8/21/6053187/cropland-map-food-fuel-animal-feed>`_ (conceptual importance).",,,0,1,1,none,0
Input,Crop Yield Factor,Yield (metric tons) per hectare of crops planted,"``yf_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$_$UNIT-AREA$`` (``$UNIT-MASS$ = tonne``, ``$UNIT-AREA$ = ha``)",,,,,0,0.8,1.2,none,0
Input,Fraction of Agriculture Demand Imported," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products.",``frac_agrc_crop_demand_imported_$CAT-AGRICULTURE$``,,,,,0,1,1,none,0
Input,Initial Cropland Area Proportion,"Proportion of total **crop** area (%/100), where crop area is calculated as the product of the country's area (``area_country_ha``) and the fraction of land use that is devoted to crop land (``frac_lu_cropland``)",``frac_agrc_initial_area_cropland_$CAT-AGRICULTURE$``,,,,,0,1,1,none,0
Output,Adjusted Agriculture Equivalent Exports,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss),``exportsadj_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,1,1,1,none,0
Output,Adjusted Agriculture Equivalent Imports,Final total endogenous imports following adjustments to land use (reallocation and/or import/export loss),``importssadj_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,1,1,1,none,0
Output,Changes to Agriculture Net Imports Lost," | Use this value to quantify the opportunity cost of reducing crop production for export.
 | 
 | If specifying values of **Fraction of Changes to Net Exports Met** or **Fraction of Changes to Net Imports Met**  :math:`\not= 1` (see variables in the `Land Use <../afolu.html#land_use>_` subsector), then reductions in changes to net imports may incur economic costs. ",``qty_agrc_changes_in_net_imports_lost_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,1,1,1,none,0
Output,Crop Area,Total area of each crop given in terms of the value specified in the configuration parameter ``area_units``.,``area_agrc_crops_$CAT-AGRICULTURE$``,,,,,1,1,1,none,0
Output,Crop Demand,Total tonnage of crops demanded,``demand_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,1,1,1,none,0
Output,Crop Yield,Total tonnage of crops yielded,``yield_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,1,1,1,none,0
Output,Cropland Area Proportion,Proportion of cropland represented by each crop,``frac_area_cropland_calculated_$CAT-AGRICULTURE$``,,,,,1,1,1,none,0
