Variable Type,Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Input,:math:`\text{N}_2\text{O}` Incineration Emission Factor,Based on IPCC Tier 2 approach (default emission factors with waste composition),"``ef_waso_incineration_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = n2o``, ``$UNIT-MASS$ = tonne``)",,"Default values taken from IPCC GNGHGI V5, C5, Tables 5.4 (MSW defaults, excluding plastic, wood, paper, and sludge) and 5.5 (industrial, sludge, wood, paper, and plastic). Note that the emission factors are unitless and are converted to tonne/tonne.",,,0,1,1,0
Input,Elasticity of Municipal Solid Waste Produced to GDP per Capita,"The elasticity of waste per capita to GDP per capita, which is used to estimate increases in waste as population and GDP/capita rise.",``elasticity_waso_msw_to_gdppc_$CAT-WASTE-SOLID$``,,,,,0,1,1,0
Input,Initial Composition Fraction Industrial Solid Waste,Represents the fraction of all industrial solid waste represented by this type,``frac_waso_initial_composition_ind_$CAT-WASTE-SOLID$``,,"Defaults taken as average between Central and South American from V5, C2",,,0,1,1,0
Input,Initial Composition Fraction Municipal Solid Waste,Represents the initial fraction of all domestic solid waste represented by this type. Per capita growth rates in waste generated by category are projected by applying elasticities to changes in gdp/capita.,``frac_waso_initial_composition_mun_$CAT-WASTE-SOLID$``,,,,,0,1,1,0
Input,K," | Methane Generation Rate :math:`k`, a physical parameter characterizing the mass decay half-life of each type of waste that is landfilled.
 | 
 | Default values of *k* are taken from Volume 5, Chapter 3, Table 3.3 of the IPCC Guidelines for National Greenhouse Gas Inventories.",``physparam_waso_k_$CAT-WASTE-SOLID$``,,"Note that, for a half life *t*, the factor *k* is found as :math:`k = \ln(2)/t`.",,,0,1,1,0
Input,Waste Per Capita Scale Factor," | Use the scale factor to represent reduction measures in waste production within a category; for example, waste reduction campaigns might affect all categories, but a tax on plastic might only reduce the generation of plastic waste.
 |
 | **IMPORTANT NOTE**: For the sludge cateogry, this factor will only affect sludge that is specified exogenously. It will **not** affect sludge produced from aerobic and septic wastewater treatement in the Wastewater Treatment subsector. Any interventions to reduce sludge produced in wastewater treatment should be addressed in the wastewater treatment sector.",``factor_waso_waste_per_capita_scalar_$CAT-WASTE-SOLID$``,,none,,,0,1,1,0
Output,:math:`\text{CH}_4` Emissions from Landfills,Captures :math:`\text{CH}_4` emissions from landfills (:math:`\text{CH}_4` is assumed to be 50% of landfill gas.,``emission_co2e_$EMISSION-GAS$_waso_landfilled_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``),,,,,1,1,1,1
Output,:math:`\text{CH}_4` Emissions from Open Dumping,"Captures :math:`\text{CH}_4` emissions from open dumping. Aerobic decomposition can occur at lower levels with open dumping, but there is no collection of gas.",``emission_co2e_$EMISSION-GAS$_waso_open_dump_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``),,,,,1,1,1,1
Output,Total Solid Waste Produced,Total waste produced from industry and municipal sources. ,``qty_waso_total_$CAT-WASTE-SOLID$_produced_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,none,**NOTE** Sludge produced from treatment of industrial wastewater is included in the total municiapal waste produced. ,,1,1,1,0
Output,Total Waste Incinerated,Total quantity of waste incinterated in tonnes.,``qty_waso_incinerated_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,1,1,1,0
Output,Total Waste Landfilled,Total quantity of waste landfilled in tonnes.,``qty_waso_landfilled_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,1,1,1,0
Output,Total Waste Open Dumped,Total quantity of waste open dumped in tonnes.,``qty_waso_open_dump_$CAT-WASTE-SOLID$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,,,,1,1,1,0
