Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Input,:math:`\text{CH}_4` Crop Anaerobic Decomposition Emission Factor,Annual average :math:`\text{CH}_4` (methane) emitted per ha of crop grown. **Rice** is the only crop that should be non-zero. This will be 0 for most crops (or negligible).,"``ef_agrc_anaerobicdom_$CAT-AGRICULTURE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = kg``)",,``rice``,,,,0,1,1,0
Input,:math:`\text{CH}_4` Crop Biomass Burning Emission Factor," | Annual average :math:`\text{CH}_4` (methane) emitted per mass of crop residue burned (dimensionless).
 | 
 | See V4, C2, Equation 2.27 and Table 2.5 for equation and default emission factors.",``ef_agrc_biomass_burning_$EMISSION-GAS$`` (``$EMISSION-GAS$ = ch4``),,none,,,,0,1,1,0
Input,:math:`\text{CO}_2` Crop Biomass Emission Factor,Annual average :math:`\text{CO}_2` (carbon dioxide) emitted per mass of crop grown due to biomass growth and associated changes in carbon stock. Applies only to perennial woody crops.,"``ef_agrc_biomass_$CAT-AGRICULTURE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = tonne``)",,``bevs_and_spices``|``fruits``|``nuts``|``other_woody_perennial``,See sections 5.2.1 and 5.2.2 of the `IPCC Guidelines for National Greenhouse Gas Inventories <https://www.ipcc.ch/report/2019-refinement-to-the-2006-ipcc-guidelines-for-national-greenhouse-gas-inventories/>`_,,,0,1,1,0
Input,:math:`\text{N}_2\text{O}` Crop Biomass Burning Emission Factor," | Annual average :math:`\text{N}_2\text{O}` (nitrous oxide) emitted per mass of crop residue burned (dimensionless).
 | 
 | See V4, C2, Equation 2.27 and Table 2.5 for equation and default emission factors.",``ef_agrc_biomass_burning_$EMISSION-GAS$`` (``$EMISSION-GAS$ = n2o``),,none,,,,0,1,1,0
Input,Above Ground Residue Dry Matter Intercept,,"``regressionb_agrc_above_ground_residue_$CAT-AGRICULTURE$_$UNIT-MASS$_per_$UNIT-AREA$`` (``$UNIT-MASS$ = kg``, ``$UNIT-AREA$ = ha``)",,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,,,0,1,1,0
Input,Above Ground Residue Dry Matter Slope,,"``regressionm_agrc_above_ground_residue_$CAT-AGRICULTURE$_$UNIT-MASS$_per_$UNIT-AREA$`` (``$UNIT-MASS$ = kg``, ``$UNIT-AREA$ = ha``)",,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,,,0,1,1,0
Input,AGRC Combustion Factor,"The combustion factor :math:`C_f` gives the ""proportion of prefire fuel biomass consumed"" by fires. See Table 2.6, IPCC GNGHGI (2019R). ",``frac_agrc_combustion_factor_$CAT-AGRICULTURE$``,,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,,,0,1,1,0
Input,Dry Matter Fraction of Harvested Crop,See :math:`DRY` in Equation 11.7 in IPCC GNGHGI and Table 11.1A (2019R),``frac_agrc_dry_matter_of_harvest_$CAT-AGRICULTURE$``,,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,,,0,1,1,0
Input,Fraction of Food Loss Sent to Municipal Solid Waste,Use this variable to represent  food lost in the supply chain that is sent to municipal solid waste streams. Includes *pre-consumer*--such as waste by distributors and retailers--waste (integrated with waste model). ,``frac_agrc_production_lost_sent_to_msw``,,none,,,,0,1,1,0
Input,Fraction of Food Produced Lost Before Consumption,Fraction of food that is produced that is lost or wasted before selling. This fraction represents production-side waste (post-yield) and does not include waste by consumers.,``frac_agrc_agriculture_production_lost``,,none,,,,0,1,1,0
Input,Fraction of Residues Burned," | Fraction of residues burned. NOTE: whatever is not removed or burned is assumed to be left as inputs to crops.
 | 
 | Total of Fraction of Residues Removed and Fraction of Residues Burned must be less than or equal to 1.",``frac_agrc_crop_residues_burned``,,none,,,,0,1,1,0
Input,Fraction of Residues Removed," | Fraction of residues removed. NOTE: whatever is not removed or burned is assumed to be left as inputs to crops.
 | 
 | Total of Fraction of Residues Removed and Fraction of Residues Burned must be less than or equal to 1.",``frac_agrc_crop_residues_removed``,,none,,,,0,1,1,0
Input,N Content of Above Ground Residues,See :math:`N_{AG(T)}` in Equation 11.6 in IPCC GNGHGI and Table 11.1A (2019R),``frac_agrc_n_in_above_ground_residue_$CAT-AGRICULTURE$``,,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,,,0,1,1,0
Input,N Content of Below Ground Residues,See :math:`N_{BG(T)}` in Equation 11.6 in IPCC GNGHGI and Table 11.1A (2019R),``frac_agrc_n_in_below_ground_residue_$CAT-AGRICULTURE$``,,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,,,0,1,1,0
Input,No Till Crop Fraction,Fraction of crop area that is subject to no-till,``frac_agrc_no_till_$CAT-AGRICULTURE$``,,``cereals``|``fibers``|``other_annual``|``pulses``|``tubers``|``vegetables_and_vines``,,,,1,1,1,0
Input,Ratio of Above Ground Residue to Harvested Yield,,``ratio_agrc_above_ground_residue_to_yield_$CAT-AGRICULTURE$``,,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,,,0,1,1,0
Input,Ratio of Below Ground Biomass to Above Ground Biomass,,``ratio_agrc_below_ground_to_above_ground_biomass_$CAT-AGRICULTURE$``,,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,,,0,1,1,0
Output,:math:`\text{CH}_4` Emissions from Biomass Burning,,``emission_co2e_$EMISSION-GAS$_agrc_biomass_burning`` (``$EMISSION-GAS$ = ch4``),,none,,,,1,1,1,1
Output,:math:`\text{CH}_4` Emissions from Rice,Captures :math:`\text{CH}_4` emissions from rice paddies,``emission_co2e_$EMISSION-GAS$_agrc_anaerobicdom_$CAT-AGRICULTURE$`` (``$EMISSION-GAS$ = ch4``),,``rice``,,,,1,1,1,1
Output,:math:`\text{CO}_2` Emissions from Biomass Carbon Stock Changes,,``emission_co2e_$EMISSION-GAS$_agrc_biomass_$CAT-AGRICULTURE$`` (``$EMISSION-GAS$ = co2``),,``bevs_and_spices``|``fruits``|``nuts``|``other_woody_perennial``,,,,1,1,1,1
Output,:math:`\text{CO}_2` Emissions from Soil Carbon in Organic Soils,Emissions of :math:`\text{CO}_2` in from drained organic soils.,``emission_co2e_$EMISSION-GAS$_agrc_soil_carbon_organic_soils`` (``$EMISSION-GAS$ = co2``),,none,,,,1,1,1,1
