Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,``$CAT-SOIL-MANAGEMENT$``,Emissions Total by Gas Component
Input,Fraction of Increasing Net Exports Met," | Fractional of changes to net exports to meet. Values less than 1 reduce endogenous production rates (yields in crops, heads per acre in livestock) if changes to net imports are negative. 
 | 
 | **Note**: Applied **after carrying capacity scalars** are accounted for.",``frac_lndu_increasing_net_exports_met_$CAT-LANDUSE$``,,``croplands``|``grasslands``,,,,0,1,1,none,0
Input,Fraction of Increasing Net Imports Met," | Fractional of changes to net imports to meet. Values less than 1 increase endogenous production rates (yields in crops, heads per acre in livestock) if changes to net imports are positive. 
 | 
 | **Note**: Applied **after carrying capacity scalars** are accounted for.",``frac_lndu_increasing_net_imports_met_$CAT-LANDUSE$``,,``croplands``|``grasslands``,,,,0,1,1,none,0
Input,Fraction of Pastures Improved,Fraction of pasture that is improved using sustainable grazing.,``frac_lndu_improved_$CAT-LANDUSE$``,,``grasslands``,,,,1,1,1,none,0
Input,Fraction of Soils Mineral,See ` Giulia Conchedda and Francesco N. Tubiello (2020) <https://doi.org/10.5194/essd-12-3113-2020>`_; 3% of soils globally are organic. Default value of 0.97 is assumed to be complement.,``frac_lndu_soil_mineral_$CAT-LANDUSE$``,,``croplands``|``grasslands``|``forests_mangroves``|``forests_primary``|``forests_secondary``|``other``|``settlements``,,,,0,1,1,none,0
Input,Land Use BOC :math:`\text{CH}_4` Emission Factor,Annual average :math:`\text{CH}_4` emitted per ha due decay of organic matter (**CHECK THIS**).,"``ef_lndu_boc_$CAT-LANDUSE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$``  (``$UNIT-MASS$ = gg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-AREA$ = ha``)",,``wetlands``,,,,0,1,1,none,0
Input,Land Use Fraction Dry," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Land Use Fraction Dry and Land Use Fraction Wet must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl2_dry``,,``grasslands``|``other``|``settlements``,,,,0,1,1,``dry_climate``,0
Input,Land Use Fraction Fertilized,Fraction of the land use category that receives fertilizer. Used to identify agricultural grasslands.,``frac_lndu_receiving_fertilizer_$CAT-LANDUSE$``,,``croplands``|``grasslands``,,,,0,1,1,none,0
Input,Land Use Fraction Temperate," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Land Use Fraction Temperate and Land Use Fraction Tropical must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl1_temperate``,,``grasslands``,,,,0,1,1,``temperate_crop_grass``,0
Input,Land Use Fraction Tropical," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Land Use Fraction Temperate and Land Use Fraction Tropical must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl1_tropical``,,``grasslands``,,,,0,1,1,``tropical_crop_grass``,0
Input,Land Use Fraction Wet," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Land Use Fraction Dry and Land Use Fraction Wet must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl2_wet``,,``grasslands``|``other``|``settlements``,,,,0,1,1,``wet_climate``,0
Input,Land Use Yield Reallocation Factor,"The land use yield reallocation factor :math:`\eta \in [0, 1]` is used to represent land use responsiveness to changes in demands. 
 | 
 | If :math:`\eta = 1`, then **land use will be reallocated**, diverging from the specified transition matrix. If demands exceed carrying capacity to meet all livestock and crop demands, then the transitions into grassland and cropland are increased to meet demands. If the carrying capacity exceeds demand, then transitions to grassland and croplands are reduced (which also increases forested land). 
 | 
 | If :math:`\eta = 0`, then **land use will remain as specified**, and all remaining demands with be met with net imports. If the demand is less then carrying capacity, then there is an increase in net exports; if demand exceeds carrying capacity, there is an increase in net imports.
 | 
 | For :math:`\eta \in (0, 1)`, there is a mix of reallocation and net imports, which scales linearly between extremes.
",``lndu_reallocation_factor``,,none,,,,0,0,2,none,0
Input,Maximum Soil Carbon Land Input Factor Without Manure," | See :math:`F_{I}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R). 
 | 
 | Used to represent supremum of soil carbon storage if residues are used as inputs (no manure)",``factor_lndu_soil_inputs_supremum_without_manure_$CAT-LANDUSE$``,,``croplands``,,,,0,1,1,none,0
