Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Input,Biogas Recovery Factor at LSMM Anaerobic Digesters,,``gasrf_lsmm_biogas_$CAT-MANURE-MANAGEMENT$``,,``anaerobic_digester``,,,,0,1,1,0
Input,Fraction of Nitrogen Used in Fertilizer," | This scalar represents the fraction of total volatile solids (manure) available for fertilizer. Some categories, like ``deep_bedding`` are often combined with others. To avoid mutli-stage management, entries for these categories should specify a fraction of manure that will eventually end up used in fertilizer.
 | 
 | **NOTE:** Incineration is included since urine is separated and sent to fertilizer. The fraction that is sent to fertilizer is applied only to nitrogen in urine.",``frac_lsmm_manure_to_fertilizer_$CAT-MANURE-MANAGEMENT$``,,``anaerobic_lagoon``|``daily_spread``|``deep_bedding``|``dry_lot``|``incineration``|``liquid_slurry``|``poultry_manure``|``storage_solid``,,,,0,1,1,0
Input,Nitrogen from Bedding per Animal," | Represents :math:`N_{beddingMS_{(T, S)}}` in Equation 10.34 in V4, C10 IPCC GNGHGI 2019R, or the amount of nitrogen from bedding. 
 | 
 | Applies only to solid storage and deep bedding.",``qty_lsmm_nitrogen_in_bedding_$UNIT-MASS$_per_head_$CAT-MANURE-MANAGEMENT$`` (``$UNIT-MASS$ = kg``),,``deep_bedding``|``storage_solid``,"See V4, C10 (2019R) 10.95 for a description of default values.",,,0,1,1,0
Input,Nitrogen from Co-Digestates Factor,Factor applied to mass of dung used in anaerobic digesters to estimate relative mass of nitrogen.,``factor_lsmm_n_from_codigestates_$CAT-MANURE-MANAGEMENT$``,,``anaerobic_digester``,,,,0,1,1,0
Input,Ratio of :math:`\text{N}_2` to :math:`\text{N}_2\text{O}`,"See :math:`R_{N_2(N_2O)}` in Equation 10.34B, V4,C10 IPCC GNGHGI 2019R",``ratio_lsmm_n2_to_n2o``,,none,,,,0,1,1,0
Output,Dung Incinerated,,``qty_lsmm_dung_to_incinerate_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,none,,,,0,1,1,0
Output,LSMM Biogas Recovered from Anaerobic Digesters,,``gasrecovered_lsmm_biogass_$CAT-MANURE-MANAGEMENT$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),,``anaerobic_digester``,,,,0,1,1,0
Output,Total Nitrogen Available for Construction/Feed/Other,"Managed manure that is not used for fertilizer can be used for construction, feed, or left at point of use. This gives the amount used for these totals.",``qty_lsmm_total_n_used_for_other_$UNIT-MASS$ (``$UNIT-MASS$ = kt``),,none,,,,0,1,1,0
Output,Total Nitrogen Available for Fertilizer from Dung,,``qty_lsmm_total_n_to_fertilizer_from_dung_$UNIT-MASS$ (``$UNIT-MASS$ = kt``),,none,,,,0,1,1,0
Output,Total Nitrogen Available for Fertilizer from Urine,,``qty_lsmm_total_n_to_fertilizer_from_urine_$UNIT-MASS$ (``$UNIT-MASS$ = kt``),,none,,,,0,1,1,0
Output,Total Nitrogen to Pastures,Deposits from the ``pasture_paddock_range`` category are treated in the Soil Management subsector. This variable is used to pass total nitrogen deposits to the soil management subsector model.,``qty_lsmm_total_n_to_pastures_$UNIT-MASS$ (``$UNIT-MASS$ = kt``),,none,,,,0,1,1,0
