Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component,Simplex Group
Input,:math:`\text{CH}_4` Anaerobic Biogas Emission Factor,Emission factor representing fugitive emissions of methane from anaerobic decomposition in biogas facilities.,"``ef_waso_biogas_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",,``food``|``sludge``|``yard``,"Default set as mean between wet and dry weight factors from Volume 5, Table 4.1 in IPCC Guidelines for NGHG Inventories.",,,0,0.57,1.43,0,
Input,:math:`\text{CH}_4` Composting Emission Factor,Emission factor representing emissions of methane from composting of organic materials,"``ef_waso_compost_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",,``food``|``sludge``|``yard``,"Default set as mean between wet and dry weight factors from Volume 5, Table 4.1 in IPCC Guidelines for NGHG Inventories.",,,0,0.57,1.43,0,
Input,:math:`\text{CH}_4` ISW Incineration Emission Factor,Based on IPCC Tier 1 approach--:math:`\text{CH}_4` emissions from incineration or open burning of ISW.,"``ef_waso_incineration_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_isw`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",,none,"Nominal value is mean across all types of incineration technology and open burning (6500g/t waste) (Volume 5, Table 5.3), or 998.7 g/tonne. This is rounded up to 1 kg/tonne, or 0.001 kg/kg.",,,0,0.2,2,0,
Input,:math:`\text{CH}_4` MSW Incineration Emission Factor,Based on IPCC Tier 1 approach--:math:`\text{CH}_4` emissions from incineration or open burning of MSW.,"``ef_waso_incineration_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_msw`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",,none,"Nominal value is mean across all types of incineration technology and open burning (6500g/t waste) (Volume 5, Table 5.3), or 998.7 g/tonne. This is rounded up to 1 kg/tonne, or 0.001 kg/kg.",,,0,0.2,2,0,
Input,:math:`\text{CH}_4` Recovery Factor Landfill Gas,Factor representing how much methane is extracted from landfill gas that is recovered.,``gasrf_waso_landfill_to_$EMISSION-GAS$`` (``$EMISSION-GAS$ = ch4``),,none,,,,0,1,1,0,
Input,:math:`\text{N}_2\text{O}` Composting Emission Factor,Emission factor representing emissions of nitrus oxide from composting of organic materials,"``ef_waso_compost_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = n2o``, ``$UNIT-MASS$ = kg``)",,``food``|``sludge``|``yard``,"Default is set as mean between wet and dry weight factors from Volume 5, Table 4.1 in IPCC Guidelines for NGHG Inventories.",,,0,0.57,1.43,0,
Input,Average Annual Waste Transported Per Waste Collection Vehicle,"Average annual total waste collected per waste collection vehicle. Used to calculate a marginal increase in heavy transport transportation demand resulting from an increase in waste collection, which is passed to the transportation model.",``qty_waso_annual_waste_collected_$UNIT-MASS$_per_vehicle`` (``$UNIT-MASS$ = tonne``),,none,,,,0,1,1,0,
Input,Average Methane Correction Factor at Landfills,"The Methane Correction Factor represents different management approaches for solid waste disposal at landfills. See Volume 5, Chapter 3, Table 3.1 of IPCC Guidelines for National Greenhouse Gas Inventories for default MCFs.",``mcf_waso_average_landfilled``,,none,,,,0,1,1,0,
Input,Average Methane Correction Factor for Open Dumping,"The Methane Correction Factor represents different management approaches for solid waste disposal at landfills. See Volume 5, Chapter 3, Table 3.1 of IPCC Guidelines for National Greenhouse Gas Inventories for default MCFs.",``mcf_waso_average_open_dump``,,none,,,,0,1,1,0,
Input,Average Oxidization Factor at Landfills,"Oxidization factor (see V5, C3, Table 3.2) for landfills. The oxidization factor represents a practice at well-managed landfills of covering landfills with with :math:`\text{CH}_4` oxidising material--e.g., soild or compost. Should not exceed 0.1.",``oxf_waso_average_landfilled``,,none,,,,0,1,1,0,
Input,Average VKMT Per Waste Collection Vehicle,"Average annual Vehicle Kilometers Traveled (VKMT) per waste collection vehicle. Used to calculate a marginal increase in heavy transport transportation demand resulting from an increase in waste collection, which is passed to the transportation model.",``vkmt_per_vehicle_waso``,,none,,,,0,1,1,0,
Input,Biogas Recovery Factor,Factor representing faction of biogas recovered for energy production. Recovery of biogass prevents emissions.,``gasrf_waso_biogas``,,none,,,,0,1,1,0,
Input,Fraction of ISW Incineration Recovered for Energy,Incineration can be open burning or for energy. This fraction :math:`a` represents the how much ISW is incinerated for energy production. :math:`1 - a` is then assumed to be some mix of open burning and icineration. Incinerable waste can be passed to the Energy model as a Fuel.,``frac_waso_isw_incinerated_recovered_for_energy``,,none,,,,0,1,1,0,
Input,Fraction of Landfill Gas Recovered at Landfills,"Represents the proportion of methane emitted at landfills that is captured. This represents an average over the country across all landfills, as SISEPUEDE does not distinguish between sanitary landfills, controlled landfills, or other landfills.",``frac_waso_landfill_gas_recovered``,,none,,,,0,1,1,0,
Input,Fraction of Landfill Gas Recovered for Energy,Landfil gas can be captured and converted to energy. This fraction :math:`a` represents the how much landfil gas that is *captured* is converted to energy. :math:`1 - a` is then assumed to be recovered and not converted to energy (or flared). Landfill gas can be passed to the Energy model as a Fuel.,``frac_waso_lgc_recovered_for_energy``,,none,,,,0,1,1,0,
Input,Fraction of Methane Flared at Composting Facilities,,``frac_waso_compost_methane_flared``,,none,,,,0,1,1,0,
Input,Fraction of MSW Incineration Recovered for Energy,Incineration can be open burning or for energy. This fraction :math:`a` represents the how much MSW is incinerated for energy production. :math:`1 - a` is then assumed to be some mix of open burning and icineration. Incinerable waste can be passed to the Energy model as a Fuel.,``frac_waso_msw_incinerated_recovered_for_energy``,,none,,,,0,1,1,0,
Input,Fraction of Non-Recycled Solid Waste Incinerated,Proportion of non-recycled municipal waste that is burned in incineration facilities and in open burn sites. ,``frac_waso_non_recycled_incinerated``,,none,,,,0,1,1,0,1
Input,Fraction of Non-Recycled Solid Waste Landfilled,Proportion of non-recycled municipal waste that is landfilled. Landfills include different levels of management,``frac_waso_non_recycled_landfilled``,,none,,,,0,1,1,0,1
Input,Fraction of Non-Recycled Solid Waste Open Dumps,Proportion of non-recycled municipal waste that is ends up in open dumpsites,``frac_waso_non_recycled_open_dump``,,none,,,,0,1,1,0,1
Input,Fraction of Waste Composted,"Fraction of waste in category ``CAT-WASTE-SOLID`` composted. This value should be :math:`\in [0, 1]`.",``frac_waso_compost_$CAT-WASTE-SOLID$``,,``food``|``sludge``|``yard``,,,,0,1,1,0,
Input,Fraction of Waste Recycled,"Fraction of waste in category ``CAT-WASTE-SOLID`` that is recycled. This value should be :math:`\in [0, 1]`.",``frac_waso_recycled_$CAT-WASTE-SOLID$``,,``glass``|``metal``|``paper``|``plastic``|``rubber_leather``|``textiles``|``wood``,,,,0,1,1,0,
Input,Fraction of Waste Treated Anaerobically,"Fraction of waste in category ``CAT-WASTE-SOLID`` treated anaerobically. This value should be :math:`\in [0, 1]`.",``frac_waso_biogas_$CAT-WASTE-SOLID$``,,``food``|``sludge``|``yard``,,,,0,1,1,0,
Input,Historical Back Projection Growth Rate in Solid Waste Generation,Primary a calibration parameter if using the back-projection method for solid waste. The growth rate at time :math:`t = 0` is applied backwards to estimate waste landfilled in previous years. The back projection method should only be used in the absence of historical data.,``historical_back_projection_growth_rate``,,none,,,,0,1,1,0,
Input,Initial Per Capita Municipal Solid Waste Generated,"Represents the estimated quantity, in kg/person, of solid waste generated per person at time :math:`t = 0`. The total waste generated per person is then estimated for each waste composition category using the elasticity of waste production to income (GDP/Capita).",``qty_waso_initial_municipal_waste_$UNIT-MASS$_per_capita`` (``$UNIT-MASS$ = tonne``),,none,"Country level data are available from the  `World Bank Waste Database <https://datacatalog.worldbank.org/search/dataset/0039597>`_. Additional regional defaults are available in V5, C2, Table 2.1 of IPCC GNGHGI  for default rates by region. ",,,0,1,1,0,
