Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,``$CAT-FUEL$``,Abbreviation Subsector,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Input,:math:`\text{CH}_4` Fuel Production NemoMod EmissionsActivityRatio, | Ratio of emissions of :math:`\text{CH}_4` to energy produced.,"``nemomod_entc_emissions_activity_ratio_fuel_production_$CAT-TECHNOLOGY$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``, ``$UNIT-MASS$ = tonne``)",,``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,none,0,1,1,0
Input,:math:`\text{CH}_4` NemoMod EmissionsActivityRatio Scalar,Scalar applied to the stationary combustion emission factor associated with a power technology's fuel. Can be used to represent carbon capture or other reductions in emissions not associated with efficiency improvements. ,``nemomod_entc_emissions_activity_ratio_scalar_$CAT-TECHNOLOGY$_$EMISSION-GAS$`` (``$EMISSION-GAS$ = ch4``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,none,0,1,1,0
Input,:math:`\text{CO}_2` Fuel Production NemoMod EmissionsActivityRatio, | Ratio of emissions of :math:`\text{CO}_2` to energy produced.,"``nemomod_entc_emissions_activity_ratio_fuel_production_$CAT-TECHNOLOGY$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-ENERGY$ = tj``, ``$UNIT-MASS$ = tonne``)",,``fp_hydrogen_gasification``|``fp_hydrogen_reformation``|``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,none,0,1,1,0
Input,:math:`\text{CO}_2` NemoMod EmissionsActivityRatio Scalar,Scalar applied to the stationary combustion emission factor associated with a power technology's fuel. Can be used to represent carbon capture or other reductions in emissions not associated with efficiency improvements. ,``nemomod_entc_emissions_activity_ratio_scalar_$CAT-TECHNOLOGY$_$EMISSION-GAS$`` (``$EMISSION-GAS$ = co2``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,none,0,1,1,0
Input,:math:`\text{N}_2\text{O}` Fuel Production NemoMod EmissionsActivityRatio, | Ratio of emissions of :math:`\text{N}_2\text{O}` to energy produced.,"``nemomod_entc_emissions_activity_ratio_fuel_production_$CAT-TECHNOLOGY$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$`` (``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``, ``$UNIT-MASS$ = tonne``)",,``fp_natural_gas``|``fp_petroleum_refinement``,,,,none,none,0,1,1,0
Input,:math:`\text{N}_2\text{O}` NemoMod EmissionsActivityRatio Scalar,Scalar applied to the stationary combustion emission factor associated with a power technology's fuel. Can be used to represent carbon capture or other reductions in emissions not associated with efficiency improvements. ,``nemomod_entc_emissions_activity_ratio_scalar_$CAT-TECHNOLOGY$_$EMISSION-GAS$`` (``$EMISSION-GAS$ = n2o``),,``pp_biogas``|``pp_biomass``|``pp_coal``|``pp_coal_ccs``|``pp_gas``|``pp_gas_ccs``|``pp_geothermal``|``pp_hydropower``|``pp_nuclear``|``pp_ocean``|``pp_oil``|``pp_solar``|``pp_waste_incineration``|``pp_wind``,,,,none,none,0,1,1,0
Input,Fuel Production NemoMod InputActivityRatio Biomass," | Input activity ratio of biomass deposits for a fuel production technology (can be combined with other input fuels). 
 | 
 | **NOTE**: biomass InputActivityRatio can be assumed to be similar to coal for gasification. 
 | 
 | The total input energy to a technology comes from the combination of all input fuel input activity ratios.",``nemomod_entc_input_activity_ratio_fuel_production_$CAT-TECHNOLOGY$_biomass``,,``fp_hydrogen_gasification``,,,,``fuel_biomass``,none,0,1,1,0
Input,Fuel Production NemoMod InputActivityRatio Coal," | Input activity ratio of coal deposits for a fuel production technology (can be combined with other input fuels).
 | 
 | The total input energy to a technology comes from the combination of all input fuel input activity ratios.",``nemomod_entc_input_activity_ratio_fuel_production_$CAT-TECHNOLOGY$_coal``,,``fp_hydrogen_gasification``,,,,``fuel_coal``,none,0,1,1,0
Input,Fuel Production NemoMod InputActivityRatio Coal Deposits," | Input activity ratio of coal deposits for a fuel production technology (can be combined with other input fuels).
 | 
 | The total input energy to a technology comes from the combination of all input fuel input activity ratios.",``nemomod_entc_input_activity_ratio_fuel_production_$CAT-TECHNOLOGY$_coal_deposits``,,``me_coal``,,,,``fuel_coal_deposits``,none,0,1,1,0
Input,Fuel Production NemoMod InputActivityRatio Crude," | Input activity ratio of crude for a fuel production technology (can be combined with other input fuels).
 | 
 | The total input energy to a technology comes from the combination of all input fuel input activity ratios.",``nemomod_entc_input_activity_ratio_fuel_production_$CAT-TECHNOLOGY$_crude``,,``fp_petroleum_refinement``,,,,``fuel_crude``,none,0,1,1,0
