Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,``$CAT-FUEL$``,``$CAT-TRANSPORTATION-DEMAND$``,Emissions Total by Gas Component,Simplex Group
Input,:math:`\text{CH}_4` Biofuels Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor for biofuels, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_biofuels`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,``public``|``road_light``|``road_heavy_freight``|``road_heavy_regional``," | See Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors.
 | 
 | Rail defaults are taken from Table 3.4.1.",,,0,1,1,``fuel_biofuels``,none,0,
Input,:math:`\text{CH}_4` Diesel Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor for diesel, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_diesel`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,``public``|``rail_freight``|``rail_passenger``|``road_light``|``road_heavy_freight``|``road_heavy_regional``|``water_borne``," | See Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors.
 | 
 | Rail defaults are taken from Table 3.4.1.",,,0,1,1,``fuel_diesel``,none,0,
Input,:math:`\text{CH}_4` Gasoline Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_gasoline`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,``powered_bikes``|``public``|``road_light``|``road_heavy_freight``|``road_heavy_regional``," | See Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors.
 | 
 | Rail defaults are taken from Table 3.4.1.",,,0,1,1,``fuel_gasoline``,none,0,
Input,:math:`\text{CH}_4` Hydrocarbon Gas Liquids Mobile Combustion Emission Factor,,"``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_hydrocarbon_gas_liquids`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,``public``|``road_heavy_freight``|``road_heavy_regional``|``road_light``," | See note (f) Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors for hydrocarbon gas liquids (increases emission factors to follow EPA estimates).
 | 
 | Rail defaults are taken from Table 3.4.1. HGL in rail is prospective, so emission factors are based on road emission factors.",,,0,1,1,``fuel_hydrocarbon_gas_liquids``,none,0,
Input,:math:`\text{CH}_4` Kerosene Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor for kerosene, entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_kerosene`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,``aviation``,,,,0,1,1,``fuel_kerosene``,none,0,
Input,:math:`\text{CH}_4` Natural Gas Mobile Combustion Emission Factor,"Methane mobile fuel combustion emission factor for natural gas (compressed and liquid), entered as tonne of :math:`\text{CH}_4` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_natural_gas`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-ENERGY$ = tj``)",,``public``|``rail_freight``|``rail_passenger``|``road_heavy_freight``|``road_heavy_regional``|``water_borne``," | See note (f) Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors for natural gas (increases emission factors to follow EPA estimates).
 | 
 | Rail defaults are taken from Table 3.4.1. Natural gas in rail is prospective, so emission factors are based on road emission factors.",,,0,1,1,``fuel_natural_gas``,none,0,
Input,:math:`\text{N}_2\text{O}` Biofuels Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for biofuels, entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_biofuels`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,``public``|``road_light``|``road_heavy_freight``|``road_heavy_regional``," | See Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors
 | 
 | Rail defaults are taken from Table 3.4.1.",,,0,1,1,``fuel_biofuels``,none,0,
Input,:math:`\text{N}_2\text{O}` Diesel Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for diesel, entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_diesel`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,``public``|``rail_freight``|``rail_passenger``|``road_light``|``road_heavy_freight``|``road_heavy_regional``|``water_borne``," | See Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors
 | 
 | Rail defaults are taken from Table 3.4.1.",,,0,1,1,``fuel_diesel``,none,0,
Input,:math:`\text{N}_2\text{O}` Gasoline Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for gasoline, entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_gasoline`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,``powered_bikes``|``public``|``road_light``|``road_heavy_freight``|``road_heavy_regional``," | See Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors
 | 
 | Rail defaults are taken from Table 3.4.1.",,,0,1,1,``fuel_gasoline``,none,0,
Input,:math:`\text{N}_2\text{O}` Hydrocarbon Gas Liquids Mobile Combustion Emission Factor,"Nitrous oxide mobile fuel combustion emission factor for natural gas (liquid and compressed), entered as tonne of :math:`\text{N}_2\text{O}` are emitted per TJ of energy demanded","``ef_trns_mobile_combustion_$CAT-TRANSPORTATION$_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-ENERGY$_hydrocarbon_gas_liquids`` (``$UNIT-MASS$ = kg``, ``$EMISSION-GAS$ = n2o``, ``$UNIT-ENERGY$ = tj``)",,``public``|``road_heavy_freight``|``road_heavy_regional``|``road_light``," | See note (f) Table 3.2.2 in 2006 IPCC GNGHGI for default road emission factors for hydrocarbon gas liquids (increases emission factors to follow EPA estimates).
 | 
 | Rail defaults are taken from Table 3.4.1. HGL in rail is prospective, so emission factors are based on road emission factors.",,,0,1,1,``fuel_hydrocarbon_gas_liquids``,none,0,
