Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-SOIL-MANAGEMENT$``,Notes
Input,:math:`\text{CO}_2` Land Use Conversion Emission Factor,Annual :math:`\text{CO}_2` emission factor for conversion of land use of type ``$CAT-LANDUSE-DIM1$`` to ``$CAT-LANDUSE-DIM2$`` due to biomass carbon stock change.,"``ef_lndu_conv_$CAT-LANDUSE-DIM1$_to_$CAT-LANDUSE-DIM2$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$UNIT-MASS$ = gg``, ``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``)",all,,0,1,1,,0,none,
Input,Fraction of Increasing Net Exports Met," | Fractional of changes to net exports to meet. Values less than 1 reduce endogenous production rates (yields in crops, heads per acre in livestock) if changes to net imports are negative. 
 | 
 | **Note**: Applied **after carrying capacity scalars** are accounted for.",``frac_lndu_increasing_net_exports_met_$CAT-LANDUSE$``,``croplands``|``grasslands``,,0,1,1,,0,none,
Input,Fraction of Increasing Net Imports Met," | Fractional of changes to net imports to meet. Values less than 1 increase endogenous production rates (yields in crops, heads per acre in livestock) if changes to net imports are positive. 
 | 
 | **Note**: Applied **after carrying capacity scalars** are accounted for.",``frac_lndu_increasing_net_imports_met_$CAT-LANDUSE$``,``croplands``|``grasslands``,,0,1,1,,0,none,
Input,Fraction of Pastures Improved,Fraction of pasture that is improved using sustainable grazing.,``frac_lndu_improved_$CAT-LANDUSE$``,``grasslands``,,0,1,1,,0,none,
Input,Fraction of Soils Mineral,See ` Giulia Conchedda and Francesco N. Tubiello (2020) <https://doi.org/10.5194/essd-12-3113-2020>`_; 3% of soils globally are organic. Default value of 0.97 is assumed to be complement.,``frac_lndu_soil_mineral_$CAT-LANDUSE$``,``croplands``|``grasslands``|``forests_mangroves``|``forests_primary``|``forests_secondary``|``other``|``settlements``,,0,1,1,,0,none,
Input,Initial Land Use Area Proportion,Proportion of total **country land** area (%/100) at time :math:`t_0`,``frac_lndu_initial_$CAT-LANDUSE$``,all,,0,1,1,1,0,none,
Input,Land Use BOC :math:`\text{CH}_4` Emission Factor,Annual average :math:`\text{CH}_4` emitted per ha due decay of organic matter (**CHECK THIS**).,"``ef_lndu_boc_$CAT-LANDUSE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$``  (``$UNIT-MASS$ = gg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-AREA$ = ha``)",``wetlands``,,0,1,1,,0,none,
Input,Land Use Fraction Dry," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Land Use Fraction Dry and Land Use Fraction Wet must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl2_dry``,``grasslands``|``other``|``settlements``,,0,1,1,3,0,``dry_climate``,
Input,Land Use Fraction Fertilized,Fraction of the land use category that receives fertilizer. Used to identify agricultural grasslands.,``frac_lndu_receiving_fertilizer_$CAT-LANDUSE$``,``croplands``|``grasslands``,,0,1,1,,0,none,
Input,Land Use Fraction Temperate," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Land Use Fraction Temperate and Land Use Fraction Tropical must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl1_temperate``,``grasslands``,,0,1,1,4,0,``temperate_crop_grass``,
