Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Energy Efficiency Variable by Fuel,Fuel Fraction Variable by Fuel,``$CAT-FUEL$``,Notes
Input,SCOE Appliance Energy Demand Scalar,Scalar used to modify non-heat energy demands--used to represent efficiency improvements in appliances etc.,``scalar_scoe_appliance_energy_demand_$CAT-SCOE$``,all,,0,0,1,,0,0,0,none,
Input,SCOE Efficiency Factor for Heat Energy from Coal,"Energy efficiency factor for coal Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_coal``,all,,0,0,1,,0,1,0,``fuel_coal``,
Input,SCOE Efficiency Factor for Heat Energy from Diesel,"Energy efficiency factor for diesel Heat Energy. For example, value of 0.75 indicates that 75% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_diesel``,all,,0,0,1,,0,1,0,``fuel_diesel``,
Input,SCOE Efficiency Factor for Heat Energy from Electricity,"Energy efficiency factor for electricity Heat Energy. For example, value of 0.99 indicates that 99% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_electricity``,all,,0,0,1,,0,1,0,``fuel_electricity``,
Input,SCOE Efficiency Factor for Heat Energy from Gasoline,"Energy efficiency factor for gasoline Heat Energy. For example, value of 0.7 indicates that 70% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_gasoline``,all,,0,0,1,,0,1,0,``fuel_gasoline``,
Input,SCOE Efficiency Factor for Heat Energy from Hydrocarbon Gas Liquids,"Energy efficiency factor for liquified petroleum gas in Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_hydrocarbon_gas_liquids``,all,,0,0,1,,0,1,0,``fuel_hydrocarbon_gas_liquids``,
Input,SCOE Efficiency Factor for Heat Energy from Hydrogen,"Energy efficiency factor for hydrogen Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_hydrogen``,all,,0,0,1,,0,1,0,``fuel_hydrogen``,
Input,SCOE Efficiency Factor for Heat Energy from Kerosene,"Energy efficiency factor for kerosene Heat Energy. For example, value of 0.75 indicates that 75% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_kerosene``,all,,0,0,1,,0,1,0,``fuel_kerosene``,
Input,SCOE Efficiency Factor for Heat Energy from Natural Gas,"Energy efficiency factor for natural gas Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_natural_gas``,all,,0,0,1,,0,1,0,``fuel_natural_gas``,
Input,SCOE Efficiency Factor for Heat Energy from Solid Biomass,"Energy efficiency factor for solid biomass Heat Energy. For example, value of 0.6 indicates that 60% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_solid_biomass``,all,,0,0,1,,0,1,0,``fuel_biomass``,
