Category Name,``$CAT-LIVESTOCK$``,Definition,Demand Elasticity Category,Animal Weight kg,Notes
Buffalo,``buffalo``,Buffalo livestock,``cattle_nondairy``,818," | Head count (stocks)/Products - Live Animals: **buffalo**
 | 
 | CH4 Enteric Fermentation: *none* (NEED ASSUMPTION)
 |
 | CH4 Manure Management: *none*  (NEED ASSUMPTION)"
Cattle - Dairy,``cattle_dairy``,Cattle livestock raised for dairy only,``cattle_dairy``,398," | Head count (stocks)/Products - Live Animals: **cattle**
 |
 | CH4 Enteric Fermentation: **cattle dairy**
 |
 | CH4 Manure Management: **cattle dairy**"
Cattle - Non-Dairy,``cattle_nondairy``,All non-dairy cattle--including those raised exclusively for meat.,``cattle_nondairy``,398," | Head count (stocks)/Products - Live Animals: **cattle**
 |
 | CH4 Enteric Fermentation: **cattle non-dairy**
 |
 | CH4 Manure Management: **cattle non-dairy**"
Chickens,``chickens``,Chicken livestock. Weight is based on author judgement and the `US National Chicken Council <https://www.nationalchickencouncil.org/about-the-industry/statistics/u-s-broiler-performance/>`_,``chickens``,2.5," | Head count (stocks)/Products - Live Animals: **chickens**
 |
 | CH4 Enteric Fermentation: *none* (NO ENTERIC FERMENTATION FOR CHICKENS, ASSUME 0)
 |
 | CH4 Manure Management: **chickens, broilers, chickens layers**"
Goats,``goats``,Goats livestock,``sheep``,45," | Head count (stocks)/Products - Live Animals: **goats**
 |
 | CH4 Enteric Fermentation: **goats**
 |
 | CH4 Manure Management: **goats**"
Horses,``horses``,Horses livestock,``sheep``,545," | Head count (stocks)/Products - Live Animals: **horses**
 |
 | CH4 Enteric Fermentation: **horses**
 |
 | CH4 Manure Management: **horses**"
Mules,``mules``,Mules livestock,``sheep``,318," | Head count (stocks)/Products - Live Animals: **mules**
 |
 | CH4 Enteric Fermentation: **mules**
 |
 | CH4 Manure Management: **mules**"
Pigs,``pigs``,Pigs livestock. Estimated weight per animal roughly taken from `Statista <https://www.statista.com/statistics/298336/average-weight-of-slaughtered-clean-pigs-in-the-united-kingdom-uk/>`_,``pigs``,88.6," | Head count (stocks)/Products - Live Animals: **pigs**
 |
 | CH4 Enteric Fermentation: *none* (NO ENTERIC FERMENTATION FOR PIGS, ASSUME 0)
 |
 | CH4 Manure Management: *none* (NEED TO CHECK)"
Sheep,``sheep``,Sheep livestock,``sheep``,68," | Head count (stocks)/Products - Live Animals: **sheep**
 |
 | CH4 Enteric Fermentation: **sheep**
 |
 | CH4 Manure Management: **sheep**"
