Gas,``$EMISSION-GAS$``,Name,Global Warming Potential 20,Global Warming Potential 100,Global Warming Potential 500,Source,Flourinated Compound Designation
:math:`\text{CH}_4`,``ch4``,Methane,81.2,27.9,7.95,IPCC AR6,none
:math:`\text{CO}_2`,``co2``,Carbon Dioxide,1,1,1,IPCC AR6,none
:math:`\text{N}_2\text{O}`,``n2o``,Nitrus Oxide,273,273,130,IPCC AR6,none
:math:`\text{NF}_3`,``nf3``,Nitrogen Trifluoride,13400,17400,18200,IPCC AR6,Other FC
:math:`\text{SF}_6`,``sf6``,Sulfur Hexflouride,18300,25200,34100,IPCC AR6,Other FC
Dodecafluoropentane,``c5f12``,Dodecafluoropentane,6510,9160,13300," | `Ivy et al. (2012) <https://doi.org/10.5194/acp-12-7635-2012>`_  (Also available from `MIT <https://globalchange.mit.edu/sites/default/files/MITJPSPGC_Reprint_12-37.pdf>`_)
 | 
 |  Ivy, D. J., Rigby, M., Baasandorj, M., Burkholder, J. B., and Prinn, R. G.: Global emission estimates and radiative impact of C4F10, C5F12, C6F14, C7F16 and C8F18, Atmos. Chem. Phys., 12, 7635-7645, https://doi.org/10.5194/acp-12-7635-2012, 2012.",Other FC
HCFC-141b,``ch3cci2f``,"1,1-Dichloro-1-fluoroethane (HCFC-141b)",2710,860,246,IPCC AR6,Other FC
HCFC-142b,``ch3ccif2``,"1-Chloro-1,1-difluoroethane (HCFC-142b)",5510,2300,658,IPCC AR6,Other FC
Hexadecafluoroheptane,``c7f16``,Hexadecafluoroheptane,5630,7930,11300,"`Ivy et al. (2012) <https://doi.org/10.5194/acp-12-7635-2012>`_  (Also available from `MIT <https://globalchange.mit.edu/sites/default/files/MITJPSPGC_Reprint_12-37.pdf>`_)
",Other FC
HFC-125,``c2hf5``,Pentafluoroethane (HFC-125),6740,3740,1110,IPCC AR6,HFC
HFC-134,``chf2chf2``,"1,1,2,2-Tetrafluoroethane (HFC-134)",3900,1260,361,IPCC AR6,HFC
HFC-134a,``chf2cf3``,"1,1,1,2-Tetrafluoroethane (HFC-134a)",4140,1530,436,IPCC AR6,HFC
