Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Fraction Manure Management,``$CAT-MANURE-MANAGEMENT$``,Notes
Input,:math:`\text{CH}_4` Enteric Fermentation Emission Factor,"This represents emissions from enteric fermentation, primarily occuring in multigastric ruminant livestock (including buffalo, camels, cattle, goats, and sheep)","``ef_lvst_entferm_$CAT-LIVESTOCK$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-POPULATION$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-POPULATION$ = head``, ``$UNIT-MASS$ = kg``)",all,| `FAO Enteric Fermentation <https://www.fao.org/faostat/en/#data/GE (Enteric Fermentation/Emissions CH4)>`_,0,1,1,,0,0,none," | Default values taken from V4 C10, Table 10.10 (non cattle/buffalo livestock) and 10.11 (cattle and buffalo) of IPCC GNGHGI 2019R using a default mean between low and high productivity systems.
 | 
 | Uncertainty ranges set by using mean in conjunction with low productivity and high end ranges. Default ranges for no information were constrained relative to similar animal types."
Input,Animal Weight,Average weight of a single animal,``avgmass_lvst_animal_$CAT-LIVESTOCK$_$UNIT-MASS$`` (``$UNIT-MASS$ = kg``),all,,0,1,1,,0,0,none,
Input,Carrying Capacity Scalar,This scalar represents changes to the number of livestock/hectare. Advanced grazing techniques or pasture restoration could scale this.,``scalar_lvst_carrying_capacity``,none,,0,0.8,1.2,,0,0,none,
Input,Daily Dry Matter Consumption,"Used to allocate grassland to grazing animals and estimate carrying capacity under the assumption that the distribution of livestock across grazelands is uniform, grasslands are homogenous, and that there is no mixed grazing (though this could be implemented as a policy parameter). Model parameter that should be constant (only first year is used). Livestock that are non-grazing (e.g. pigs and chickens) should have a value of 0 for this variable. ",``qty_lvst_daily_dry_matter_consumed_$CAT-LIVESTOCK$_$UNIT-MASS$`` (``$UNIT-MASS$ = kg``),all,"Numbers in pounds from Table 5, `Holechek 1988 <https://journals.uair.arizona.edu/index.php/rangelands/article/download/10362/9633>`_. Estimated conversion of 2.2 lbs/kg used to estimate kg.",0,1,1,,0,0,none,
Input,Daily Nitrogen Generation Factor,,``genfactor_lvst_daily_nitrogen_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none," | Unitless weight factor that represents how much nitrogen is generated per weight of animal. Used to estimate :math:`Nex_{(T)}` in Equation 10.34 (V4C10 IPCC GNGHGI 2019R). 
 | 
 | See Table 10.19 for default factors."
Input,Daily Volatile Solid Generation Factor,"Daily generation rate, per animal weight, of equivalent volatile solids (manure). See V4, C10, Equation 22A (IPCC GNGHGI 2019R).",``genfactor_lvst_daily_volatile_solids_$CAT-LIVESTOCK$``,all,| See Table 10.13A in IPCC V4C10 Table 10.13A (mean values) for defaults,0,1,1,,0,0,none,
Input,Elasticity of Livestock Demand to GDP per Capita,Elasticity of meat/animal products demand to income; use GDP/Capita since there's a roughly linear relationship between income and gdp/capita,``elasticity_lvst_$CAT-LIVESTOCK$_demand_to_gdppc``,``cattle_dairy``|``cattle_nondairy``|``sheep``|``chickens``|``pigs``,https://www.sciencedirect.com/science/article/pii/S0959378021001229#b0020,0,0.8,1.2,,0,0,none,Some validation of assumption that income and gdp/capita are linearly related: https://ourworldindata.org/grapher/median-daily-per-capita-expenditure-vs-gdp-per-capita
Input,Fraction Nitrogen Excretion in Dung,Fraction of nitrogen :math:`F_{N-DUNG}` excreted by livestock that's contained in dung. 1 - :math:`F_{N-DUNG}` is contained in urine.,``frac_lvst_n_in_dung``,none,,0,1,1,,0,0,none,
Input,Fraction of Livestock Demand Imported," | Fraction of total demand for livestock products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total livestock that would be needed to produce all consumed animal products.",``frac_lvst_livestock_demand_imported_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,
Input,Initial Livestock Head Count,Initial population of animal; note that only the first value (associated with t = 0) will be used. Future animal populations are estimated using demand elasticities from GDP/Capita.,``pop_lvst_initial_$CAT-LIVESTOCK$``,all,`FAO - Head Count <https://www.fao.org/faostat/en/#data/QCL (Crops and livestock products/stocks)>`_,0,1,1,,0,0,none,FAO: This variable indicates the number of animals of the species present in the country at the time of enumeration.
