Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Notes
Input,:math:`\text{CH}_4` Anaerobic Biogas Emission Factor,Emission factor representing fugitive emissions of methane from anaerobic decomposition in biogas facilities.,"``ef_waso_biogas_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",``food``|``sludge``|``yard``,,0,0.57,1.43,,0,"Default set as mean between wet and dry weight factors from Volume 5, Table 4.1 in IPCC Guidelines for NGHG Inventories."
Input,:math:`\text{CH}_4` Composting Emission Factor,Emission factor representing emissions of methane from composting of organic materials,"``ef_waso_compost_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",``food``|``sludge``|``yard``,,0,0.57,1.43,,0,"Default set as mean between wet and dry weight factors from Volume 5, Table 4.1 in IPCC Guidelines for NGHG Inventories."
Input,:math:`\text{CH}_4` ISW Incineration Emission Factor,Based on IPCC Tier 1 approach--:math:`\text{CH}_4` emissions from incineration or open burning of ISW.,"``ef_waso_incineration_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_isw`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",none,,0,0.2,2.0,,0,"Nominal value is mean across all types of incineration technology and open burning (6500g/t waste) (Volume 5, Table 5.3), or 998.7 g/tonne. This is rounded up to 1 kg/tonne, or 0.001 kg/kg."
Input,:math:`\text{CH}_4` MSW Incineration Emission Factor,Based on IPCC Tier 1 approach--:math:`\text{CH}_4` emissions from incineration or open burning of MSW.,"``ef_waso_incineration_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_msw`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",none,,0,0.2,2.0,,0,"Nominal value is mean across all types of incineration technology and open burning (6500g/t waste) (Volume 5, Table 5.3), or 998.7 g/tonne. This is rounded up to 1 kg/tonne, or 0.001 kg/kg."
Input,:math:`\text{CH}_4` Recovery Factor Landfill Gas,Factor representing how much methane is extracted from landfill gas that is recovered.,``gasrf_waso_landfill_to_$EMISSION-GAS$`` (``$EMISSION-GAS$ = ch4``),none,,0,1.0,1.0,,0,
Input,:math:`\text{N}_2\text{O}` Composting Emission Factor,Emission factor representing emissions of nitrus oxide from composting of organic materials,"``ef_waso_compost_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = n2o``, ``$UNIT-MASS$ = kg``)",``food``|``sludge``|``yard``,,0,0.57,1.43,,0,"Default is set as mean between wet and dry weight factors from Volume 5, Table 4.1 in IPCC Guidelines for NGHG Inventories."
Input,:math:`\text{N}_2\text{O}` Incineration Emission Factor,Based on IPCC Tier 2 approach (default emission factors with waste composition),"``ef_waso_incineration_$UNIT-MASS$_$EMISSION-GAS$_per_$UNIT-MASS$_$CAT-WASTE-SOLID$`` (``$EMISSION-GAS$ = n2o``, ``$UNIT-MASS$ = tonne``)",all,,0,1.0,1.0,,0,"Default values taken from IPCC GNGHGI V5, C5, Tables 5.4 (MSW defaults, excluding plastic, wood, paper, and sludge) and 5.5 (industrial, sludge, wood, paper, and plastic). Note that the emission factors are unitless and are converted to tonne/tonne."
Input,Average Annual Waste Transported Per Waste Collection Vehicle,"Average annual total waste collected per waste collection vehicle. Used to calculate a marginal increase in heavy transport transportation demand resulting from an increase in waste collection, which is passed to the transportation model.",``qty_waso_annual_waste_collected_$UNIT-MASS$_per_vehicle`` (``$UNIT-MASS$ = tonne``),none,,0,1.0,1.0,,0,
Input,Average Methane Correction Factor at Landfills,"The Methane Correction Factor represents different management approaches for solid waste disposal at landfills. See Volume 5, Chapter 3, Table 3.1 of IPCC Guidelines for National Greenhouse Gas Inventories for default MCFs.",``mcf_waso_average_landfilled``,none,,0,1.0,1.0,,0,
Input,Average Methane Correction Factor for Open Dumping,"The Methane Correction Factor represents different management approaches for solid waste disposal at landfills. See Volume 5, Chapter 3, Table 3.1 of IPCC Guidelines for National Greenhouse Gas Inventories for default MCFs.",``mcf_waso_average_open_dump``,none,,0,1.0,1.0,,0,
