``$TIME-SLICE$``,description,tg1,tg2,lorder,weight
dec_feb_wd0,"Weekdays in December, January, and February from 22:00 to 04:00",dec_feb,weekday,1,0.044642856
dec_feb_wd6,"Weekdays in December, January, and February from 04:00 to 10:00",dec_feb,weekday,2,0.044642856
dec_feb_wd12,"Weekdays in December, January, and February from 10:00 to 16:00",dec_feb,weekday,3,0.044642856
dec_feb_wd18,"Weekdays in December, January, and February from 16:00 to 22:00",dec_feb,weekday,4,0.044642856
mar_may_wd0,"Weekdays in March, April, and May from 22:00 to 04:00",mar_may,weekday,1,0.044642856
mar_may_wd6,"Weekdays in March, April, and May from 04:00 to 10:00",mar_may,weekday,2,0.044642856
mar_may_wd12,"Weekdays in March, April, and May from 10:00 to 16:00",mar_may,weekday,3,0.044642856
mar_may_wd18,"Weekdays in March, April, and May from 16:00 to 22:00",mar_may,weekday,4,0.044642856
jun_aug_wd0,"Weekdays in June, July, and August from 22:00 to 04:00",jun_aug,weekday,1,0.044642856
jun_aug_wd6,"Weekdays in June, July, and August from 04:00 to 10:00",jun_aug,weekday,2,0.044642856
jun_aug_wd12,"Weekdays in June, July, and August from 10:00 to 16:00",jun_aug,weekday,3,0.044642856
jun_aug_wd18,"Weekdays in June, July, and August from 16:00 to 22:00",jun_aug,weekday,4,0.044642856
sep_nov_wd0,"Weekdays in September, October, and November from 22:00 to 04:00",sep_nov,weekday,1,0.044642856
sep_nov_wd6,"Weekdays in September, October, and November from 04:00 to 10:00",sep_nov,weekday,2,0.044642856
sep_nov_wd12,"Weekdays in September, October, and November from 10:00 to 16:00",sep_nov,weekday,3,0.044642856
sep_nov_wd18,"Weekdays in September, October, and November from 16:00 to 22:00",sep_nov,weekday,4,0.044642856
dec_feb_we0,"Weekends in December, January, and February from 22:00 to 04:00",dec_feb,weekend,1,0.01785714
dec_feb_we6,"Weekends in December, January, and February from 04:00 to 10:00",dec_feb,weekend,2,0.01785714
dec_feb_we12,"Weekends in December, January, and February from 10:00 to 16:00",dec_feb,weekend,3,0.01785714
dec_feb_we18,"Weekends in December, January, and February from 16:00 to 22:00",dec_feb,weekend,4,0.01785714
mar_may_we0,"Weekends in March, April, and May from 22:00 to 04:00",mar_may,weekend,1,0.01785714
mar_may_we6,"Weekends in March, April, and May from 04:00 to 10:00",mar_may,weekend,2,0.01785714
mar_may_we12,"Weekends in March, April, and May from 10:00 to 16:00",mar_may,weekend,3,0.01785714
mar_may_we18,"Weekends in March, April, and May from 16:00 to 22:00",mar_may,weekend,4,0.01785714
jun_aug_we0,"Weekends in June, July, and August from 22:00 to 04:00",jun_aug,weekend,1,0.01785714
jun_aug_we6,"Weekends in June, July, and August from 04:00 to 10:00",jun_aug,weekend,2,0.01785714
jun_aug_we12,"Weekends in June, July, and August from 10:00 to 16:00",jun_aug,weekend,3,0.01785714
jun_aug_we18,"Weekends in June, July, and August from 16:00 to 22:00",jun_aug,weekend,4,0.01785714
sep_nov_we0,"Weekends in September, October, and November from 22:00 to 04:00",sep_nov,weekend,1,0.01785714
sep_nov_we6,"Weekends in September, October, and November from 04:00 to 10:00",sep_nov,weekend,2,0.01785714
sep_nov_we12,"Weekends in September, October, and November from 10:00 to 16:00",sep_nov,weekend,3,0.01785714
sep_nov_we18,"Weekends in September, October, and November from 16:00 to 22:00",sep_nov,weekend,4,0.01785714
