iso_code3,time_period,exports_agrc_bevs_and_spices_tonne,exports_agrc_cereals_tonne,exports_agrc_fibers_tonne,exports_agrc_fruits_tonne,exports_agrc_herbs_and_other_perennial_crops_tonne,exports_agrc_nuts_tonne,exports_agrc_other_annual_tonne,exports_agrc_other_woody_perennial_tonne,exports_agrc_pulses_tonne,exports_agrc_rice_tonne,exports_agrc_sugar_cane_tonne,exports_agrc_tubers_tonne,exports_agrc_vegetables_and_vines_tonne,frac_agrc_crop_demand_imported_bevs_and_spices,frac_agrc_crop_demand_imported_cereals,frac_agrc_crop_demand_imported_fibers,frac_agrc_crop_demand_imported_fruits,frac_agrc_crop_demand_imported_herbs_and_other_perennial_crops,frac_agrc_crop_demand_imported_nuts,frac_agrc_crop_demand_imported_other_annual,frac_agrc_crop_demand_imported_other_woody_perennial,frac_agrc_crop_demand_imported_pulses,frac_agrc_crop_demand_imported_rice,frac_agrc_crop_demand_imported_sugar_cane,frac_agrc_crop_demand_imported_tubers,frac_agrc_crop_demand_imported_vegetables_and_vines,exports_lvst_buffalo,exports_lvst_cattle_dairy,exports_lvst_cattle_nondairy,exports_lvst_chickens,exports_lvst_goats,exports_lvst_horses,exports_lvst_mules,exports_lvst_pigs,exports_lvst_sheep,frac_lvst_livestock_demand_imported_buffalo,frac_lvst_livestock_demand_imported_cattle_dairy,frac_lvst_livestock_demand_imported_cattle_nondairy,frac_lvst_livestock_demand_imported_chickens,frac_lvst_livestock_demand_imported_goats,frac_lvst_livestock_demand_imported_horses,frac_lvst_livestock_demand_imported_mules,frac_lvst_livestock_demand_imported_pigs,frac_lvst_livestock_demand_imported_sheep
ARG,0,4733360.55493226,8073496.452460474,444542.09756994917,6857663.84017397,29082.05337745502,16824.9517404963,1598480.9906277722,0.0,2278160.9085854976,2340903.6619147654,3273383.9938479774,287767.96342202614,509687.3026269452,0.2318634678251164,0.0003289679570912,0.0064658913383093,0.061136352783938,0.1380432256565187,3.49391428069525e-05,0.000221601762766,0.0,0.0042234910075866,0.0096334083323933,9.549177703456465e-05,5.097982154938299e-05,0.0010058876041007,0.0,509156.14539113536,2017777.7415427053,8164.632904883018,60235.759625313025,2415.9990127923625,0.0,43665.151978519265,1103149.2063168592,0.0,0.0002397228380286,2.648453713439573e-05,0.005990021891529,0.0,0.0042526883980431,0.0,0.0178552647924434,0.0003381031527825
ARG,1,10435757.574007034,11851327.609857958,522922.990541763,7869121.625810721,7996.252381222674,11401.399283023442,1393783.4694347924,0.0,2068388.040064078,4356905.572561962,12877011.973064829,689536.8666358008,954877.5846165527,0.1368537905997785,0.0006326062886333,0.0171552141595418,0.0754216031157323,0.0615442466783655,3.0256211551431168e-05,0.0182581850449153,0.0,0.0075948682835417,0.0202326762224142,0.0001101936919416,0.0061360914053654,0.0076210629763017,0.0,544448.4960199585,2254652.1444087843,6897.865480104057,73428.51209194427,1705729.786720015,0.0,51375.49321058399,1729998.8317438283,0.0,0.0004439206267658,4.2019357214353046e-05,0.010714750081271,0.0,0.0004559453057921,0.0,0.0363227694792994,0.0002248762620043
ARG,2,7408251.55087813,9912933.113786181,384876.5451972722,6757554.942467402,1074829.662955771,16386.989623108635,1241629.5751344594,0.0,3396710.294960872,3442987.873860194,4892826.046783986,387943.26922816894,439770.6715956256,0.1599357148641319,0.0013858437693844,0.0125968360018964,0.089625263761997,0.1202985511488365,6.16852798044292e-05,0.0412156700634663,0.0,0.0135141596834542,0.0183643397951407,0.0001392069770709,0.009685611056484,0.0033653259102033,0.0,415137.38535303087,2670873.449488575,7688.19925742954,69170.93895174166,1642077.167627464,0.0,63760.34623876412,1055940.8355524382,0.0,0.0006832059632966,0.000198056487701,0.0084121498163649,3.75675695022188e-06,0.0003825126458406,0.0,0.0437810798192288,4.970708936159123e-06
ARG,3,4210815.379861207,9410393.663520383,998084.9372951814,6683308.149388753,0.0,24224.029994820634,974992.7477120856,0.0,2920892.8795580757,3230501.451657466,1479312.4505723913,392613.18915740534,528591.4452255178,0.738068250331605,0.0011700415892372,0.0150136510676093,0.0644493885671562,0.2668948655256724,8.908912730836292e-05,0.1708684902520425,1.0,0.0416368440804261,0.0119323349947519,0.0001531955717271,0.007339520809674,0.0039251984444118,0.0,512588.9976491111,3794030.81858232,5782.029887102977,0.0,1470407.8418917323,0.0,102581.16132541717,969383.2779407742,0.0,0.0007714645283523,0.0050404985663754,0.0097455941071147,1.0946945845896778e-06,0.0003020428657993,0.0,0.0475179147992604,0.0003038224516888
ARG,4,5357637.011935726,10537341.707894025,705127.9711812498,6469790.324965577,333572.39061433455,20651.211192434705,1041777.3565818219,0.0,3199245.6369505567,3957031.1246828153,4504506.8928538365,443995.0500403275,486585.40081292833,0.3800163670861895,0.00105523788130383,0.015369477770207036,0.08110812085577761,0.1760342667028179,6.479092844135274e-05,0.06916918413695704,0.3,0.02009080891650258,0.016800645082105832,0.0001494264053322494,0.006963660927921835,0.00477524248050525,0.0,453678.3622407594,3221200.2462067152,5706.545505903919,40567.04213379979,1446189.238575601,0.0,78414.64582598537,971694.4303107801,0.0,0.0006414941869329899,0.0015921176845275443,0.01045875476888388,1.4554354604434674e-06,0.0010786378430950201,0.0,0.0436431086670696,0.00017435451508235182
ARG,5,5438001.567114761,10695401.833512435,715704.8907489685,6566837.17984006,338575.97647354956,20960.979360321224,1057404.0169305492,0.0,3247234.3215048146,4016386.591553057,4572074.496246643,450654.97579093237,493884.1818251222,0.3800163670861895,0.00105523788130383,0.015369477770207036,0.08110812085577761,0.1760342667028179,6.479092844135274e-05,0.06916918413695704,0.3,0.02009080891650258,0.016800645082105832,0.0001494264053322494,0.006963660927921835,0.00477524248050525,0.0,460483.53767437075,3269518.249899816,5792.143688492477,41175.54776580678,1467882.077154235,0.0,79590.86551337515,986269.8467654417,0.0,0.0006414941869329899,0.0015921176845275443,0.01045875476888388,1.4554354604434674e-06,0.0010786378430950201,0.0,0.0436431086670696,0.00017435451508235182
ARG,6,5519571.590621482,10855832.861015119,726440.4641102029,6665339.73753766,343654.6161206527,21275.394050726038,1073265.0771845072,0.0,3295942.8363273866,4076632.390426352,4640655.613690343,457414.80042779626,501292.4445524989,0.3800163670861895,0.00105523788130383,0.015369477770207036,0.08110812085577761,0.1760342667028179,6.479092844135274e-05,0.06916918413695704,0.3,0.02009080891650258,0.016800645082105832,0.0001494264053322494,0.006963660927921835,0.00477524248050525,0.0,467390.7907394862,3318561.0236483123,5879.025843819863,41793.18098229388,1489900.308311548,0.0,80784.72849607575,1001063.8944669231,0.0,0.0006414941869329899,0.0015921176845275443,0.01045875476888388,1.4554354604434674e-06,0.0010786378430950201,0.0,0.0436431086670696,0.00017435451508235182
ARG,7,5602365.164480804,11018670.353930345,737337.0710718558,6765319.833600723,348809.4353624625,21594.524961486924,1089364.0533422746,0.0,3345381.978872297,4137781.876282747,4710265.447895697,464276.02243421314,508811.8312207864,0.3800163670861895,0.00105523788130383,0.015369477770207036,0.08110812085577761,0.1760342667028179,6.479092844135274e-05,0.06916918413695704,0.3,0.02009080891650258,0.016800645082105832,0.0001494264053322494,0.006963660927921835,0.00477524248050525,0.0,474401.6526005785,3368339.439003037,5967.21123147716,42420.07869702828,1512248.8129362212,0.0,81996.49942351689,1016079.8528839268,0.0,0.0006414941869329899,0.0015921176845275443,0.01045875476888388,1.4554354604434674e-06,0.0010786378430950201,0.0,0.0436431086670696,0.00017435451508235182
ARG,8,5686400.641948015,11183950.409239301,748397.1271379337,6866799.631104735,354041.5768928994,21918.44283590923,1105704.514142409,0.0,3395562.7085553813,4199848.604426988,4780919.429614133,471240.16277072637,516444.00868909823,0.3800163670861895,0.00105523788130383,0.015369477770207036,0.08110812085577761,0.1760342667028179,6.479092844135274e-05,0.06916918413695704,0.3,0.02009080891650258,0.016800645082105832,0.0001494264053322494,0.006963660927921835,0.00477524248050525,0.0,481517.6773895872,3418864.5305880825,6056.719399949318,43056.379877483705,1534932.5451302647,0.0,83226.44691486964,1031321.0506771858,0.0,0.0006414941869329899,0.0015921176845275443,0.01045875476888388,1.4554354604434674e-06,0.0010786378430950201,0.0,0.0436431086670696,0.00017435451508235182
ARG,9,5771696.651577235,11351709.665377889,759623.0840450027,6969801.625571305,359352.2005462929,22247.219478447867,1122290.0818545448,0.0,3446496.1491837115,4262846.333493393,4852633.2210583445,478308.7652122872,524190.6688194346,0.3800163670861895,0.00105523788130383,0.015369477770207036,0.08110812085577761,0.1760342667028179,6.479092844135274e-05,0.06916918413695704,0.3,0.02009080891650258,0.016800645082105832,0.0001494264053322494,0.006963660927921835,0.00477524248050525,0.0,488740.44255043095,3470147.498546903,6147.570190948557,43702.225575645956,1557956.5333072185,0.0,84474.84361859267,1046790.8664373434,0.0,0.0006414941869329899,0.0015921176845275443,0.01045875476888388,1.4554354604434674e-06,0.0010786378430950201,0.0,0.0436431086670696,0.00017435451508235182
