field,path_in_lac_decarbonization,calibration_note
frac_agrc_bevs_and_spices_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_bevs_and_spices_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_bevs_and_spices_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_bevs_and_spices_cl2_wet,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_cereals_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_cereals_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_cereals_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_cereals_cl2_wet,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_fibers_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_fibers_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_fibers_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_fibers_cl2_wet,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_fruits_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_fruits_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_fruits_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_fruits_cl2_wet,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_herbs_and_other_perennial_crops_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_herbs_and_other_perennial_crops_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_herbs_and_other_perennial_crops_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_herbs_and_other_perennial_crops_cl2_wet,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_nuts_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_nuts_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_nuts_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_nuts_cl2_wet,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_other_annual_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_other_annual_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_other_annual_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_other_annual_cl2_wet,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_other_woody_perennial_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_other_woody_perennial_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_other_woody_perennial_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_other_woody_perennial_cl2_wet,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_pulses_cl1_temperate,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_pulses_cl1_tropical,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
frac_agrc_pulses_cl2_dry,/ref/batch_data_generation/koppen_climate_classifications/climate_fields_by_country.csv,"Data are not specified for pre-2015, though can use 2015 values for previous years in calibration (can be treated as constant)."
