category_name,region,iso_alpha_3,fao_area_code,world_bank_global_region
Afghanistan,afghanistan,AFG,2,South Asia
Albania,albania,ALB,3,Europe & Central Asia
Algeria,algeria,DZA,4,Middle East & North Africa
American Samoa,american_samoa,ASM,5,East Asia & Pacific
Andorra,andorra,AND,6,Europe & Central Asia
Angola,angola,AGO,7,Sub-Saharan Africa
Antigua and Barbuda,antigua_and_barbuda,ATG,8,Latin America & Caribbean
Argentina,argentina,ARG,9,Latin America & Caribbean
Armenia,armenia,ARM,1,Europe & Central Asia
Aruba,aruba,ABW,22,Latin America & Caribbean
Australia,australia,AUS,10,East Asia & Pacific
Austria,austria,AUT,11,Europe & Central Asia
Azerbaijan,azerbaijan,AZE,52,Europe & Central Asia
Bahamas,bahamas,BHS,12,Latin America & Caribbean
Bahrain,bahrain,BHR,13,Middle East & North Africa
Bangladesh,bangladesh,BGD,16,South Asia
Barbados,barbados,BRB,14,Latin America & Caribbean
Belarus,belarus,BLR,57,Europe & Central Asia
Belgium,belgium,BEL,255,Europe & Central Asia
Belize,belize,BLZ,23,Latin America & Caribbean
Benin,benin,BEN,53,Sub-Saharan Africa
Bermuda,bermuda,BMU,17,North America
Bhutan,bhutan,BTN,18,South Asia
Bolivia,bolivia,BOL,19,Latin America & Caribbean
Bosnia and Herzegovina,bosnia_and_herzegovina,BIH,80,Europe & Central Asia
Botswana,botswana,BWA,20,Sub-Saharan Africa
Brazil,brazil,BRA,21,Latin America & Caribbean
British Virgin Islands,british_virgin_islands,VGB,239,Latin America & Caribbean
Brunei Darussalam,brunei_darussalam,BRN,26,East Asia & Pacific
Bulgaria,bulgaria,BGR,27,Europe & Central Asia
Burkina Faso,burkina_faso,BFA,233,Sub-Saharan Africa
Burundi,burundi,BDI,29,Sub-Saharan Africa
Cabo Verde,cabo_verde,CPV,35,Sub-Saharan Africa
Cambodia,cambodia,KHM,115,East Asia & Pacific
Cameroon,cameroon,CMR,32,Sub-Saharan Africa
Canada,canada,CAN,33,North America
Cayman Islands,cayman_islands,CYM,36,Latin America & Caribbean
Central African Republic,central_african_republic,CAF,37,Sub-Saharan Africa
Chad,chad,TCD,39,Sub-Saharan Africa
Channel Islands,channel_islands,CHI,259,Europe & Central Asia
Chile,chile,CHL,40,Latin America & Caribbean
China,china,CHN,351,East Asia & Pacific
Colombia,colombia,COL,44,Latin America & Caribbean
Comoros,comoros,COM,45,Sub-Saharan Africa
Costa Rica,costa_rica,CRI,48,Latin America & Caribbean
Cote d'Ivoire,cote_divoire,CIV,107,Sub-Saharan Africa
Croatia,croatia,HRV,98,Europe & Central Asia
Cuba,cuba,CUB,49,Latin America & Caribbean
Curacao,curacao,CUW,279,Latin America & Caribbean
Cyprus,cyprus,CYP,50,Europe & Central Asia
Czechia,czechia,CZE,167,Europe & Central Asia
Democratic People's Republic of Korea,democratic_peoples_republic_of_korea,PRK,116,East Asia & Pacific
Democratic Republic of the Congo,democratic_republic_of_the_congo,COD,250,Sub-Saharan Africa
Denmark,denmark,DNK,54,Europe & Central Asia
Djibouti,djibouti,DJI,72,Middle East & North Africa
Dominica,dominica,DMA,55,Latin America & Caribbean
Dominican Republic,dominican_republic,DOM,56,Latin America & Caribbean
Ecuador,ecuador,ECU,58,Latin America & Caribbean
Egypt,egypt,EGY,59,Middle East & North Africa
El Salvador,el_salvador,SLV,60,Latin America & Caribbean
Equatorial Guinea,equatorial_guinea,GNQ,61,Sub-Saharan Africa
Eritrea,eritrea,ERI,178,Sub-Saharan Africa
Estonia,estonia,EST,63,Europe & Central Asia
Eswatini,eswatini,SWZ,209,Sub-Saharan Africa
Ethiopia,ethiopia,ETH,238,Sub-Saharan Africa
Faroe Islands,faroe_islands,FRO,64,Europe & Central Asia
Fiji,fiji,FJI,66,East Asia & Pacific
Finland,finland,FIN,67,Europe & Central Asia
France,france,FRA,68,Europe & Central Asia
French Polynesia,french_polynesia,PYF,70,East Asia & Pacific
Gabon,gabon,GAB,74,Sub-Saharan Africa
Gambia,gambia,GMB,75,Sub-Saharan Africa
Georgia,georgia,GEO,73,Europe & Central Asia
Germany,germany,DEU,79,Europe & Central Asia
Ghana,ghana,GHA,81,Sub-Saharan Africa
Gibraltar,gibraltar,GIB,82,Europe & Central Asia
Greece,greece,GRC,84,Europe & Central Asia
Greenland,greenland,GRL,85,Europe & Central Asia
Grenada,grenada,GRD,86,Latin America & Caribbean
Guam,guam,GUM,88,East Asia & Pacific
Guatemala,guatemala,GTM,89,Latin America & Caribbean
Guinea,guinea,GIN,90,Sub-Saharan Africa
Guinea-Bissau,guinea_bissau,GNB,175,Sub-Saharan Africa
Guyana,guyana,GUY,91,Latin America & Caribbean
Haiti,haiti,HTI,93,Latin America & Caribbean
Honduras,honduras,HND,95,Latin America & Caribbean
"Hong Kong SAR, China",hong_kong,HKG,96,East Asia & Pacific
Hungary,hungary,HUN,97,Europe & Central Asia
Iceland,iceland,ISL,99,Europe & Central Asia
India,india,IND,100,South Asia
Indonesia,indonesia,IDN,101,East Asia & Pacific
Iran,iran,IRN,102,Middle East & North Africa
Iraq,iraq,IRQ,103,Middle East & North Africa
Ireland,ireland,IRL,104,Europe & Central Asia
Isle of Man,isle_of_man,IMN,264,Europe & Central Asia
Israel,israel,ISR,105,Middle East & North Africa
Italy,italy,ITA,106,Europe & Central Asia
Jamaica,jamaica,JAM,109,Latin America & Caribbean
Japan,japan,JPN,110,East Asia & Pacific
Jordan,jordan,JOR,112,Middle East & North Africa
Kazakhstan,kazakhstan,KAZ,108,Europe & Central Asia
Kenya,kenya,KEN,114,Sub-Saharan Africa
Kiribati,kiribati,KIR,83,East Asia & Pacific
Kosovo,kosovo,XKX,-999,Europe & Central Asia
Kuwait,kuwait,KWT,118,Middle East & North Africa
Kyrgyzstan,kyrgyzstan,KGZ,113,Europe & Central Asia
Lao People's Democratic Republic,lao,LAO,120,East Asia & Pacific
Latvia,latvia,LVA,119,Europe & Central Asia
Lebanon,lebanon,LBN,121,Middle East & North Africa
Lesotho,lesotho,LSO,122,Sub-Saharan Africa
Liberia,liberia,LBR,123,Sub-Saharan Africa
Libya,libya,LBY,124,Middle East & North Africa
