year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2010,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2011,ABW,201611.942,2142.63147429096,2862.14291139348,512.264626552565,87509.8320103587,15816.4866872495,1052.08761080316,5558.39916705089,1936.66467714128,178.958699951128,1107.37734191545
2012,ABW,220618.9462,1693.33973779326,2450.69594825699,541.763235930804,32682.8649071637,14887.9398269759,749.746553393492,6412.8284882192,1820.24977541266,140.735184696047,966.834430289867
2013,ABW,127891.1703,1374.08781145417,2621.56499735452,404.778476870099,0.0,13439.9859193459,401.177622321458,5587.370323288,1800.47674262246,165.078383451564,1101.08172039589
2014,ABW,209124.8494,3879.70650725396,2797.82391189075,464.19808821957,7561.82665963272,13445.3620252162,1537.6551177799,6119.47974653002,2126.28662490387,195.972510861744,1204.27268831673
2015,ABW,308493.8248,1196.76032561911,3237.1293112262,689.02940701807,14668.2098974327,16065.8817873355,192.992705852846,9495.13059265656,2616.31467535734,267.113997849575,1736.18026271507
2016,ABW,306228.1122,1541.36758532616,3423.38783956898,595.590658262581,6510.21626099212,27016.5944591848,4590.76027697739,8526.25409623731,3562.96425170633,300.165639260946,1838.86380135465
2017,ABW,306935.3168,1308.08836086322,3520.61182317584,404.024604991981,10368.0643810934,25404.6696008881,1236.48019276422,7429.89503574019,2821.27507096035,250.478424405532,1423.10724381142
2018,ABW,274336.0202,1100.70077550691,3422.72639884085,515.005703067109,4265.58867742318,16237.6642133901,253.068401537661,7616.03200909559,2869.00695191352,248.312512673936,1589.97977297901
2019,ABW,320920.3364,1738.21689023911,6582.21506443224,649.776776636866,31290.2989994793,23522.4906150924,844.854845378019,9563.04373455729,3633.43724288473,298.190914394863,1766.45452519521
