iso_code3,year,frac_ippu_cement_clinker
ABW,2010,0.72
ABW,2011,0.72
ABW,2012,0.72
ABW,2013,0.72
ABW,2014,0.72
ABW,2015,0.72
ABW,2016,0.72
ABW,2017,0.72
ABW,2018,0.72
ABW,2019,0.72
ABW,2020,0.72
ABW,2021,0.72
ABW,2022,0.72
ABW,2023,0.72
ABW,2024,0.72
ABW,2025,0.72
ABW,2026,0.72
ABW,2027,0.72
ABW,2028,0.72
ABW,2029,0.72
ABW,2030,0.72
ABW,2031,0.72
ABW,2032,0.72
ABW,2033,0.72
ABW,2034,0.72
ABW,2035,0.72
ABW,2036,0.72
ABW,2037,0.72
ABW,2038,0.72
ABW,2039,0.72
ABW,2040,0.72
ABW,2041,0.72
ABW,2042,0.72
ABW,2043,0.72
ABW,2044,0.72
ABW,2045,0.72
ABW,2046,0.72
ABW,2047,0.72
ABW,2048,0.72
ABW,2049,0.72
ABW,2050,0.72
AGO,2010,0.72
AGO,2011,0.72
AGO,2012,0.72
AGO,2013,0.72
AGO,2014,0.72
AGO,2015,0.72
AGO,2016,0.72
AGO,2017,0.72
AGO,2018,0.72
AGO,2019,0.72
AGO,2020,0.72
AGO,2021,0.72
AGO,2022,0.72
AGO,2023,0.72
AGO,2024,0.72
AGO,2025,0.72
AGO,2026,0.72
AGO,2027,0.72
AGO,2028,0.72
AGO,2029,0.72
AGO,2030,0.72
AGO,2031,0.72
AGO,2032,0.72
AGO,2033,0.72
AGO,2034,0.72
AGO,2035,0.72
AGO,2036,0.72
AGO,2037,0.72
AGO,2038,0.72
AGO,2039,0.72
AGO,2040,0.72
AGO,2041,0.72
AGO,2042,0.72
AGO,2043,0.72
AGO,2044,0.72
AGO,2045,0.72
AGO,2046,0.72
AGO,2047,0.72
AGO,2048,0.72
AGO,2049,0.72
AGO,2050,0.72
ALB,2010,0.72
ALB,2011,0.72
ALB,2012,0.72
ALB,2013,0.72
ALB,2014,0.72
ALB,2015,0.72
ALB,2016,0.72
ALB,2017,0.72
ALB,2018,0.72
ALB,2019,0.72
ALB,2020,0.72
ALB,2021,0.72
ALB,2022,0.72
ALB,2023,0.72
ALB,2024,0.72
ALB,2025,0.72
ALB,2026,0.72
ALB,2027,0.72
ALB,2028,0.72
ALB,2029,0.72
ALB,2030,0.72
ALB,2031,0.72
ALB,2032,0.72
ALB,2033,0.72
ALB,2034,0.72
ALB,2035,0.72
ALB,2036,0.72
ALB,2037,0.72
ALB,2038,0.72
ALB,2039,0.72
ALB,2040,0.72
ALB,2041,0.72
ALB,2042,0.72
ALB,2043,0.72
ALB,2044,0.72
ALB,2045,0.72
ALB,2046,0.72
ALB,2047,0.72
ALB,2048,0.72
ALB,2049,0.72
ALB,2050,0.72
ARE,2010,0.72
ARE,2011,0.72
ARE,2012,0.72
ARE,2013,0.72
ARE,2014,0.72
ARE,2015,0.72
ARE,2016,0.72
ARE,2017,0.72
ARE,2018,0.72
ARE,2019,0.72
ARE,2020,0.72
ARE,2021,0.72
ARE,2022,0.72
ARE,2023,0.72
ARE,2024,0.72
ARE,2025,0.72
ARE,2026,0.72
ARE,2027,0.72
ARE,2028,0.72
ARE,2029,0.72
ARE,2030,0.72
ARE,2031,0.72
ARE,2032,0.72
ARE,2033,0.72
ARE,2034,0.72
ARE,2035,0.72
ARE,2036,0.72
ARE,2037,0.72
ARE,2038,0.72
ARE,2039,0.72
ARE,2040,0.72
ARE,2041,0.72
ARE,2042,0.72
ARE,2043,0.72
ARE,2044,0.72
ARE,2045,0.72
ARE,2046,0.72
ARE,2047,0.72
ARE,2048,0.72
ARE,2049,0.72
ARE,2050,0.72
ARG,2010,0.68
ARG,2011,0.68
ARG,2012,0.68
ARG,2013,0.68
ARG,2014,0.68
ARG,2015,0.68
ARG,2016,0.68
ARG,2017,0.68
ARG,2018,0.68
ARG,2019,0.68
ARG,2020,0.68
ARG,2021,0.68
ARG,2022,0.68
ARG,2023,0.68
ARG,2024,0.68
ARG,2025,0.68
ARG,2026,0.68
ARG,2027,0.68
ARG,2028,0.68
ARG,2029,0.68
ARG,2030,0.68
ARG,2031,0.68
ARG,2032,0.68
ARG,2033,0.68
ARG,2034,0.68
ARG,2035,0.68
ARG,2036,0.68
ARG,2037,0.68
ARG,2038,0.68
ARG,2039,0.68
ARG,2040,0.68
ARG,2041,0.68
ARG,2042,0.68
ARG,2043,0.68
ARG,2044,0.68
ARG,2045,0.68
ARG,2046,0.68
ARG,2047,0.68
ARG,2048,0.68
ARG,2049,0.68
ARG,2050,0.68
ARM,2010,0.72
ARM,2011,0.72
ARM,2012,0.72
ARM,2013,0.72
ARM,2014,0.72
ARM,2015,0.72
ARM,2016,0.72
ARM,2017,0.72
ARM,2018,0.72
ARM,2019,0.72
ARM,2020,0.72
ARM,2021,0.72
ARM,2022,0.72
ARM,2023,0.72
ARM,2024,0.72
ARM,2025,0.72
ARM,2026,0.72
ARM,2027,0.72
ARM,2028,0.72
ARM,2029,0.72
ARM,2030,0.72
ARM,2031,0.72
ARM,2032,0.72
ARM,2033,0.72
ARM,2034,0.72
ARM,2035,0.72
ARM,2036,0.72
ARM,2037,0.72
ARM,2038,0.72
ARM,2039,0.72
ARM,2040,0.72
ARM,2041,0.72
ARM,2042,0.72
ARM,2043,0.72
ARM,2044,0.72
ARM,2045,0.72
ARM,2046,0.72
ARM,2047,0.72
ARM,2048,0.72
ARM,2049,0.72
ARM,2050,0.72
AUS,2010,0.72
AUS,2011,0.72
AUS,2012,0.72
AUS,2013,0.72
AUS,2014,0.72
