year,iso_code3,net_imports_cement_clinker_tonne
2010,ABW,0.189
2011,ABW,0.05
2012,ABW,0.372
2013,ABW,9.079066666666668
2014,ABW,0.935
2015,ABW,1.4669999999999999
2016,ABW,2.866
2017,ABW,0.914
2018,ABW,28.1387
2019,ABW,92.4238
2020,ABW,0.593
2021,ABW,9.079066666666668
2022,ABW,9.079066666666668
2023,ABW,9.079066666666668
2024,ABW,9.079066666666668
2025,ABW,9.079066666666668
2026,ABW,9.079066666666668
2027,ABW,9.079066666666668
2028,ABW,9.079066666666668
2029,ABW,9.079066666666668
2030,ABW,9.079066666666668
2031,ABW,9.079066666666668
2032,ABW,9.079066666666668
2033,ABW,9.079066666666668
2034,ABW,9.079066666666668
2035,ABW,9.079066666666668
2036,ABW,9.079066666666668
2037,ABW,9.079066666666668
2038,ABW,9.079066666666668
2039,ABW,9.079066666666668
2040,ABW,9.079066666666668
2041,ABW,9.079066666666668
2042,ABW,9.079066666666668
2043,ABW,9.079066666666668
2044,ABW,9.079066666666668
2045,ABW,9.079066666666668
2046,ABW,9.079066666666668
2047,ABW,9.079066666666668
2048,ABW,9.079066666666668
2049,ABW,9.079066666666668
2050,ABW,9.079066666666668
2010,AGO,417801.0
2011,AGO,742778.0
2012,AGO,1093720.0
2013,AGO,531978.0
2014,AGO,693329.0
2015,AGO,5883790.0
2016,AGO,979780.0
2017,AGO,-74500.0
2018,AGO,202777.0
2019,AGO,170931.7
2020,AGO,-198492.9
2021,AGO,-705090.2
2022,AGO,649950.1545454545
2023,AGO,649950.1545454545
2024,AGO,649950.1545454545
2025,AGO,649950.1545454545
2026,AGO,649950.1545454545
2027,AGO,649950.1545454545
2028,AGO,649950.1545454545
2029,AGO,649950.1545454545
2030,AGO,649950.1545454545
2031,AGO,649950.1545454545
2032,AGO,649950.1545454545
2033,AGO,649950.1545454545
2034,AGO,649950.1545454545
2035,AGO,649950.1545454545
2036,AGO,649950.1545454545
2037,AGO,649950.1545454545
2038,AGO,649950.1545454545
2039,AGO,649950.1545454545
2040,AGO,649950.1545454545
2041,AGO,649950.1545454545
2042,AGO,649950.1545454545
2043,AGO,649950.1545454545
2044,AGO,649950.1545454545
2045,AGO,649950.1545454545
2046,AGO,649950.1545454545
2047,AGO,649950.1545454545
2048,AGO,649950.1545454545
2049,AGO,649950.1545454545
2050,AGO,649950.1545454545
2010,ALB,-87549.63
2011,ALB,-23341.0
2012,ALB,5260.0
2013,ALB,61594.7
2014,ALB,-8934.051250000002
2015,ALB,-8934.051250000002
2016,ALB,-4677.74
2017,ALB,-8934.051250000002
2018,ALB,-8934.051250000002
2019,ALB,-8934.051250000002
2020,ALB,-8934.051250000002
2021,ALB,-8934.051250000002
2022,ALB,-8934.051250000002
2023,ALB,-8934.051250000002
2024,ALB,-8934.051250000002
2025,ALB,-8934.051250000002
2026,ALB,-8934.051250000002
2027,ALB,-8934.051250000002
2028,ALB,-8934.051250000002
2029,ALB,-8934.051250000002
2030,ALB,-8934.051250000002
2031,ALB,-8934.051250000002
2032,ALB,-8934.051250000002
2033,ALB,-8934.051250000002
2034,ALB,-8934.051250000002
2035,ALB,-8934.051250000002
2036,ALB,-8934.051250000002
2037,ALB,-8934.051250000002
2038,ALB,-8934.051250000002
2039,ALB,-8934.051250000002
2040,ALB,-8934.051250000002
2041,ALB,-8934.051250000002
2042,ALB,-8934.051250000002
2043,ALB,-8934.051250000002
2044,ALB,-8934.051250000002
2045,ALB,-8934.051250000002
2046,ALB,-8934.051250000002
2047,ALB,-8934.051250000002
2048,ALB,-8934.051250000002
2049,ALB,-8934.051250000002
2050,ALB,-8934.051250000002
2011,AND,833.34
2012,AND,58.64
2013,AND,870.998
2014,AND,12079.0
2015,AND,8097.110000000001
2016,AND,13558.4
2017,AND,6333.2
2018,AND,350691.36
2019,AND,23597.4
2020,AND,18849.3
2021,AND,11206.300000000001
2022,AND,27080.004800000002
2023,AND,27080.004800000002
2024,AND,27080.004800000002
2025,AND,27080.004800000002
2026,AND,27080.004800000002
2027,AND,27080.004800000002
2028,AND,27080.004800000002
