year,iso_code3,ef_ippu_tonne_c5f12_per_tonne_production_chemicals,ef_ippu_tonne_nf3_per_tonne_production_chemicals,ef_ippu_tonne_nf3_per_tonne_production_electronics,ef_ippu_tonne_sf6_per_tonne_production_metals,ef_ippu_tonne_sf6_per_tonne_production_chemicals,ef_ippu_tonne_sf6_per_tonne_production_electronics,ef_ippu_tonne_sf6_per_mmm_gdp_other_product_manufacturing,ef_ippu_tonne_chf3_per_tonne_production_chemicals,ef_ippu_tonne_chf3_per_tonne_production_electronics,ef_ippu_tonne_ch2f2_per_tonne_production_chemicals,ef_ippu_tonne_ch2f2_per_tonne_production_electronics,ef_ippu_tonne_ch3f_per_tonne_production_electronics,ef_ippu_tonne_c2hf5_per_tonne_production_chemicals,ef_ippu_tonne_chf2cf3_per_tonne_production_chemicals,ef_ippu_tonne_c2h3f3_per_tonne_production_chemicals,ef_ippu_tonne_ch3chf2_per_tonne_production_chemicals,ef_ippu_tonne_c3hf7_per_tonne_production_chemicals,ef_ippu_tonne_c4h5f5_per_tonne_production_chemicals,ef_ippu_tonne_cf4_per_tonne_production_metals,ef_ippu_tonne_cf4_per_tonne_production_chemicals,ef_ippu_tonne_cf4_per_tonne_production_electronics,ef_ippu_tonne_c2f6_per_tonne_production_metals,ef_ippu_tonne_c2f6_per_tonne_production_chemicals,ef_ippu_tonne_c2f6_per_tonne_production_electronics,ef_ippu_tonne_c3f8_per_tonne_production_chemicals,ef_ippu_tonne_c3f8_per_tonne_production_electronics,ef_ippu_tonne_cc4f8_per_tonne_production_chemicals,ef_ippu_tonne_cc4f8_per_tonne_production_electronics,ef_ippu_tonne_c4f10_per_tonne_production_chemicals,ef_ippu_tonne_c6f14_per_tonne_production_chemicals,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_chf3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_ch2f2_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_chf2cf3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c2h3f3_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_ch3chf2_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3hf7_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3h2f6_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c3h3f5_per_mmm_gdp_product_use_ods_refrigeration,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c5h2f10_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_cf4_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c2f6_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c4f10_per_mmm_gdp_product_use_ods_other,ef_ippu_tonne_c6f14_per_mmm_gdp_product_use_ods_other
2010,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
