ISO_A3,kcc,count
ABW,221.0,201
AFG,211.0,226737
AFG,212.0,17366
AFG,221.0,12313
AFG,222.0,178003
AFG,311.0,92465
AFG,312.0,16078
AFG,321.0,49
AFG,331.0,3333
AFG,332.0,1004
AFG,411.0,39513
AFG,412.0,185296
AFG,413.0,82343
AFG,421.0,2
AFG,432.0,449
AFG,433.0,128
AFG,510.0,46135
AFG,520.0,131
AGO,120.0,572869
AGO,211.0,53490
AGO,212.0,58
AGO,221.0,260915
AGO,222.0,267
AGO,321.0,480629
AGO,322.0,122939
ALB,311.0,12398
ALB,312.0,1605
ALB,331.0,9326
ALB,332.0,18309
ALB,432.0,1412
ALB,433.0,691
ALB,510.0,3
AND,332.0,316
AND,333.0,40
AND,433.0,274
AND,510.0,84
ARE,211.0,90422
ARE,221.0,11
ARE,222.0,3
ARG,211.0,68253
ARG,212.0,728013
ARG,221.0,336906
ARG,222.0,1033069
ARG,312.0,132483
ARG,313.0,46356
ARG,321.0,239779
ARG,322.0,31941
ARG,331.0,1094903
ARG,332.0,130355
ARG,333.0,38149
ARG,412.0,1
ARG,413.0,165
ARG,433.0,22
ARG,510.0,126611
ARG,520.0,4678
ARM,222.0,4185
ARM,311.0,261
ARM,312.0,159
ARM,331.0,1555
ARM,332.0,3341
ARM,411.0,31
ARM,412.0,1251
ARM,413.0,460
ARM,431.0,1085
ARM,432.0,27477
ARM,433.0,5132
ARM,510.0,194
ASM,110.0,189
ATG,120.0,520
ATG,130.0,16
AUS,110.0,2003
AUS,120.0,824717
AUS,130.0,6695
AUS,211.0,4492033
AUS,212.0,131674
AUS,221.0,2323710
AUS,222.0,780235
AUS,311.0,115900
AUS,312.0,180936
AUS,321.0,63075
AUS,322.0,27
AUS,331.0,589417
AUS,332.0,495876
AUS,333.0,8521
AUS,433.0,13
AUS,510.0,1174
AUT,332.0,59835
AUT,432.0,42996
AUT,433.0,27797
AUT,510.0,14002
AZE,222.0,66761
AZE,311.0,10169
AZE,312.0,216
AZE,331.0,23885
AZE,332.0,13791
AZE,411.0,195
AZE,412.0,2095
AZE,413.0,24
AZE,431.0,12
AZE,432.0,9645
AZE,433.0,4049
AZE,510.0,701
BDI,120.0,23080
BDI,312.0,974
BDI,322.0,7639
BEL,332.0,56067
BEN,120.0,137354
BEN,221.0,89
BFA,120.0,260499
BFA,211.0,4168
BFA,221.0,61813
BGD,120.0,60124
BGD,130.0,52351
BGD,321.0,61904
BGR,311.0,13128
BGR,312.0,1794
BGR,331.0,83202
BGR,332.0,64197
BGR,432.0,13496
BGR,433.0,2370
BGR,510.0,410
BHR,211.0,756
BHS,120.0,13530
BHS,130.0,1097
BHS,221.0,1010
BIH,311.0,40
BIH,331.0,13463
