year,time_period,iso_code3,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_ocean,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_wind
2010,-5,ABW,0,0.08841841184828365,0.2612799604807872,0.023496580701756836,0.4652140806380279,0.01572755516516525,0.0,0.0875034868378648,0.001173702448194355,0.029924663432033555
2011,-4,ABW,0,0.09050059166774034,0.2674350739517805,0.023213085360856367,0.4566720919678633,0.017909263686860882,0.0,0.08031315637897864,0.0011785568491525123,0.030058645464558446
2012,-3,ABW,0,0.10087381016398805,0.262731975019404,0.022759772544527296,0.4491598600120554,0.017089666128561092,0.0,0.08223780161919077,0.0011946231876772955,0.03138056601645408
2013,-2,ABW,0,0.10907229697616554,0.26160847152058103,0.022874103507754543,0.44330039960296147,0.018765528469143034,0.0,0.07686937095563678,0.0012351678401487276,0.03193975391036439
2014,-1,ABW,0,0.10317402687497856,0.2624938911886789,0.022804737422381597,0.4571983048418085,0.01750460308783199,0.0,0.06504301258111746,0.0024377428329590807,0.03531724945734508
2015,0,ABW,0,0.1043960752750528,0.27262947432411916,0.02288318033407294,0.4422276904639571,0.018413979807205452,0.0,0.06407223667397496,0.004150510281837795,0.03779287577523357
2016,1,ABW,0,0.10351141678196744,0.26744234005198525,0.02273191038193416,0.4434032086101454,0.019449698571846807,0.0,0.059644611007926944,0.007060332572056109,0.04237163242046565
2017,2,ABW,0,0.0921225884414672,0.2696512916942669,0.022716354797425328,0.4602134209963344,0.01701728829551324,0.0,0.045856167607293295,0.010282963187057228,0.04694976806707385
2018,3,ABW,0,0.09059302021537152,0.2694147272622158,0.022552295438490192,0.4592875786585739,0.018771376219977955,0.0,0.041105175882555516,0.013624981018627224,0.050438950547260296
2019,4,ABW,0,0.09194453359969024,0.27855557282697296,0.022530255398537646,0.4343833497701866,0.01974970905390604,0.0,0.037801263555180334,0.020542580612891964,0.06101305455044479
2020,5,ABW,0,0.08673405631223423,0.27049525367468946,0.02271029572883666,0.4228068493460027,0.021635397330714724,0.0,0.04314585758078957,0.026192481192039218,0.06959045755716654
2021,6,ABW,0,0.07331342763823306,0.2666809738690067,0.022616220554932464,0.4133492642221865,0.02127869338764199,0.0,0.053504798725752555,0.03518099118994635,0.08026491840671751
2022,7,ABW,0,0.056905109675460114,0.24140037343686516,0.023045540869498404,0.44786452983829567,0.017704478478457474,0.0,0.05237691551455436,0.044626085327892535,0.08388624212178947
2023,8,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2024,9,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2025,10,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2026,11,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2027,12,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2028,13,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2029,14,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2030,15,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2031,16,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
2032,17,ABW,0,0.09049670522420794,0.26544525356156035,0.022922176447409005,0.4457854804902102,0.01902334042318916,0.0,0.05583351919979823,0.014264515192516307,0.05260607045472882
