iso_code3,year,time_period,frac_enfu_transmission_loss_fuel_electricity
ABW,2010,-5,0.159928264471272
ABW,2011,-4,0.159928264471272
ABW,2012,-3,0.159928264471272
ABW,2013,-2,0.159928264471272
ABW,2014,-1,0.159928264471272
ABW,2015,0,0.159928264471272
ABW,2016,1,0.159928264471272
ABW,2017,2,0.159928264471272
ABW,2018,3,0.159928264471272
ABW,2019,4,0.159928264471272
ABW,2020,5,0.159928264471272
ABW,2021,6,0.159928264471272
ABW,2022,7,0.159928264471272
ABW,2023,8,0.159928264471272
ABW,2024,9,0.159928264471272
ABW,2025,10,0.159928264471272
ABW,2026,11,0.159928264471272
ABW,2027,12,0.159928264471272
ABW,2028,13,0.159928264471272
ABW,2029,14,0.159928264471272
ABW,2030,15,0.159928264471272
ABW,2031,16,0.159928264471272
ABW,2032,17,0.159928264471272
ABW,2033,18,0.159928264471272
ABW,2034,19,0.159928264471272
ABW,2035,20,0.159928264471272
ABW,2036,21,0.159928264471272
ABW,2037,22,0.159928264471272
ABW,2038,23,0.159928264471272
ABW,2039,24,0.159928264471272
ABW,2040,25,0.159928264471272
ABW,2041,26,0.159928264471272
ABW,2042,27,0.159928264471272
ABW,2043,28,0.159928264471272
ABW,2044,29,0.159928264471272
ABW,2045,30,0.159928264471272
ABW,2046,31,0.159928264471272
ABW,2047,32,0.159928264471272
ABW,2048,33,0.159928264471272
ABW,2049,34,0.159928264471272
ABW,2050,35,0.159928264471272
AFG,2010,-5,0.162262671639261
AFG,2011,-4,0.168829529919024
AFG,2012,-3,0.170319895968791
AFG,2013,-2,0.162688804335293
AFG,2014,-1,0.17135566605600602
AFG,2015,0,0.16709131358367502
AFG,2016,1,0.16709131358367502
AFG,2017,2,0.16709131358367502
AFG,2018,3,0.16709131358367502
AFG,2019,4,0.16709131358367502
AFG,2020,5,0.16709131358367502
AFG,2021,6,0.16709131358367502
AFG,2022,7,0.16709131358367502
AFG,2023,8,0.16709131358367502
AFG,2024,9,0.16709131358367502
AFG,2025,10,0.16709131358367502
AFG,2026,11,0.16709131358367502
AFG,2027,12,0.16709131358367502
AFG,2028,13,0.16709131358367502
AFG,2029,14,0.16709131358367502
AFG,2030,15,0.16709131358367502
AFG,2031,16,0.16709131358367502
AFG,2032,17,0.16709131358367502
AFG,2033,18,0.16709131358367502
AFG,2034,19,0.16709131358367502
AFG,2035,20,0.16709131358367502
AFG,2036,21,0.16709131358367502
AFG,2037,22,0.16709131358367502
AFG,2038,23,0.16709131358367502
AFG,2039,24,0.16709131358367502
AFG,2040,25,0.16709131358367502
AFG,2041,26,0.16709131358367502
AFG,2042,27,0.16709131358367502
AFG,2043,28,0.16709131358367502
AFG,2044,29,0.16709131358367502
AFG,2045,30,0.16709131358367502
AFG,2046,31,0.16709131358367502
AFG,2047,32,0.16709131358367502
AFG,2048,33,0.16709131358367502
AFG,2049,34,0.16709131358367502
AFG,2050,35,0.16709131358367502
AGO,2010,-5,0.115066984767847
AGO,2011,-4,0.112723411785525
AGO,2012,-3,0.112669245647969
AGO,2013,-2,0.112706913339825
AGO,2014,-1,0.11265822784810099
AGO,2015,0,0.1131649566778534
AGO,2016,1,0.1131649566778534
AGO,2017,2,0.1131649566778534
AGO,2018,3,0.1131649566778534
AGO,2019,4,0.1131649566778534
AGO,2020,5,0.1131649566778534
AGO,2021,6,0.1131649566778534
AGO,2022,7,0.1131649566778534
AGO,2023,8,0.1131649566778534
AGO,2024,9,0.1131649566778534
AGO,2025,10,0.1131649566778534
AGO,2026,11,0.1131649566778534
AGO,2027,12,0.1131649566778534
AGO,2028,13,0.1131649566778534
AGO,2029,14,0.1131649566778534
AGO,2030,15,0.1131649566778534
AGO,2031,16,0.1131649566778534
AGO,2032,17,0.1131649566778534
AGO,2033,18,0.1131649566778534
AGO,2034,19,0.1131649566778534
AGO,2035,20,0.1131649566778534
AGO,2036,21,0.1131649566778534
AGO,2037,22,0.1131649566778534
AGO,2038,23,0.1131649566778534
AGO,2039,24,0.1131649566778534
AGO,2040,25,0.1131649566778534
AGO,2041,26,0.1131649566778534
AGO,2042,27,0.1131649566778534
AGO,2043,28,0.1131649566778534
AGO,2044,29,0.1131649566778534
AGO,2045,30,0.1131649566778534
AGO,2046,31,0.1131649566778534
AGO,2047,32,0.1131649566778534
AGO,2048,33,0.1131649566778534
AGO,2049,34,0.1131649566778534
AGO,2050,35,0.1131649566778534
ALB,2010,-5,0.126585623678647
ALB,2011,-4,0.249343832020997
ALB,2012,-3,0.23682539682539702
ALB,2013,-2,0.279925276620204
ALB,2014,-1,0.236875529212532
ALB,2015,0,0.2259111316715554
ALB,2016,1,0.2259111316715554
ALB,2017,2,0.2259111316715554
ALB,2018,3,0.2259111316715554
ALB,2019,4,0.2259111316715554
ALB,2020,5,0.2259111316715554
ALB,2021,6,0.2259111316715554
ALB,2022,7,0.2259111316715554
ALB,2023,8,0.2259111316715554
ALB,2024,9,0.2259111316715554
ALB,2025,10,0.2259111316715554
ALB,2026,11,0.2259111316715554
ALB,2027,12,0.2259111316715554
ALB,2028,13,0.2259111316715554
ALB,2029,14,0.2259111316715554
ALB,2030,15,0.2259111316715554
ALB,2031,16,0.2259111316715554
ALB,2032,17,0.2259111316715554
ALB,2033,18,0.2259111316715554
ALB,2034,19,0.2259111316715554
ALB,2035,20,0.2259111316715554
ALB,2036,21,0.2259111316715554
ALB,2037,22,0.2259111316715554
ALB,2038,23,0.2259111316715554
ALB,2039,24,0.2259111316715554
ALB,2040,25,0.2259111316715554
ALB,2041,26,0.2259111316715554
ALB,2042,27,0.2259111316715554
ALB,2043,28,0.2259111316715554
ALB,2044,29,0.2259111316715554
ALB,2045,30,0.2259111316715554
ALB,2046,31,0.2259111316715554
ALB,2047,32,0.2259111316715554
ALB,2048,33,0.2259111316715554
ALB,2049,34,0.2259111316715554
ALB,2050,35,0.2259111316715554
AND,2010,-5,0.0627590667836288
AND,2011,-4,0.0582556728824983
AND,2012,-3,0.067322715836427
AND,2013,-2,0.0662596006686085
AND,2014,-1,0.0634238936577899
AND,2015,0,0.0636041899657905
AND,2016,1,0.0636041899657905
AND,2017,2,0.0636041899657905
AND,2018,3,0.0636041899657905
AND,2019,4,0.0636041899657905
AND,2020,5,0.0636041899657905
AND,2021,6,0.0636041899657905
AND,2022,7,0.0636041899657905
AND,2023,8,0.0636041899657905
AND,2024,9,0.0636041899657905
