fao_crop,cat_1,``$CAT-AGRICULTURE$``,super_cat
"Abaca, manila hemp, raw",fibers,fibers,fibers
Agave fibres nes,fibers,fibers,fibers
"Agave fibres, raw, n.e.c.",fibers,fibers,fibers
"Almonds, in shell",nuts,nuts,woody_perennial
"Almonds, with shell",nuts,nuts,woody_perennial
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",herbs,herbs_and_other_perennial_crops,herbs
"Anise, badian, fennel, coriander",herbs,herbs_and_other_perennial_crops,herbs
Apples,fruits,fruits,woody_perennial
Apricots,fruits,fruits,woody_perennial
Areca nuts,nuts,nuts,woody_perennial
Artichokes,vegetables,vegetables_and_vines,annual_crops
Asparagus,vegetables,vegetables_and_vines,annual_crops
Avocados,fruits,fruits,woody_perennial
Bambara beans,pulses,pulses,perennial_crops
"Bambara beans, dry",pulses,pulses,perennial_crops
Bananas,fruits,fruits,woody_perennial
Barley,cereals,cereals,cereals
"Bastfibres, other",fibers,fibers,fibers
"Beans, dry",pulses,pulses,perennial_crops
"Beans, green",pulses,pulses,perennial_crops
Berries nes,fruits,fruits,woody_perennial
Blueberries,fruits,fruits,woody_perennial
"Brazil nuts, with shell",nuts,nuts,woody_perennial
"Broad beans and horse beans, dry",pulses,pulses,perennial_crops
"Broad beans and horse beans, green",pulses,pulses,perennial_crops
"Broad beans, horse beans, dry",pulses,pulses,perennial_crops
Buckwheat,cereals,cereals,cereals
Cabbages,vegetables,vegetables_and_vines,annual_crops
Cabbages and other brassicas,vegetables,vegetables_and_vines,annual_crops
Canary seed,cereals,cereals,cereals
Cantaloupes and other melons,vegetables,vegetables_and_vines,annual_crops
Carobs,fruits,fruits,woody_perennial
Carrots and turnips,vegetables,vegetables_and_vines,annual_crops
"Cashew nuts, in shell",nuts,nuts,woody_perennial
"Cashew nuts, with shell",nuts,nuts,woody_perennial
Cashewapple,fruits,fruits,woody_perennial
Cassava,tubers,tubers,tubers
Cassava leaves,tubers,tubers,tubers
"Cassava, fresh",tubers,tubers,tubers
Castor oil seed,oil_bearing_perennial,other_woody_perennial,woody_perennial
Castor oil seeds,oil_bearing_perennial,other_woody_perennial,woody_perennial
Cauliflowers and broccoli,vegetables,vegetables_and_vines,annual_crops
Cereals n.e.c.,cereals,cereals,cereals
Cereals nes,cereals,cereals,cereals
"Cereals, primary",cereals,cereals,cereals
Cherries,fruits,fruits,woody_perennial
"Cherries, sour",fruits,fruits,woody_perennial
Chestnut,nuts,nuts,woody_perennial
"Chestnuts, in shell",nuts,nuts,woody_perennial
Chick peas,pulses,pulses,perennial_crops
"Chick peas, dry",pulses,pulses,perennial_crops
Chicory roots,herbs,herbs_and_other_perennial_crops,herbs
"Chillies and peppers, dry",vegetables,vegetables_and_vines,annual_crops
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",vegetables,vegetables_and_vines,annual_crops
"Chillies and peppers, green",vegetables,vegetables_and_vines,annual_crops
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",vegetables,vegetables_and_vines,annual_crops
Cinnamon (cannella),bevs_and_spices,bevs_and_spices,woody_perennial
"Cinnamon and cinnamon-tree flowers, raw",bevs_and_spices,bevs_and_spices,woody_perennial
Cloves,bevs_and_spices,bevs_and_spices,woody_perennial
"Cloves (whole stems), raw",bevs_and_spices,bevs_and_spices,woody_perennial
Cocoa beans,bevs_and_spices,bevs_and_spices,woody_perennial
"Cocoa, beans",bevs_and_spices,bevs_and_spices,woody_perennial
Coconuts,fruits,fruits,woody_perennial
"Coconuts, in shell",fruits,fruits,woody_perennial
"Coffee, green",bevs_and_spices,bevs_and_spices,woody_perennial
"Coir, raw",fruits,fruits,woody_perennial
"Cow peas, dry",pulses,pulses,perennial_crops
Cranberries,fruits,fruits,woody_perennial
Cucumbers and gherkins,vegetables,vegetables_and_vines,annual_crops
Currants,fruits,fruits,woody_perennial
Dates,fruits,fruits,woody_perennial
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",tubers,tubers,tubers
Eggplants (aubergines),vegetables,vegetables_and_vines,annual_crops
Fibre crops nes,cereals,cereals,cereals
"Fibre Crops, Fibre Equivalent",cereals,cereals,cereals
Figs,fruits,fruits,woody_perennial
Flax fibre and tow,cereals,cereals,cereals
"Flax, raw or retted",cereals,cereals,cereals
Fonio,cereals,cereals,cereals
Fruit Primary,fruits,fruits,woody_perennial
