r,l,pp_hydropower,pp_solar,pp_biogas,pp_biomass,pp_coal,pp_gas,pp_geothermal,pp_nuclear,pp_ocean,pp_oil,pp_waste_incineration,pp_wind
afghanistan,dec_feb_wd0,0.3931575192550066,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,dec_feb_wd12,0.3931575192550066,0.4743198060941828,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,dec_feb_wd18,0.3931575192550066,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,dec_feb_wd6,0.3931575192550066,0.18069325946445067,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,dec_feb_we0,0.3931575192550066,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,dec_feb_we12,0.3931575192550066,0.4743198060941828,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,dec_feb_we18,0.3931575192550066,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,dec_feb_we6,0.3931575192550066,0.18069325946445067,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,jun_aug_wd0,0.20309643102202427,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,jun_aug_wd12,0.20309643102202427,0.558527850410459,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,jun_aug_wd18,0.20309643102202427,0.04654398753420494,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,jun_aug_wd6,0.20309643102202427,0.34575533596837954,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,jun_aug_we0,0.20309643102202427,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,jun_aug_we12,0.20309643102202427,0.558527850410459,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
afghanistan,jun_aug_we18,0.20309643102202427,0.04654398753420494,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
