``$TIME-SLICE$``,description,tg1,tg2,lorder,weight
summerwd0,summer weekdays from 0:00 to 1:00,summer,weekday,1,0.007440476
summerwd1,summer weekdays from 1:00 to 2:00,summer,weekday,2,0.007440476
summerwd2,summer weekdays from 2:00 to 3:00,summer,weekday,3,0.007440476
summerwd3,summer weekdays from 3:00 to 4:00,summer,weekday,4,0.007440476
summerwd4,summer weekdays from 4:00 to 5:00,summer,weekday,5,0.007440476
summerwd5,summer weekdays from 5:00 to 6:00,summer,weekday,6,0.007440476
summerwd6,summer weekdays from 6:00 to 7:00,summer,weekday,7,0.007440476
summerwd7,summer weekdays from 7:00 to 8:00,summer,weekday,8,0.007440476
summerwd8,summer weekdays from 8:00 to 9:00,summer,weekday,9,0.007440476
summerwd9,summer weekdays from 9:00 to 10:00,summer,weekday,10,0.007440476
summerwd10,summer weekdays from 10:00 to 11:00,summer,weekday,11,0.007440476
summerwd11,summer weekdays from 11:00 to 12:00,summer,weekday,12,0.007440476
summerwd12,summer weekdays from 12:00 to 13:00,summer,weekday,13,0.007440476
summerwd13,summer weekdays from 13:00 to 14:00,summer,weekday,14,0.007440476
summerwd14,summer weekdays from 14:00 to 15:00,summer,weekday,15,0.007440476
summerwd15,summer weekdays from 15:00 to 16:00,summer,weekday,16,0.007440476
summerwd16,summer weekdays from 16:00 to 17:00,summer,weekday,17,0.007440476
summerwd17,summer weekdays from 17:00 to 18:00,summer,weekday,18,0.007440476
summerwd18,summer weekdays from 18:00 to 19:00,summer,weekday,19,0.007440476
summerwd19,summer weekdays from 19:00 to 20:00,summer,weekday,20,0.007440476
summerwd20,summer weekdays from 20:00 to 21:00,summer,weekday,21,0.007440476
summerwd21,summer weekdays from 21:00 to 22:00,summer,weekday,22,0.007440476
summerwd22,summer weekdays from 22:00 to 23:00,summer,weekday,23,0.007440476
summerwd23,summer weekdays from 23:00 to 24:00,summer,weekday,24,0.007440476
fallwd0,fall weekdays from 0:00 to 1:00,fall,weekday,1,0.007440476
fallwd1,fall weekdays from 1:00 to 2:00,fall,weekday,2,0.007440476
fallwd2,fall weekdays from 2:00 to 3:00,fall,weekday,3,0.007440476
fallwd3,fall weekdays from 3:00 to 4:00,fall,weekday,4,0.007440476
fallwd4,fall weekdays from 4:00 to 5:00,fall,weekday,5,0.007440476
fallwd5,fall weekdays from 5:00 to 6:00,fall,weekday,6,0.007440476
fallwd6,fall weekdays from 6:00 to 7:00,fall,weekday,7,0.007440476
fallwd7,fall weekdays from 7:00 to 8:00,fall,weekday,8,0.007440476
fallwd8,fall weekdays from 8:00 to 9:00,fall,weekday,9,0.007440476
fallwd9,fall weekdays from 9:00 to 10:00,fall,weekday,10,0.007440476
