ippu_var_calib,sum_group,sum_restriction_by_group,var_in_01_interval,parameter_constant_q,Fixed Parameter,Calibration,Calibration_in_integrated_only,Parameter That Needs Better Starting Value Before Calibration,Historical Data ,Historical Data for Initial Time Period with Calibration in Projection Periods,Output from other Models,Fixed in Calibration (future lever),Notes
demscalar_ippu_cement,,,1,,,,,,,,,1,
demscalar_ippu_chemicals,,,1,,,,,,,,,1,
demscalar_ippu_construction_and_demolition,,,1,,,,,,,,,1,
demscalar_ippu_electronics,,,1,,,,,,,,,1,
demscalar_ippu_glass,,,1,,,,,,,,,1,
demscalar_ippu_lime_and_carbonite,,,1,,,,,,,,,1,
demscalar_ippu_metals,,,1,,,,,,,,,1,
demscalar_ippu_non_energy_products,,,1,,,,,,,,,1,
demscalar_ippu_ods_products,,,1,,,,,,,,,1,
demscalar_ippu_other_industries,,,1,,,,,,,,,1,
demscalar_ippu_other_product_manufacturing,,,1,,,,,,,,,1,
demscalar_ippu_paper,,,1,,,,,,,,,1,
demscalar_ippu_plastic,,,1,,,,,,,,,1,
demscalar_ippu_recycled_glass,,,1,,,,,,,,,1,
demscalar_ippu_recycled_metals,,,1,,,,,,,,,1,
demscalar_ippu_recycled_paper,,,1,,,,,,,,,1,
demscalar_ippu_recycled_plastic,,,1,,,,,,,,,1,
demscalar_ippu_recycled_rubber_and_leather,,,1,,,,,,,,,1,
demscalar_ippu_recycled_textiles,,,1,,,,,,,,,1,
demscalar_ippu_recycled_wood,,,1,,,,,,,,,1,
demscalar_ippu_rubber_and_leather,,,1,,,,,,,,,1,
demscalar_ippu_textiles,,,1,,,,,,,,,1,
ef_ippu_tonne_hfc23_per_tonne_production_chemicals,,,,,,,,1,,,,,
ef_ippu_tonne_hfc23_per_tonne_production_electronics,,,,,,,,1,,,,,
ef_ippu_tonne_co2_per_tonne_production_cement,,,,,,,,1,,,,,
ef_ippu_tonne_co2_per_tonne_production_chemicals,,,,,,,,1,,,,,
ef_ippu_tonne_co2_per_tonne_production_glass,,,,,,,,1,,,,,
ef_ippu_tonne_co2_per_tonne_production_lime_and_carbonite,,,,,,,,1,,,,,
ef_ippu_tonne_co2_per_tonne_production_metals,,,,,,,,1,,,,,
ef_ippu_tonne_co2_per_tonne_production_recycled_glass,,,,,,,,1,,,,,
ef_ippu_tonne_co2_per_mmm_gdp_non_energy_products,,,,,,,,1,,,,,
ef_ippu_tonne_ch4_per_tonne_production_chemicals,,,,,,,,1,,,,,
ef_ippu_tonne_ch4_per_tonne_production_metals,,,,,,,,1,,,,,
ef_ippu_tonne_sf6_per_tonne_production_chemicals,,,,,,,,1,,,,,
ef_ippu_tonne_sf6_per_tonne_production_electronics,,,,,,,,1,,,,,
elast_ippu_cement_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_chemicals_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_electronics_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_glass_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_lime_and_carbonite_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_metals_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_paper_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_plastic_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_recycled_glass_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_recycled_metals_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_recycled_paper_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_recycled_plastic_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_recycled_rubber_and_leather_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_recycled_textiles_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_rubber_and_leather_production_to_gdp,,,,,,,,1,,,,,
elast_ippu_textiles_production_to_gdp,,,,,,,,1,,,,,
ef_ippu_tonne_n2o_per_tonne_production_chemicals,,,,,,,,1,,,,,
ef_ippu_tonne_n2o_per_mmm_gdp_other_product_manufacturing,,,,,,,,1,,,,,
qty_ippu_cement_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_chemicals_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_electronics_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_glass_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_lime_and_carbonite_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_metals_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_paper_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_plastic_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_recycled_glass_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_recycled_metals_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_recycled_paper_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_recycled_plastic_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_recycled_rubber_and_leather_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_recycled_textiles_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_recycled_wood_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_rubber_and_leather_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
qty_ippu_textiles_tonne_cod_per_m3_ww,,,,,,,,1,,,,,
ef_ippu_tonne_hfc134a_per_tonne_production_ods_products,,,,,,,,1,,,,,
prodinit_ippu_cement_tonne,,,,,,,,,1,,,,Only the value in the first period matters. Future values of production are projected based on elasticities and gdp/capita
prodinit_ippu_chemicals_tonne,,,,,,,,,1,,,,Only the value in the first period matters. Future values of production are projected based on elasticities and gdp/capita
prodinit_ippu_electronics_tonne,,,,,,,,,1,,,,Only the value in the first period matters. Future values of production are projected based on elasticities and gdp/capita
prodinit_ippu_glass_tonne,,,,,,,,,1,,,,Only the value in the first period matters. Future values of production are projected based on elasticities and gdp/capita
prodinit_ippu_lime_and_carbonite_tonne,,,,,,,,,1,,,,Only the value in the first period matters. Future values of production are projected based on elasticities and gdp/capita
prodinit_ippu_metals_tonne,,,,,,,,,1,,,,Only the value in the first period matters. Future values of production are projected based on elasticities and gdp/capita
prodinit_ippu_paper_tonne,,,,,,,,,1,,,,Only the value in the first period matters. Future values of production are projected based on elasticities and gdp/capita
prodinit_ippu_plastic_tonne,,,,,,,,,1,,,,Only the value in the first period matters. Future values of production are projected based on elasticities and gdp/capita
prodinit_ippu_recycled_glass_tonne,,,,,,,,,,,1,,Total recycled waste comes from solid waste model
prodinit_ippu_recycled_metals_tonne,,,,,,,,,,,1,,Total recycled waste comes from solid waste model
prodinit_ippu_recycled_paper_tonne,,,,,,,,,,,1,,Total recycled waste comes from solid waste model
prodinit_ippu_recycled_plastic_tonne,,,,,,,,,,,1,,Total recycled waste comes from solid waste model
prodinit_ippu_recycled_rubber_and_leather_tonne,,,,,,,,,,,1,,Total recycled waste comes from solid waste model
