variable,variable_trajectory_group
ef_lvst_entferm_buffalo_kg_ch4_head,1
ef_lvst_entferm_cattle_dairy_kg_ch4_head,1
ef_lvst_entferm_cattle_nondairy_kg_ch4_head,1
ef_lvst_entferm_goats_kg_ch4_head,1
ef_lvst_entferm_sheep_kg_ch4_head,1
yf_agrc_bevs_and_spices_tonne_ha,2
yf_agrc_cereals_tonne_ha,2
yf_agrc_fibers_tonne_ha,2
yf_agrc_fruits_tonne_ha,2
yf_agrc_herbs_and_other_perennial_crops_tonne_ha,2
yf_agrc_nuts_tonne_ha,2
yf_agrc_other_annual_tonne_ha,2
yf_agrc_other_woody_perennial_tonne_ha,2
yf_agrc_pulses_tonne_ha,2
yf_agrc_rice_tonne_ha,2
yf_agrc_sugar_cane_tonne_ha,2
yf_agrc_tubers_tonne_ha,2
yf_agrc_vegetables_and_vines_tonne_ha,2
demscalar_soil_fertilizer_n_per_area,3
demscalar_soil_liming_per_area,3
demscalar_ippu_cement,4
demscalar_ippu_chemicals,4
demscalar_ippu_construction_and_demolition,4
demscalar_ippu_electronics,4
demscalar_ippu_glass,4
demscalar_ippu_lime_and_carbonite,4
demscalar_ippu_metals,4
demscalar_ippu_mining,4
demscalar_ippu_other_industries,4
demscalar_ippu_other_product_manufacturing,4
demscalar_ippu_paper,4
demscalar_ippu_plastic,4
demscalar_ippu_product_use_lubricants,4
demscalar_ippu_product_use_ods_other,4
demscalar_ippu_product_use_ods_refrigeration,4
demscalar_ippu_product_use_other,4
demscalar_ippu_product_use_paraffin_wax,4
demscalar_ippu_rubber_and_leather,4
demscalar_ippu_textiles,4
demscalar_ippu_wood,4
efficfactor_enfu_industrial_energy_fuel_biomass,5
efficfactor_enfu_industrial_energy_fuel_coal,5
efficfactor_enfu_industrial_energy_fuel_coke,5
efficfactor_enfu_industrial_energy_fuel_diesel,5
efficfactor_enfu_industrial_energy_fuel_electricity,5
efficfactor_enfu_industrial_energy_fuel_furnace_gas,5
efficfactor_enfu_industrial_energy_fuel_gasoline,5
efficfactor_enfu_industrial_energy_fuel_hydrocarbon_gas_liquids,5
efficfactor_enfu_industrial_energy_fuel_hydrogen,5
efficfactor_enfu_industrial_energy_fuel_kerosene,5
efficfactor_enfu_industrial_energy_fuel_natural_gas,5
efficfactor_enfu_industrial_energy_fuel_oil,5
efficfactor_enfu_industrial_energy_fuel_solar,5
elecfuelefficiency_trns_aviation_km_per_kwh,6
elecfuelefficiency_trns_powered_bikes_km_per_kwh,6
elecfuelefficiency_trns_public_km_per_kwh,6
elecfuelefficiency_trns_rail_freight_km_per_kwh,6
elecfuelefficiency_trns_rail_passenger_km_per_kwh,6
elecfuelefficiency_trns_road_heavy_freight_km_per_kwh,6
elecfuelefficiency_trns_road_heavy_regional_km_per_kwh,6
elecfuelefficiency_trns_road_light_km_per_kwh,6
elecfuelefficiency_trns_water_borne_km_per_kwh,6
factor_waso_waste_per_capita_scalar_food,7
frac_fgtv_drained_and_waste_ch4_flared_fuel_coal,8
frac_fgtv_drained_and_waste_ch4_flared_fuel_oil,8
frac_fgtv_reduction_in_fugitive_leaks,8
frac_agrc_agriculture_production_lost,9
frac_agrc_crop_residues_burned,10
frac_agrc_crop_residues_removed,10
frac_agrc_no_till_cereals,10
frac_agrc_no_till_fibers,10
frac_agrc_no_till_other_annual,10
frac_agrc_no_till_pulses,10
frac_agrc_no_till_tubers,10
frac_agrc_no_till_vegetables_and_vines,10
frac_ccsq_energydem_direct_air_capture_electricity,11
frac_ccsq_energydem_direct_air_capture_heat,11
frac_enfu_transmission_loss_fuel_electricity,12
elasticity_agrc_sugar_cane_demand_to_income,13
frac_gnrl_eating_red_meat,13
frac_ippu_cement_clinker,14
frac_ippu_production_with_co2_capture_cement,15
frac_ippu_production_with_co2_capture_chemicals,15
frac_ippu_production_with_co2_capture_metals,15
frac_ippu_production_with_co2_capture_plastic,15
frac_lvst_mm_buffalo_anaerobic_digester,16
frac_lvst_mm_buffalo_anaerobic_lagoon,16
frac_lvst_mm_buffalo_composting,16
frac_lvst_mm_buffalo_daily_spread,16
