``$NEMOMOD-TABLE$``,SISEPUEDE Table Source,Default Value,Notes
AccumulatedAnnualDemand,Unused,0,
AnnualEmissionLimit,Input Data,1.00E+10,
AnnualExogenousEmission,Integrated Model,0,
AvailabilityFactor,Reference Input Data,1,
CapacityOfOneTechnologyUnit,Unused,0,
CapacityToActivityUnit,Configuration File,,
CapitalCost,Input Data,0,
CapitalCostStorage,Input Data,0,
DepreciationMethod,Default,1,
DiscountRate,Configuration File,,
EmissionActivityRatio,Input Data,0,
EmissionsPenalty,Input Data,0,
FixedCost,Input Data,0,
InputActivityRatio,Input Data,0,
MinStorageCharge,Input Data,0,
ModelPeriodEmissionLimit,Input Data,1.00E+12,
ModelPeriodExogenousEmission,Integrated Model,0,
OperationalLife,Attribute Table - Technology,1,
OperationalLifeStorage,Attribute Table - Technology,99,
OutputActivityRatio,Default,0,
REMinProductionTarget,Default,0,
RETagTechnology,Attribute Table - Technology,0,
ReserveMargin,Input Data,1,
ReserveMarginTagFuel,Attribute Table - Fuel,0,
ReserveMarginTagTechnology,Attribute Table - Technology,0.05,
ResidualCapacity,Input Data,0,
ResidualStorageCapacity,Input Data,999,
SpecifiedAnnualDemand,Integrated Model,0,
SpecifiedDemandProfile,Reference Input Data,0,
StorageLevelStart,Input Data,999,
StorageMaxChargeRate,Attribute Table - Storage,99,
StorageMaxDischargeRate,Attribute Table - Storage,99,
TechnologyFromStorage,Attribute Table - Technology,0,
TechnologyToStorage,Attribute Table - Technology,0,
TotalAnnualMaxCapacity,Input Data,1.00E+10,
TotalAnnualMaxCapacityInvestment,Input Data,1.00E+10,
TotalAnnualMinCapacity,Input Data,0,
TotalAnnualMinCapacityInvestment,Input Data,0,
TotalTechnologyAnnualActivityLowerLimit,Input Data,0.00E+00,
TotalTechnologyAnnualActivityUpperLimit,Input Data,1.00E+10,
TotalTechnologyModelPeriodActivityLowerLimit,Input Data,0,
TotalTechnologyModelPeriodActivityUpperLimit,Input Data,1.00E+10,
TradeRoute,Unused,0,
VariableCost,Input Data,0,
