Energy,``$UNIT-ENERGY$``,Hourly ``$UNIT-POWER$`` Equivalent,Annualized ``$UNIT-POWER$`` Equivalent,Name ,Energy Equivalent kJ,Energy Equivalent BTU,Energy Equivalent MJ,Energy Equivalent MBTU,Energy Equivalent kWh,Energy Equivalent GJ,Energy Equivalent MMBTU,Energy Equivalent MWh,Energy Equivalent TJ,Energy Equivalent GWh,Energy Equivalent MWy,Energy Equivalent PJ,Energy Equivalent GWy,Energy Equivalent EJ,Energy Equivalent ZJ
kJ,``kj``,none,none,Kilojoule,1,0.947813394,0.001,0.00095,0.000277778,1.00E-06,9.47813E-07,2.78E-07,0.000000001,2.77E-10,3.17E-11,1.00E-12,3.17E-14,1E-15,1E-18
BTU,``btu``,none,none,British Thermal Unit,1.05506,1,0.00105506,0.001,0.000293071,1.06E-06,0.000001,2.93E-07,1.05506E-09,2.93E-10,3.34E-11,1.06E-12,3.34E-14,1.05506E-15,1.05506E-18
MJ,``mj``,none,none,Megajoule,1000,947.8133945,1,0.95,0.277777778,0.001,0.000947813,2.78E-04,0.000001,2.78E-07,3.17E-08,0.000000001,3.17E-11,1E-12,1E-15
MBTU,``mbtu``,none,none,Thousand British Thermal Unit,1055.06,1000,1.05506,1,0.293072222,0.00105506,0.001,0.000293,1.05506E-06,2.93E-07,3.34E-08,1.06E-09,3.34E-11,1.06E-12,1.06E-15
kWh,``kwh``,``kw``,none,Kilowatt-hour,3600,3412.12822,3.6,3.41,1,0.0036,0.003412128,1.00E-03,0.0000036,0.000001,1.14E-07,3.60E-09,1.14E-10,3.6E-12,3.6E-15
GJ,``gj``,none,none,Gigajoule,1000000,947813.3945,1000,947.81,277.7777778,1,0.947813395,0.277777778,0.001,0.000277778,3.17E-05,1.00E-06,3.17E-08,0.000000001,1E-12
MMBTU,``mmbtu``,none,none,Million British Thermal Unit,1055060,1000000,1055.06,1000,293.0722222,1.05506,1,0.293072222,0.00105506,0.000293177,0.0000334,0.00000106,3.34E-08,1.06E-09,1.06E-12
MWh,``mwh``,``mw``,none,Megawatt-hour,3600000,3412128.22,3600,3412.13,1000,3.6,3.41212822,1,0.0036,0.000999544,0.000114077,0.0000036,1.14E-07,3.6E-09,3.6E-12
TJ,``tj``,none,none,Terajoule,1000000000,947813394.5,1000000,947813.39,277777.7778,1000,947.8133945,277.78,1,0.277777778,0.031688088,0.001,3.17E-05,0.000001,0.000000001
GWh,``gwh``,``gw``,none,Gigawatt-hour,3604836870,3410905772,3600000,3410905.772,1000000,3600,3410.905772,1000.456308,3.6,1,0.114077116,0.0036,0.000114077,0.0000036,3.6E-09
MWy,``mwy``,none,``mw``,Megawatt-year,31557600000,29910715978,31557600,29910715.98,8766000,31557.6,29910.71598,8766,31.5576,8.766,1,0.0315576,0.001,3.15576E-05,3.15576E-08
PJ,``pj``,none,none,Petajoule,1E+12,9.47813E+11,1000000000,947813394.5,277777777.8,1000000,947813.3945,277777.78,1000,277.7777778,31.68808781,1,0.031688088,0.001,0.000001
GWy,``gwy``,none,``gw``,Gigawatt-year,3.15576E+13,2.99E+13,31557600000,29900000000,8766000000,31557600,29900000,8766000,31557.6,8766,1000,31.5576,1,0.0315576,3.15576E-05
EJ,``ej``,none,none,Exajoule,1.00E+15,9.47813E+14,1E+12,9.47813E+11,2.77778E+11,1000000000,947813394.5,277777780,1000000,277777.7778,31688.08781,1000,31.688088,1,0.001
ZJ,``zj``,none,none,Zettajoule,1.00E+18,9.47813E+17,1E+15,9.47813E+14,2.77778E+14,1E+12,9.47813E+11,2.77778E+11,1000000000,277777777.8,31688087.81,1000000,31688.088,1000,1
