Variable Type,Variable,Subsector Variable Code,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-SOIL-MANAGEMENT$``,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,:math:`\text{CH}_4` Crop Anaerobic Decomposition Emission Factor,ef_ch4_crop_decomposition,Annual average :math:`\text{CH}_4` (methane) emitted per ha of crop grown. **Rice** is the only crop that should be non-zero. This will be 0 for most crops (or negligible).,"``ef_agrc_anaerobicdom_$CAT-AGRICULTURE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = kg``)",``rice``,,0,1,1,,0,none,,,
Input,:math:`\text{CH}_4` Crop Biomass Burning Emission Factor,ef_ch4_burning," | Annual average :math:`\text{CH}_4` (methane) emitted per mass of crop residue burned (dimensionless).
 | 
 | See V4, C2, Equation 2.27 and Table 2.5 for equation and default emission factors.",``ef_agrc_biomass_burning_$EMISSION-GAS$`` (``$EMISSION-GAS$ = ch4``),none,,0,1,1,,0,none,,,
Input,:math:`\text{CO}_2` Crop Biomass Emission Factor,ef_co2_biomass,Annual average :math:`\text{CO}_2` (carbon dioxide) emitted per mass of crop grown due to biomass growth and associated changes in carbon stock. Applies only to perennial woody crops.,"``ef_agrc_biomass_$CAT-AGRICULTURE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = tonne``)",``bevs_and_spices``|``fruits``|``nuts``|``other_woody_perennial``,,0,1,1,,0,none,,,See sections 5.2.1 and 5.2.2 of the `IPCC Guidelines for National Greenhouse Gas Inventories <https://www.ipcc.ch/report/2019-refinement-to-the-2006-ipcc-guidelines-for-national-greenhouse-gas-inventories/>`_
Input,:math:`\text{N}_2\text{O}` Crop Biomass Burning Emission Factor,ef_n2o_burning," | Annual average :math:`\text{N}_2\text{O}` (nitrous oxide) emitted per mass of crop residue burned (dimensionless).
 | 
 | See V4, C2, Equation 2.27 and Table 2.5 for equation and default emission factors.",``ef_agrc_biomass_burning_$EMISSION-GAS$`` (``$EMISSION-GAS$ = n2o``),none,,0,1,1,,0,none,,,
Input,Above Ground Residue Dry Matter Intercept,regression_b_above_ground_residue,,"``regressionb_agrc_above_ground_residue_$CAT-AGRICULTURE$_$UNIT-MASS$_per_$UNIT-AREA$`` (``$UNIT-MASS$ = kg``, ``$UNIT-AREA$ = ha``)",``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,,,
Input,Above Ground Residue Dry Matter Slope,regression_m_above_ground_residue,,``regressionm_agrc_above_ground_residue_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,,,
Input,AGRC Combustion Factor,combustion_factor,"The combustion factor :math:`C_f` gives the ""proportion of prefire fuel biomass consumed"" by fires. See Table 2.6, IPCC GNGHGI (2019R). ",``frac_agrc_combustion_factor_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,,,
Input,Agriculture Equivalent Exports,equivalent_exports,Exports of agricultural equivalent products (mass of crops).,``exports_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),all,,0,1,1,,0,none,,,
Input,Agriculture Fraction Dry,frac_dry," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1",``frac_agrc_$CAT-AGRICULTURE$_cl2_dry``,all,,0,1,1,1,0,``dry_climate``,,,
Input,Agriculture Fraction Temperate,frac_temperate," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1",``frac_agrc_$CAT-AGRICULTURE$_cl1_temperate``,all,,0,1,1,2,0,``temperate_crop_grass``,,,
Input,Agriculture Fraction Tropical,frac_tropical," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1",``frac_agrc_$CAT-AGRICULTURE$_cl1_tropical``,all,,0,1,1,2,0,``tropical_crop_grass``,,,
Input,Agriculture Fraction Wet,frac_wet," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1",``frac_agrc_$CAT-AGRICULTURE$_cl2_wet``,all,,0,1,1,1,0,``wet_climate``,,,
Input,Bagasse Yield Factor,bagasse_yield_factor,Ratio of sugar cane yield to dry-matter weight of bagasse,``factor_agrc_bagasse_ratio_$CAT-AGRICULTURE$``,``sugar_cane``,,0.3,0.9,1.1,,0,none,,,Default value of 0.3 from https://www.sciencedirect.com/science/article/pii/S096195341200284X
Input,Crop Demand Income Elasticity,elas_crop_demand_income,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita",``elasticity_agrc_$CAT-AGRICULTURE$_demand_to_income``,all,,0,0.8,1.2,,0,none,,,See the `USDSA Commodity and Food Elasticities Database <https://www.ers.usda.gov/data-products/commodity-and-food-elasticities/>`_ for baseline elasticies by country.
Input,Crop Fraction Animal Feed,frac_animal_feed,Proportion of the crop yield that is used for animal feed. Used to adjust demand for crops in response to changing animal populations. Demands for non-animal feed are driven by gdp/capita. ,``frac_agrc_initial_yield_feed_$CAT-AGRICULTURE$``,all,,0,1,1,,0,none,,,"Loose proportions dervied from `Statista <https://www.statista.com/statistics/1099196/brazil-corn-animal-feed/>`_ (quantity of Maize yield used for livestock feed), `FAO <https://www.fao.org/faostat/en/#data/QCL>`_ (total yield), and `VOX <https://www.vox.com/2014/8/21/6053187/cropland-map-food-fuel-animal-feed>`_ (conceptual importance)."
Input,Crop Ratio of Below Ground Biomass to Above Ground Biomass,ratio_below_ground_biomass_to_above_ground_biomass,,``ratio_agrc_below_ground_to_above_ground_biomass_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,,,
Input,Crop Yield Factor,yf,Yield (metric tons) per hectare of crops planted,"``yf_agrc_$CAT-AGRICULTURE$_$UNIT-MASS$_$UNIT-AREA$`` (``$UNIT-MASS$ = tonne``, ``$UNIT-AREA$ = ha``)",all,,0,0.8,1.2,,0,none,,,
Input,Dry Matter Fraction of Harvested Crop,frac_dry_matter_in_crop,See :math:`DRY` in Equation 11.7 in IPCC GNGHGI and Table 11.1A (2019R),``frac_agrc_dry_matter_of_harvest_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``tubers``,,0,1,1,,0,none,,,
Input,Fraction of Agriculture Demand Imported,frac_demand_imported," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products.",``frac_agrc_crop_demand_imported_$CAT-AGRICULTURE$``,all,,0,1,1,,0,none,,,
Input,Fraction of Crop Residues Burned,frac_residues_burned," | Fraction of residues burned.
 | 
 |**Behavioral Note**: whatever is not removed or burned is assumed to be left as inputs to crops. Includes bagasse/sugar cane tops (sugar cane residue).
 | 
 |**Behavioral Note**: Total of **Fraction of Crop Residues Burned**, **Fraction of Crop Residues Removed for Energy**, and **Fraction of Crop Residues Removed for Livestock Feed** must be less than or equal to 1.",``frac_agrc_crop_residues_burned_$CAT-AGRICULTURE$``,``cereals``|``other_annual``|``pulses``|``rice``|``sugar_cane``|``tubers``,,0,1,1,,0,none,,,
Input,Fraction of Crop Residues Removed for Energy,frac_residues_removed_for_energy," | Fraction of residues removed for energy use in electricity production. 
 | 
 |**Behavioral Note**: if residues removed for energy are removed in excess of the amount required to satisfy electrictal production, they are sent to the solid waste stream.
 | 
 |**Behavioral Note**: whatever is not removed or burned is assumed to be left as inputs to crops. Includes bagasse/sugar cane tops (sugar cane residue).
 | 
 |**Behavioral Note**: Total of **Fraction of Crop Residues Burned**, **Fraction of Crop Residues Removed for Energy**, and **Fraction of Crop Residues Removed for Livestock Feed** must be less than or equal to 1.",``frac_agrc_crop_residues_removed_for_energy_$CAT-AGRICULTURE$````,``cereals``|``other_annual``|``pulses``|``rice``|``sugar_cane``|``tubers``,,0,1,1,,0,none,,,
Input,Fraction of Crop Residues Removed for Livestock Feed,frac_residues_removed_for_feed," | Fraction of residues removed for livestock feed. 
 | 
 |**Behavioral Note**: if residues removed for livestock feed are removed in excess of the amount required to satisfy the maximum amount possible for livestock, they are sent to the solid waste stream.
 | 
 |**Behavioral Note**: whatever is not removed or burned is assumed to be left as inputs to crops. Includes bagasse/sugar cane tops (sugar cane residue).
 | 
 |**Behavioral Note**: Total of **Fraction of Crop Residues Burned**, **Fraction of Crop Residues Removed for Energy**, and **Fraction of Crop Residues Removed for Livestock Feed** must be less than or equal to 1.",``frac_agrc_crop_residues_removed_for_livestock_feed_$CAT-AGRICULTURE$````,``cereals``|``other_annual``|``pulses``|``rice``|``sugar_cane``|``tubers``,,0,1,1,,0,none,,,
Input,Fraction of Food Loss Sent to Municipal Solid Waste,frac_production_loss_to_msw,Use this variable to represent  food lost in the supply chain that is sent to municipal solid waste streams. Includes *pre-consumer*--such as waste by distributors and retailers--waste (integrated with waste model). ,``frac_agrc_production_lost_sent_to_msw``,none,,0,1,1,,0,none,,,
