Variable Type,Variable,Subsector Variable Code,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-SOIL-MANAGEMENT$``,``CAT-INDUSTRY``,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,:math:`\text{CH}_4` Forest Methane Emissions,ef_ch4,Methane emissions from forests,"``ef_frst_forestmethane_$CAT-FOREST$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = kt``)",all,,0,1,1,,0,none,none,,,See `Yale <https://e360.yale.edu/features/scientists-probe-the-surprising-role-of-trees-in-methane-emissions>`_ or `Nature <https://www.nature.com/articles/d41586-019-00122-z>`_ for more information on methane emissions from forests.
Input,:math:`\text{CO}_2` Forest Fire Emission Factor,ef_co2_fires,Annual average :math:`\text{CO}_2` emitted mass of dry matter burned due to forest fires,``ef_frst_forestfires_$CAT-FOREST$_$EMISSION-GAS$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,0,none,none,,,Forest fires are represented in the land use transition matrix as part of ``$CAT-FOREST$`` to the class ``other``. Reductions in this transition can represent reductions in forest fires. 
Input,Average Fraction of Forest Burned Annually,average_fraction_burned_annually,,``frac_frst_annual_wildfire_fraction_$CAT-FOREST$``,all,,0,1,1,,0,none,none,,,
Input,Biomass Carbon Ledger Adjustment Threshold,bcl_frac_adjustment_thresh," | Fraction of TOTAL carbon stock in forest below which sequestration factors begin to drop. 
 | 
 | If :math:`a` is the adjustment threshold, :math:`d` is the dead storage fraction, :math:`F` is the biomass in forests, and :math:`X` is the biomass in the land use class with the next highest non-forest, then the following relationship must hold: :math:`aF > d(F - X) + X`. It this is not satisfied, the adjustment threshold will be adjusted.",``biomass_frst_ledger_frac_adjustment_threshold``,none,,0.9,1,1,,0,none,none,,,
Input,Biomass Carbon Ledger Buffer Fraction,bcl_frac_buffer,Fraction of carbon stock in forests--above carbon stock associated with the next highest land use class--where removals are slowed due to thinning.,``biomass_frst_ledger_frac_buffer_threshold``,none,,0.3,1,1,,0,none,none,,,
Input,Biomass Carbon Ledger Dead Storage Fraction,bcl_frac_dead_storage,Fraction of carbon stock in forests--above carbon stock associated with the next highest land use class--that can't be pulled from.,``biomass_frst_ledger_frac_dead_storage``,none,,0.1,1,1,,0,none,none,,,
Input,Carbon Fraction Dry Matter,frac_c_per_dm,"Fraction of dry matter in forests that is carbon. Default is based on Table 4.3 from IPCC C4, V4.",``frac_frst_c_in_dry_matter``,none,,0.47,1,1,,0,none,none,,,
Input,Carbon Fraction Harvested Wood Products,frac_c_per_hwp,"Fraction of harvested wood products that is carbon. Default is based on Table 12.4 from IPCC C4, V12.",``frac_frst_c_in_wood_products``,none,,0.5,1,1,,0,none,none,,,
Input,Fire Biomass Consumption for Temperate Forests,biomass_consumed_fire_temperate,"See Table 2.4  and Equation 2.27 in V4, C2, IPCC GNGHGI (2019R)","``qty_frst_biomass_consumed_by_fire_temperate_$CAT-FOREST$_$UNIT-MASS$_per_$UNIT-AREA$`` (``$UNIT-MASS$ = tonne``, ``$UNIT-AREA$ = ha``)",all,,0,1,1,,0,none,none,,,
Input,Fire Biomass Consumption for Tropical Forests,biomass_consumed_fire_tropical,"See Table 2.4  and Equation 2.27 in V4, C2, IPCC GNGHGI (2019R)","``qty_frst_biomass_consumed_by_fire_tropical_$CAT-FOREST$_$UNIT-MASS$_per_$UNIT-AREA$`` (``$UNIT-MASS$ = tonne``, ``$UNIT-AREA$ = ha``)",all,,0,1,1,,0,none,none,,,
Input,Forest Above Ground Biomass Growth Rate,biomass_growth_rate," | Per-time period average above-ground biomass dry matter growth rate. Used to estimate carbon stock sequestration in biomass matter.
 | 
 | Note: baseline estimates for neotropical regions are available from `Heinrich et al. (2021) <https://www.nature.com/articles/s41467-021-22050-1>`_
 | * 3.05 ± 0.5 tonne C/ha/year (seconary)
 | * 11-20 times less for primary
","``biomass_frst_growth_rate_ag_$CAT-FOREST$_$UNIT-MASS$_$UNIT-AREA$`` (``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = tonne``)",all,,0,1,1,,0,none,none,,,
Input,Forest Fraction Temperate Nutrient Poor,frac_temperate_nutrient_poor," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Forest Fraction Temperate Nutrient Poor, Forest Fraction Temperate Nutrient Rich, and Forest Fraction Tropical must sum to 1",``frac_frst_$CAT-FOREST$_cl1_temperate_nutrient_poor``,all,,0,1,1,1,0,``temperate_forest_nutrient_poor``,none,,,
Input,Forest Fraction Temperate Nutrient Rich,frac_temperate_nutrient_rich," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Forest Fraction Temperate Nutrient Poor, Forest Fraction Temperate Nutrient Rich, and Forest Fraction Tropical must sum to 1",``frac_frst_$CAT-FOREST$_cl1_temperate_nutrient_rich``,all,,0,1,1,1,0,``temperate_forest_nutrient_rich``,none,,,
Input,Forest Fraction Tropical,frac_tropical," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Forest Fraction Temperate Nutrient Poor, Forest Fraction Temperate Nutrient Rich, and Forest Fraction Tropical must sum to 1",``frac_frst_$CAT-FOREST$_cl1_tropical``,all,,0,1,1,1,0,``tropical_forest``,none,,,
Input,Fraction of Forest Converted C Available for Use,frac_c_converted_available,Fraction of carbon stock in forests that is available for use in energy production (biomass) and harvested wood production (HWP). ,``frac_frst_c_stock_converted_available_for_use``,none,,0.5,1,1,,0,none,none,,,
Input,HWP Half Life Paper,hwp_half_life_paper,Half life of carbon sequestered in paper products (HWP),``hl_frst_half_life_hwp_paper_products``,none,,0,1,1,,0,none,none,,,
Input,HWP Half Life Wood,hwp_half_life_wood,Half life of carbon sequestered in wood products (HWP),``hl_frst_half_life_hwp_wood_products``,none,,0,1,1,,0,none,none,,,
Input,Young Secondary Forest Above Ground Biomass Growth Rate,biomass_growth_rate_young_secondary," |Per-time period average above-ground biomass dry matter growth rate in  YOUNG (age < 20 yrs) secondary forestrs (entered as a number > 0, this is a positive number). Used to estimate carbon stock sequestration in biomass matter. 
 | 
 |  NOTE: Young secondary forests (incl. plantations) sequester high amounts of carbon for a short period of time. This is only used if dynamic forest sequestration is turned on; otherwise, this variable is ignored.
","``biomass_frst_growth_rate_young_ag_$CAT-FOREST$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = tonne``)",``secondary``,,0,1,1,,0,none,none,,,
Output,:math:`\text{CH}_4` Emissions from Forests,emissions_ch4,Total methane emissions from forests,``emission_co2e_$EMISSION-GAS$_frst_methane_$CAT-FOREST$`` (``$EMISSION-GAS$ = ch4``),all,,0,1,1,,1,none,none,,,
Output,:math:`\text{CO}_2` Emissions from Forest Biomass Decomposition,emissions_co2_decomposition,"Emissions of :math:`CO_2` due to biomass decomposition in forests. This loss is estimated based on the assumption that primary forests exist in a steady state, and NPP curves will produce no net sequestration in primary forests.",``emission_co2e_$EMISSION-GAS$_frst_decomposition_$CAT-FOREST$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,1,none,none,,,
Output,:math:`\text{CO}_2` Emissions from Forest Biomass Sequestration,emissions_co2_sequestration,Sequestration in forests (total growth in above- and below-ground biomass) reported as negative emissions of :math:`CO_2`. Sequestration in time period :math:`t` is the growth from time :math:`t` to :math:`t + 1`. ,``emission_co2e_$EMISSION-GAS$_frst_sequestration_$CAT-FOREST$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,1,none,none,,,
Output,:math:`\text{CO}_2` Emissions from Forest Fires,emissions_co2_fires,,``emission_co2e_$EMISSION-GAS$_frst_forest_fires`` (``$EMISSION-GAS$ = co2``),none,,0,1,1,,1,none,none,,,
Output,:math:`\text{CO}_2` Emissions from Harvested Wood Products,emissions_co2_hwp,Emissions from harvested wood products (using a decay method).,``emission_co2e_$EMISSION-GAS$_frst_harvested_wood_products`` (``$EMISSION-GAS$ = co2``),none,,0,1,1,,1,none,none,,,
Output,Above Ground C Stock in Forests,c_stock_ag,Above-ground estimated C stock in forests at the start of each time period,``c_stock_frst_ag_$UNIT-MASS$_$CAT-FOREST$`` (``$UNIT-MASS$ = mt``),all,,0,1,1,,0,none,none,,,
Output,Below Ground C Stock in Forests,c_stock_bg,Below-ground estimated C stock in forests at the start of each time period,``c_stock_frst_bg_$UNIT-MASS$_$CAT-FOREST$`` (``$UNIT-MASS$ = mt``),all,,0,1,1,,0,none,none,,,
Output,Total C Stock Lost to Decomposition,c_stock_decomposition,Total C stock lost to decomposition of biomass,``c_stock_frst_decomposition_$UNIT-MASS$`` (``$UNIT-MASS$ = mt``),none,,0,1,1,,0,none,none,,,
Output,Total C Stock in Forests,c_stock_total,Total C (above- and below-ground) stock in primary and secondary forests at the start of each time period,``c_stock_frst_total_$UNIT-MASS$`` (``$UNIT-MASS$ = mt``),none,,0,1,1,,0,none,none,,,
Output,Total C Stock Removals from Forests,c_stock_removals,"Total fuelwood, round wood, and HWP removals of C stock from primary and secondary forests ",``c_stock_frst_removals_total_$UNIT-MASS$``(``$UNIT-MASS$ = mt``),none,,0,1,1,,0,none,none,,,
