Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,``$CAT-SOIL-MANAGEMENT$``,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,:math:`\text{CO}_2` Land Use Conversion Emission Factor,Annual :math:`\text{CO}_2` emission factor for conversion of land use of type ``$CAT-LANDUSE-DIM1$`` to ``$CAT-LANDUSE-DIM2$`` due to biomass carbon stock change.,"``ef_lndu_conv_$CAT-LANDUSE-DIM1$_to_$CAT-LANDUSE-DIM2$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$UNIT-MASS$ = gg``, ``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``)",all,,0,1,1,,0,none,,,
Input,Fraction of Increasing Net Exports Met," | Fractional of changes to net exports to meet. Values less than 1 reduce endogenous production rates (yields in crops, heads per acre in livestock) if changes to net imports are negative. 
 | 
 | **Note**: Applied **after carrying capacity scalars** are accounted for.",``frac_lndu_increasing_net_exports_met_$CAT-LANDUSE$``,``croplands``|``pastures``,,0,1,1,,0,none,,,
Input,Fraction of Increasing Net Imports Met," | Fractional of changes to net imports to meet. Values less than 1 increase endogenous production rates (yields in crops, heads per acre in livestock) if changes to net imports are positive. 
 | 
 | **Note**: Applied **after carrying capacity scalars** are accounted for.",``frac_lndu_increasing_net_imports_met_$CAT-LANDUSE$``,``croplands``|``pastures``,,0,1,1,,0,none,,,
Input,Fraction of Pastures Improved,Fraction of pasture that is improved using sustainable grazing.,``frac_lndu_improved_$CAT-LANDUSE$``,``pastures``,,0,1,1,,0,none,,,
Input,Fraction of Soils Mineral,See ` Giulia Conchedda and Francesco N. Tubiello (2020) <https://doi.org/10.5194/essd-12-3113-2020>`_; 3% of soils globally are organic. Default value of 0.97 is assumed to be complement.,``frac_lndu_soil_mineral_$CAT-LANDUSE$``,all,,1,1,1,,0,none,,,
Input,Initial Fraction of Area with Drained Organic Soils,"Fraction of the land use area associated with drained organic soils--used to represent emissions from Peatland and Muck that has been drained to accommodate croplands and grassland expansion. After the initial time period, land use transitions guide drained organic soils.",``frac_lndu_initial_with_drained_organic_soils_$CAT-LANDUSE$``,``croplands``|``pastures``,,0,1,1,,0,none,,," | See Volume 4, Chapter 2, Equation 2.26 (ANNUAL CARBON LOSS FROM DRAINED ORGANIC SOILS). 
 | 
 | Per Volume 4, Chapter 6, Section 6.2.3.1 (pg 6-15 in 2006 IPCC GNGHGI), grasslands are not included because they are not managed--pastures represent the managed grassland state: _""Equation 2.26 (Chapter 2) is used to estimate C stock change in managed grassland on organic soils (e.g., peat- derived, Histosols). The methodology is to stratify managed organic soils by climate region and assign a climate-specific annual emission rate. Land areas are multiplied by the emission factor and then summed to derive annual C emissions. Natural grasslands that may be used for seasonal grazing but have not been artificially drained should not be included in this category.""_"
Input,Initial Land Use Area Proportion,Proportion of total **country land** area (%/100) at time :math:`t_0`,``frac_lndu_initial_$CAT-LANDUSE$``,all,,0,1,1,1,0,none,,,
Input,Land Use Biomass Sequestration Factor,Average annual sequestration flow of carbon into biomass in the land use category.,"``ef_lndu_sequestration_$CAT-LANDUSE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = kt``)",``grasslands``|``other``|``pastures``|``settlements``|``shrublands``|``wetlands``,,0,1,1,,0,none,none,,
Input,Land Use BOC :math:`\text{CH}_4` Emission Factor,Annual average :math:`\text{CH}_4` emitted per ha due decay of organic matter (**CHECK THIS**).,"``ef_lndu_boc_$CAT-LANDUSE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$``  (``$UNIT-MASS$ = gg``, ``$EMISSION-GAS$ = ch4``, ``$UNIT-AREA$ = ha``)",``wetlands``,,0,1,1,,0,none,,,
Input,Land Use Fraction Dry," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Land Use Fraction Dry and Land Use Fraction Wet must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl2_dry``,``grasslands``|``other``|``pastures``|``settlements``,,0,1,1,3,0,``dry_climate``,,,
Input,Land Use Fraction Fertilized,Fraction of the land use category that receives fertilizer. Used to identify agricultural grasslands.,``frac_lndu_receiving_fertilizer_$CAT-LANDUSE$``,``croplands``|``pastures``,,0,1,1,,0,none,,,
Input,Land Use Fraction Temperate," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Land Use Fraction Temperate and Land Use Fraction Tropical must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl1_temperate``,``grasslands``|``pastures``,,0,1,1,4,0,``temperate_crop_grass``,,,
Input,Land Use Fraction Tropical," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Land Use Fraction Temperate and Land Use Fraction Tropical must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl1_tropical``,``grasslands``|``pastures``,,0,1,1,4,0,``tropical_crop_grass``,,,
Input,Land Use Fraction Wet," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Land Use Fraction Dry and Land Use Fraction Wet must sum to 1",``frac_lndu_$CAT-LANDUSE$_cl2_wet``,``grasslands``|``other``|``pastures``|``settlements``,,0,1,1,3,0,``wet_climate``,,,
Input,Land Use Yield Reallocation Factor,"The land use yield reallocation factor :math:`\eta \in [0, 1]` is used to represent land use responsiveness to changes in demands. 
 | 
 | If :math:`\eta = 1`, then **land use will be reallocated**, diverging from the specified transition matrix. If demands exceed carrying capacity to meet all livestock and crop demands, then the transitions into grassland and cropland are increased to meet demands. If the carrying capacity exceeds demand, then transitions to grassland and croplands are reduced (which also increases forested land). 
 | 
 | If :math:`\eta = 0`, then **land use will remain as specified**, and all remaining demands with be met with net imports. If the demand is less then carrying capacity, then there is an increase in net exports; if demand exceeds carrying capacity, there is an increase in net imports.
 | 
 | For :math:`\eta \in (0, 1)`, there is a mix of reallocation and net imports, which scales linearly between extremes.
",``lndu_reallocation_factor``,none,,0,0,2,,0,none,,,
Input,Maximum Area," | Maximum allowable area for a given category--can be used to cap feasible transitions based on geography and climate constraints.
 | 
 | To run without a constraint, use -999",``area_lndu_supremum_$CAT-LANDUSE$_$UNIT-AREA$`` (``$UNIT-AREA$ = ha``),all,,-999,1,1,,0,none,,,
Input,Maximum Pasture Dry Matter Yield Factor," | Maximum potential yield of pastures in tonne/ha/month. The number of grazing animals that pasture can support are bounded by the maximum potential yield. The number of AU (animal units) implied by carrying capacity cannot exceed this number.
 | 
 | Default maximum value taken from `FarmBrite <https://www.farmbrite.com/post/how-many-cows-can-i-keep-per-acre>`_ under the assumption of technically feasible maximum--excellent pasture with irrigation, or 6,900 lb/acre. Using a conversion of 907.1858189 short tonne per kg, we use 3.45 ston/acre => 3129.791075205 kg/acre. The, using 0.404686 ha/acre, we get 7733.875338422877 kg/ha, or 7.734 tonne/ha/month as a default maximum. This is approximateluy 92.81 when expanded to annual. 
 | 
 | **NOTE:** This number varies significantly by geography, climate, and pasture utilization rate, and users should take care to set it. In transformations, it can be increased by increasing the prevalenceo of irrigation in drier regions, though this increases water requirements for pastures significantly. ","``yf_lndu_supremum_$CAT-LANDUSE$_$UNIT-MASS$_per_$UNIT-AREA$`` (``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = tonne``)",``pastures``,,92.81,1,1,,0,none,none,,
Input,Maximum Soil Carbon Land Input Factor Without Manure," | See :math:`F_{I}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R). 
 | 
 | Used to represent supremum of soil carbon storage if residues are used as inputs (no manure)",``factor_lndu_soil_inputs_supremum_without_manure_$CAT-LANDUSE$``,``croplands``,,1,1,1,,0,none,,2019R:V4:C2:EQ2.25,
Input,Maximum Soil Carbon Land Management Factor," | See :math:`F_{MG}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R) and Table 5.5.
 |
 | Used to represent supremum of soil carbon storage due to management practices if no-till is used (croplands) or with sustainable management (grasslands)",``factor_lndu_soil_management_supremum_$CAT-LANDUSE$``,``croplands``|``pastures``,,1,1,1,,0,none,,,
Input,Minimum Area," | Minimum allowable area for a given category--can be used to bound feasible transitions based on geography and climate constraints OR implement conservation transformations.
 | 
 | To run without a constraint, use -999",``area_lndu_infimum_$CAT-LANDUSE$_$UNIT-AREA$`` (``$UNIT-AREA$ = ha``),all,,-999,1,1,,0,none,,,
Input,Soil Carbon Land Use Factor,"See :math:`F_{LU}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R)",``factor_lndu_soil_carbon_$CAT-LANDUSE$``,all,,0,1,1,,0,none,,,
Input,Unadjusted Land Use Transition Probability,Transition probability in Markov Chain model,``pij_lndu_$CAT-LANDUSE-DIM1$_to_$CAT-LANDUSE-DIM2$``,all,,0,1,1,2,0,none,,,
Input,Unimproved Soil Carbon Land Management Factor," | See :math:`F_{MG}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R). 
 | 
 | Represents the base land management factor for all unimproved lands (**excludes** improved lands) in croplands and grasslands ",``factor_lndu_soil_management_unimproved_$CAT-LANDUSE$``,``croplands``|``pastures``,,1,1,1,,0,none,,,
Input,Utilization Rate,"Rate of utilization of pastures input as a fraction. Pastures used at 100% will exhibit land use degredation, leading to greater soil carbon loss. ",``frac_lndu_utilization_rate_$CAT-LANDUSE$``,``pastures``,,0.75,1,1,,0,none,,,
Input,Vegetarian Diet Exchange Scalar,This scalar is applied to per capita crop demand for the proportion of the population that is vegetarian. ,``scalar_lndu_vegetarian_dietary_exchange``,none,,0,0.6,1.4,,0,none,,,
Output,:math:`\text{CH}_4` Emissions from Wetlands,,``emission_co2e_$EMISSION-GAS$_lndu_wetlands`` (``$EMISSION-GAS$ = ch4``),none,,0,1,1,,1,none,,,
Output,:math:`\text{CO}_2` Emissions from Conversion Away from Land Use Type,Emissions calculated by converting away from each land use type,``emission_co2e_$EMISSION-GAS$_lndu_conversion_away_$CAT-LANDUSE$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,1,none,,,
Output,:math:`\text{CO}_2` Emissions from Drained Organic Soils,Emissions of :math:`\text{CO}_2` in from drained organic soils. Applies to agriculture (croplands) and managed grasslands (pastures).,``emission_co2e_$EMISSION-GAS$_lndu_drained_organic_soils_$CAT-LANDUSE$`` (``$EMISSION-GAS$ = co2``),``croplands``|``pastures``,,0,1,1,,1,none,,,
Output,:math:`\text{CO}_2` Emissions from Land Use Biomass Sequestration,Sequestration in biomass modeled as negative emissions,``emission_co2e_$EMISSION-GAS$_lndu_biomass_sequestration_$CAT-LANDUSE$`` (``$EMISSION-GAS$ = co2``),``grasslands``|``other``|``pastures``|``settlements``|``shrublands``|``wetlands``,,0,1,1,,1,none,none,,
Output,:math:`\text{CO}_2` Emissions from Land Use Conversion,Emissions from conversion from category I to category j,``emission_co2e_$EMISSION-GAS$_lndu_conversion_$CAT-LANDUSE-DIM1$_to_$CAT-LANDUSE-DIM2$`` (``$EMISSION-GAS$ = co2``),all,,0,1,1,,0,none,,,
Output,Area of Improved Land," | Area of lands improved, in configuration units. For Croplands, is associated with no-till (increase in :math:`F_{MG}`).
 | 
 | **NOTE**: For grasslands, only pastures can be improved using :math:`F_{MG}`, and so the area of grasslands that are improved has a maximum of the :math:`A_Gp`, where :math:`A_G` is the area of grasslands and :math:`0 \leq p \leq 1` is the pasture fraction.",``area_lndu_improved_$CAT-LANDUSE$``,``croplands``,,0,1,1,,0,none,,,
Output,Area of Land Use Converted,,``area_lndu_conversion_from_$CAT-LANDUSE-DIM1$_to_$CAT-LANDUSE-DIM2$``,all,,0,1,1,,0,none,,,
Output,Area of Land Use Converted Away from Type,,``area_lndu_conversion_from_$CAT-LANDUSE$``,all,,0,1,1,,0,none,,,
Output,Area of Land Use Converted to Type,,``area_lndu_conversion_to_$CAT-LANDUSE$``,all,,0,1,1,,0,none,,,
Output,Land Use Area,Area of each land use category,``area_lndu_$CAT-LANDUSE$``,all,,0,1,1,,0,none,,,Internally calcualted using Markov with non-stationary transition probabilities.
