Variable Type,Variable,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,:math:`\text{N}_2\text{O}` Manure Management Emission Factor," | Dimensionless emission factor for direct :math:`\text{N}_2\text{O}` emissions from each manure management system.
 | 
 | Corresponds with :math:`EF_{3_{(S)}}` in Equation 10.34A in V4,C10 IPCC GNGHGI 2019R.",``ef_lsmm_direct_management_$CAT-MANURE-MANAGEMENT$_$EMISSION-GAS$_per_n`` (``$EMISSION-GAS$ = n2o``),all,,0,1,1,,0,,," | Derived from values in Table 10.21 (V4,C10 IPCC GNGHGI 2019R). "
Input,Biogas Recovery Factor at LSMM Anaerobic Facilities,,``gasrf_lsmm_biogas_$CAT-MANURE-MANAGEMENT$``,``anaerobic_digester``|``anaerobic_lagoon``,,0,1,1,,0,,,
Input,Fraction of Nitrogen Lost to Leaching,,``frac_lsmm_n_loss_leaching_$CAT-MANURE-MANAGEMENT$``,all,,0,1,1,,0,,," | Derived from values in Table 10.22 (V4C10 IPCC GNGHGI 2019R). 
 | 
 | **NOTE**: SISEPUEDE treats these loss factors as a mean across animal types, then allows for exploration around ranges."
Input,Fraction of Nitrogen Lost to Volatilisation,,``frac_lsmm_n_loss_volatilisation_$CAT-MANURE-MANAGEMENT$``,all,,0,1,1,,0,,," | Derived from values in Table 10.22 (V4C10 IPCC GNGHGI 2019R). 
 | 
 | **NOTE**: SISEPUEDE treats these loss factors as a mean across animal types, then allows for exploration around ranges."
Input,Fraction of Nitrogen Used in Fertilizer," | This scalar represents the fraction of total volatile solids (manure) available for fertilizer. Some categories, like ``deep_bedding`` are often combined with others. To avoid mutli-stage management, entries for these categories should specify a fraction of manure that will eventually end up used in fertilizer.
 | 
 | **NOTE:** Incineration is included since urine is separated and sent to fertilizer. The fraction that is sent to fertilizer is applied only to nitrogen in urine.",``frac_lsmm_manure_to_fertilizer_$CAT-MANURE-MANAGEMENT$``,``anaerobic_lagoon``|``daily_spread``|``deep_bedding``|``dry_lot``|``incineration``|``liquid_slurry``|``poultry_manure``|``storage_solid``,,0,1,1,,0,,,
Input,Manure Management Methane Correction Factor,,``mcf_lsmm_$CAT-MANURE-MANAGEMENT$``,all,,0,1,1,,0,,,| Derived from values in Table 10.17 (V4C10 IPCC GNGHGI 2019R). 
Input,Nitrogen from Bedding per Animal," | Represents :math:`N_{beddingMS_{(T, S)}}` in Equation 10.34 in V4, C10 IPCC GNGHGI 2019R, or the amount of nitrogen from bedding. 
 | 
 | Applies only to solid storage and deep bedding.",``qty_lsmm_nitrogen_in_bedding_$UNIT-MASS$_per_head_$CAT-MANURE-MANAGEMENT$`` (``$UNIT-MASS$ = kg``),``deep_bedding``|``storage_solid``,,0,1,1,,0,,,"See V4, C10 (2019R) 10.95 for a description of default values."
Input,Nitrogen from Co-Digestates Factor,Factor applied to mass of dung used in anaerobic digesters to estimate relative mass of nitrogen.,``factor_lsmm_n_from_codigestates_$CAT-MANURE-MANAGEMENT$``,``anaerobic_digester``,,0,1,1,,0,,,
Input,Ratio of :math:`\text{N}_2` to :math:`\text{N}_2\text{O}`,"See :math:`R_{N_2(N_2O)}` in Equation 10.34B, V4,C10 IPCC GNGHGI 2019R",``ratio_lsmm_n2_to_n2o``,none,,0,1,1,,0,,,
Output,:math:`\text{CH}_4` Emissions from Manure Management,Methane emissions from manure,``emission_co2e_$EMISSION-GAS$_lsmm_$CAT-MANURE-MANAGEMENT$`` (``$EMISSION-GAS$ = ch4``),all,,0,1,1,,1,,,
Output,:math:`\text{N}_2\text{O}` Direct Emissions from Manure Management,Direct nitrus oxide emissions from manure N (see equation 10.25),``emission_co2e_$EMISSION-GAS$_lsmm_direct_$CAT-MANURE-MANAGEMENT$`` (``$EMISSION-GAS$ = n2o``),all,,0,1,1,,1,,,
Output,:math:`\text{N}_2\text{O}` Indirect Emissions from Manure Management,Indirect nitrus oxide emissions from N leaching volatilisation (see eqs. 10.28 and 10.29 in 2019R),``emission_co2e_$EMISSION-GAS$_lsmm_indirect_$CAT-MANURE-MANAGEMENT$`` (``$EMISSION-GAS$ = n2o``),all,,0,1,1,,1,,,
Output,Dung Incinerated,,``qty_lsmm_dung_to_incinerate_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),none,,0,1,1,,0,,,
Output,LSMM Biogas Recovered from Anaerobic Digesters,,``gasrecovered_lsmm_biogass_$CAT-MANURE-MANAGEMENT$_$UNIT-MASS$`` (``$UNIT-MASS$ = tonne``),``anaerobic_digester``,,0,1,1,,0,,,
Output,Nitrogen Available for Fertilizer,,``qty_lsmm_n_to_fertilizer_$CAT-MANURE-MANAGEMENT$_$UNIT-MASS$ (``$UNIT-MASS$ = kt``),all,,0,1,1,,0,,,
