Variable Type,Variable,Subsector Variable Code,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Energy Efficiency Variable by Fuel,Fuel Fraction Variable by Fuel,``$CAT-FUEL$``,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,SCOE Appliance Energy Demand Scalar,demscalar_elec_energy_demand,Scalar used to modify non-heat energy demands--used to represent efficiency improvements in appliances etc.,``scalar_scoe_appliance_energy_demand_$CAT-SCOE$``,all,,0,0,1,,0,0,0,none,,,1
Input,SCOE Efficiency Factor for Heat Energy from Biomass,efficiency_fact_heat_en_biomass,"Energy efficiency factor for biomass Heat Energy (excluding charcoal). For example, value of 0.6 indicates that 60% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_solid_biomass``,all,,0,0,1,,0,1,0,``fuel_biomass``,,,2
Input,SCOE Efficiency Factor for Heat Energy from Charcoal,efficiency_fact_heat_en_charcoal,"Energy efficiency factor for solid biomass Heat Energy. For example, value of 0.6 indicates that 60% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_charcoal``,all,,0,0,1,,0,1,0,``fuel_charcoal``,,,2
Input,SCOE Efficiency Factor for Heat Energy from Coal,efficiency_fact_heat_en_coal,"Energy efficiency factor for coal Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_coal``,all,,0,0,1,,0,1,0,``fuel_coal``,,,2
Input,SCOE Efficiency Factor for Heat Energy from Diesel,efficiency_fact_heat_en_diesel,"Energy efficiency factor for diesel Heat Energy. For example, value of 0.75 indicates that 75% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_diesel``,all,,0,0,1,,0,1,0,``fuel_diesel``,,,2
Input,SCOE Efficiency Factor for Heat Energy from Electricity,efficiency_fact_heat_en_electricity,"Energy efficiency factor for electricity Heat Energy. For example, value of 0.99 indicates that 99% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_electricity``,all,,0,0,1,,0,1,0,``fuel_electricity``,,,2
Input,SCOE Efficiency Factor for Heat Energy from Gasoline,efficiency_fact_heat_en_gasoline,"Energy efficiency factor for gasoline Heat Energy. For example, value of 0.7 indicates that 70% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_gasoline``,all,,0,0,1,,0,1,0,``fuel_gasoline``,,,2
Input,SCOE Efficiency Factor for Heat Energy from Hydrocarbon Gas Liquids,efficiency_fact_heat_en_hgl,"Energy efficiency factor for liquified petroleum gas in Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_hydrocarbon_gas_liquids``,all,,0,0,1,,0,1,0,``fuel_hydrocarbon_gas_liquids``,,,2
Input,SCOE Efficiency Factor for Heat Energy from Hydrogen,efficiency_fact_heat_en_hydrogen,"Energy efficiency factor for hydrogen Heat Energy. For example, value of 0.8 indicates that 80% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_hydrogen``,all,,0,0,1,,0,1,0,``fuel_hydrogen``,,,2
Input,SCOE Efficiency Factor for Heat Energy from Kerosene,efficiency_fact_heat_en_kerosene,"Energy efficiency factor for kerosene Heat Energy. For example, value of 0.75 indicates that 75% of input energy results in output energy at point of use.",``efficfactor_scoe_heat_energy_$CAT-SCOE$_kerosene``,all,,0,0,1,,0,1,0,``fuel_kerosene``,,,2
