Variable Type,Variable,Subsector Variable Code,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,:math:`\text{CH}_4` Annual Emission Limit,emission_limit_ch4," | Used in NemoMod to calculate AnnualEmissionLimit. Can be used to model an exogenous policy limit on total emissions, but cannot be used to mandate negative emissions in the Electricity sector.
 | 
 | **NOTE**: To enter no limit, use flag -999","``limit_gnrl_annual_emissions_$UNIT-MASS$_$EMISSION-GAS$`` (``$UNIT-MASS$ = mt``, ``$EMISSION-GAS$ = ch4``)",none,,0,1,1,,0,,,
Input,:math:`\text{CO}_2` Annual Emission Limit,emission_limit_co2," | Used in NemoMod to calculate AnnualEmissionLimit. Can be used to model an exogenous policy limit on total emissions, but cannot be used to mandate negative emissions in the Electricity sector.
 | 
 | **NOTE**: To enter no limit, use flag -999","``limit_gnrl_annual_emissions_$UNIT-MASS$_$EMISSION-GAS$`` (``$UNIT-MASS$ = mt``, ``$EMISSION-GAS$ = co2``)",none,,0,1,1,,0,,,
Input,:math:`\text{N}_2\text{O}` Annual Emission Limit,emission_limit_n2o," | Used in NemoMod to calculate AnnualEmissionLimit. Can be used to model an exogenous policy limit on total emissions, but cannot be used to mandate negative emissions in the Electricity sector.
 | 
 | **NOTE**: To enter no limit, use flag -999","``limit_gnrl_annual_emissions_$UNIT-MASS$_$EMISSION-GAS$`` (``$UNIT-MASS$ = mt``, ``$EMISSION-GAS$ = n2o``)",none,,0,1,1,,0,,,
Input,Area of Region,area,"Units: Hectares (ha). Total area of the country, including land and water. ",``area_gnrl_country_$UNIT-AREA$`` (``$UNIT-AREA$ = ha``),none,`FAO Land Use and Area <https://www.fao.org/faostat/en/#data/RL>`_,0,1,1,,0,,,"FAO Country area: Area under national sovereignty. It is the sum of land area, inland waters and coastal waters. It excludes the exclusive economic zone."
Input,Climate Change Factor for Average Hydropower Availability,climate_change_hydropower_availability,Scale the capacity factor of hydropower production up or down,``climate_change_factor_gnrl_hydropower_availability``,none,,0,1,1,,0,,,
Input,Elasticity National Occupation Rate to GDP Per Capita,elasticity_occrate_to_gdppc,,``elasticity_gnrl_rate_occupancy_to_gdppc``,none,,0,1,1,,0,,,
Input,Fraction Eating Red Meat,frac_eating_red_meat,"Gives a scalar *a* for demand for red meat in the country. Used to represent adoption of vegetarianism. Decreases in this scalar lead to increases in crop consumption, with the per-capita demand for crops increasng by the scalar **dietary_exchange** for 100(1  - *a*)% of the population (see land use sector). Additionally, population-level changes to diet impact the protein content of wastewater.",``frac_gnrl_eating_red_meat``,none,,0,1,1,,0,,,
Input,Initial National Occupancy Rate,init_occ_rate,Used to calculate number of households. Units: average # of people per household nationally at time :math:`t = 0`.,``occrateinit_gnrl_occupancy``,none,`UN # People per Household <https://population.un.org/Household/index.html#/countries/840>`_,0,1,1,,0,,,
Input,Population,subpop,Units: # of people ,``population_gnrl_$CAT-GENERAL$`` ,all," | `World Bank — Urban Population <https://data.worldbank.org/indicator/SP.URB.TOTL>`_
 | 
 | `World Bank — Rural Population <https://data.worldbank.org/indicator/SP.RUR.TOTL>`_
",0,1,1,,0,,,
Input,Population Density Scalar,scalar_pop_density," | The Population Density Scalar can be used to increase or decrease average population densities over time in settlements (built-up areas).
 | 
 | Urban and rural populations are not uniformly defined globally; similarly, in land use categorization, settlements (built-up areas) can be defined in terms of building density. For example, farmhouses of agricultural dwellings may be classified under cropland. 
 | 
 | SISEPUEDE therefore estimates land use change demands for settlements using changes to the urban population. Furthermore, as rural populations may not live in built-up areas, changes to rural population do not affect demands for settlements.
 | 
 |Note that, by default, settlements **are not** subject to the land use reallocation factor. They can be subject to the LURF using the `force_lurf_for_settlements` keyword argument.",``scalar_gnrl_population_density_$CAT-GENERAL$``,``urban``,,1,1,1,,0,,,
Output,National Occupancy Rate,occ_rate,Average number of people per household,``occrate_gnrl_hhs``,none,,0,1,1,,0,,,
Output,Number of Households,num_hh,Number of households,``qty_gnrl_households``,none,,0,1,1,,0,,,
Output,Urban Population Density,pop_density,Population density for urban population only,``population_gnrl_density_in_built_up_$CAT-GENERAL$``,``urban``,,0,1,1,,0,,,
Output,Total Population,pop_total,Total population,``population_gnrl_total``,none,,0,1,1,,0,,,
