time_period,ef_lndu_conv_croplands_to_croplands_gg_co2_ha,ef_lndu_conv_croplands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_croplands_to_forests_primary_gg_co2_ha,ef_lndu_conv_croplands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_croplands_to_grasslands_gg_co2_ha,ef_lndu_conv_croplands_to_other_gg_co2_ha,ef_lndu_conv_croplands_to_settlements_gg_co2_ha,ef_lndu_conv_croplands_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_croplands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_other_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_primary_to_croplands_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_primary_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_primary_to_other_gg_co2_ha,ef_lndu_conv_forests_primary_to_settlements_gg_co2_ha,ef_lndu_conv_forests_primary_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_croplands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_other_gg_co2_ha,ef_lndu_conv_forests_secondary_to_settlements_gg_co2_ha,ef_lndu_conv_forests_secondary_to_wetlands_gg_co2_ha,ef_lndu_conv_grasslands_to_croplands_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_primary_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_grasslands_to_grasslands_gg_co2_ha,ef_lndu_conv_grasslands_to_other_gg_co2_ha,ef_lndu_conv_grasslands_to_settlements_gg_co2_ha,ef_lndu_conv_grasslands_to_wetlands_gg_co2_ha,ef_lndu_conv_other_to_croplands_gg_co2_ha,ef_lndu_conv_other_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_other_to_forests_primary_gg_co2_ha,ef_lndu_conv_other_to_forests_secondary_gg_co2_ha,ef_lndu_conv_other_to_grasslands_gg_co2_ha,ef_lndu_conv_other_to_other_gg_co2_ha,ef_lndu_conv_other_to_settlements_gg_co2_ha,ef_lndu_conv_other_to_wetlands_gg_co2_ha,ef_lndu_conv_settlements_to_croplands_gg_co2_ha,ef_lndu_conv_settlements_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_settlements_to_forests_primary_gg_co2_ha,ef_lndu_conv_settlements_to_forests_secondary_gg_co2_ha,ef_lndu_conv_settlements_to_grasslands_gg_co2_ha,ef_lndu_conv_settlements_to_other_gg_co2_ha,ef_lndu_conv_settlements_to_settlements_gg_co2_ha,ef_lndu_conv_settlements_to_wetlands_gg_co2_ha,ef_lndu_conv_wetlands_to_croplands_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_primary_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_wetlands_to_grasslands_gg_co2_ha,ef_lndu_conv_wetlands_to_other_gg_co2_ha,ef_lndu_conv_wetlands_to_settlements_gg_co2_ha,ef_lndu_conv_wetlands_to_wetlands_gg_co2_ha,iso_alpha_3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131378,0,0,0,0.128494,0.13126,0.131378,0.131378,0.127678,0,0,0,0.124776,0.127559,0.127678,0.127678,0.130576,0,0,0,0.127696,0.130458,0.130576,0.130576,0.002884,0.0,0.0,0.0,0.0,0.002766,0.002884,0.002884,0.000118,0.0,0.0,0.0,0.0,0.0,0.000118,0.000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
