country,optimization_bound,croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands,design_quality_rank
argentina,max_diagonal,0.9639034341462184,0.0,0.0,0.0,0.0,0.03609656585378161,0.0,0.0,0.0024999999999999467,0.9975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942580261279328,0.0,0.0,0.0057001307680998765,4.184310396733997e-05,0.0,0.0,0.0,0.0,0.9975,0.0,0.0024999999999999467,0.0,0.0,0.0,0.0,0.0,0.0,0.9786980071363918,0.02130199286360821,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.00021843704483483765,0.0007827154778191301,0.9975,0.00020318417961281065,0.0012956632977331696,0.0,0.0,0.0,0.0006249999999999867,0.0,0.00187499999999996,0.9975,0.0,0.0,0.0,0.0,0.0006249999999999867,0.0,0.00187499999999996,0.0,0.9975,7.0
argentina,min_diagonal,0.95,0.0,0.0,0.0,0.0,0.04999999999999997,0.0,0.0,0.050000000000000044,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991913476014533,0.0,0.0,0.008086523985467027,0.0,0.0,0.0,0.0,0.050000000000000044,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.050000000000000044,0.0,0.0,0.004208821923818597,0.0,0.0,0.0007517010349163556,0.019202376889207208,0.9720189973283865,0.0005644676079006222,0.003253635215770777,0.0,0.0,0.0,0.0,0.0,0.05000000000000003,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.0,0.95,5.0
bahamas,max_diagonal,0.9999999999999979,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,2.0883755723512266e-15,5.307169634316545e-17,0.993442022266622,0.0,0.0,0.0,0.00024768415387938197,0.0001974170776587742,0.0061128765018398055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0711278909912908e-20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.734723475976807e-18,0.0,0.0008743957732851431,0.0,0.0,0.0,0.9935094521400241,1.7480561552226626e-05,0.0055986715251385676,0.0,0.0,0.0,0.0,0.0,0.0,0.9980099209653369,0.0019900790346630936,6.181307635882982e-17,0.00025123835423141637,0.0,0.0,1.5934545619278332e-20,0.0015586818333265871,0.00010886043045160479,0.9980812193819903,4.5
bahamas,min_diagonal,0.9552337466347184,0.005625,0.0,0.0,0.005625,0.005625,0.009766253365281623,0.01812500000000001,0.0,0.9649999999999999,0.0,0.0,0.0,0.018750000000000024,0.0,0.016250000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.5288786036701136e-19,0.050000000000000044,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.026250000000000034,0.0,0.0,0.0,0.95,0.005625,0.0,0.01812500000000001,0.0034433186230126956,0.02700728335053254,0.0,0.0,0.00012745361777834782,0.9512969444086765,0.0,0.01812500000000001,0.0,0.0,0.0,0.0,0.0,0.0031250000000000045,0.98,0.016875000000000015,0.0008462214724868522,0.0022785459727405464,0.0,0.0,7.57974520961861e-05,0.004290525949465555,0.0002733662542731659,0.9922355428989377,4.5
barbados,max_diagonal,0.9472222222222222,0.0,0.0,0.0,8.673617379884037e-19,0.008571223846148814,0.043842257919578055,0.0003642960120509365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,1.0,3.0088015713314383e-19,0.0,0.0,1.816575593310265e-17,0.0,0.0,0.0,2.6568099915092537e-19,0.997378838752653,0.002610128019174021,1.1033228172951283e-05,1.6845791254993522e-17,0.0,0.0,0.0,-4.81482486096809e-35,0.0,1.0,2.0328790734103208e-19,5.178299159094024e-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
barbados,min_diagonal,0.9060755380375376,0.0,0.0,0.0,0.00375,0.00375,0.08613671004197998,0.0002877519204822713,0.08631250000000007,0.9136875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09631250000000008,0.0,0.0,0.9036875,0.0,0.0,0.0,0.0,0.021250000000000022,0.0,0.0,0.0,0.9036875,0.00375,0.07131250000000006,0.0,0.02258991822388174,0.0,0.0,0.0,0.0,0.9060975817761181,0.07131250000000006,0.0,0.00946835067346887,0.0,0.0,0.0,0.00831608301820054,0.02829599345430208,0.9529623767955799,0.0009571960584487038,0.006250000000000009,0.0,0.0,0.0,0.0,0.00375,0.07131250000000006,0.9186875,7.0
belize,max_diagonal,0.9975,0.0024999999999999476,0.0,0.0,0.0,0.0,0.0,0.0,0.0006249999999999867,0.9975,0.0,0.0,0.000246185764861468,0.0016288142351384928,0.0,0.0,0.0019465965111425034,0.0,0.9914094671693745,0.0,4.676969937073285e-05,0.00526277433538555,0.00038218283055369554,0.0009522094541729142,0.0024999999999999467,0.0,0.0,0.9975,0.0,0.0,0.0,0.0,0.0,0.002499999999999947,0.0,0.0,0.9975,0.0,0.0,0.0,2.710505431213761e-20,0.005112582043147983,0.0,2.732381396744583e-05,0.0,0.9948600941428846,-2.710505431213761e-20,0.0,0.0,0.0020974744696694416,0.0,0.0004025255303305053,0.0,0.0,0.9975,0.0,0.0,0.0024999999999999476,0.0,0.0,0.0,0.0,0.0,0.9975,3.0
belize,min_diagonal,0.95,0.041355269648204254,0.0,0.0,0.0,0.0075,0.0,0.001144730351795789,0.0,0.97,0.0,0.0,0.0,0.030000000000000027,0.0,0.0,0.0,0.0,0.9913965859472946,0.0,-5.421010862427522e-20,0.008603414052705306,3.3881317890172014e-21,0.0,0.035000000000000045,0.0,0.0075,0.95,0.0,0.0075,0.0,0.0,0.042500000000000045,0.0,0.0,0.0,0.95,0.0075,0.0,0.0,0.011560954449418938,0.012059072254563367,0.0,0.00029048019861636963,0.005775276226030508,0.9635421904001238,0.0013774690750915691,0.005394557396155457,0.002500000000000009,0.0,0.0,0.0,0.0,0.0075,0.99,0.0,0.012500000000000018,0.0,0.0,0.0,0.0,0.0075,0.0,0.98,3.0
bolivia,max_diagonal,0.9858794509317758,0.0,0.0,0.0,0.0036525228187454174,0.010163102812643678,0.0,0.0003049234368353328,0.00187499999999996,0.998125,0.0,0.0,0.0,0.0,0.0,0.0,0.0005993298005138915,0.0,0.9952097332341151,0.0,0.001681530193552757,0.002411501133838255,1.1903475959438265e-05,8.600216202058225e-05,0.0006249999999999867,0.0,0.0,0.998125,0.0012499999999999382,0.0,0.0,0.0,0.0008875340909091241,0.0,0.0,-3.3881317890172014e-21,0.9963930707575758,0.0026725662843519737,6.331048835623795e-06,4.049781832751243e-05,0.0006224152276481173,0.0,0.0,3.4181494990687683e-05,0.0008357768869620935,0.998125,5.119605710105294e-05,0.0003314303332980076,0.0006249999999999867,0.0,0.0,0.001249999999999975,0.0,0.0,0.998125,0.0,0.0006249999999999867,0.0,0.0,0.0009539839138620413,0.0003583744384660463,0.0006499999999999889,0.0001492530990812113,0.9972633885485908,3.25
bolivia,min_diagonal,0.9564998964636142,0.0,0.0,0.00022029455550829456,0.036875000000000394,0.0043749999999999995,0.00015480898087737887,0.001875,0.03500000000000003,0.9649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0,0.9951928794304546,0.0,0.0027758742235508083,0.0016562463459944706,0.0,0.0,0.03107500000000003,0.0,0.014625000000000016,0.95,0.0023750000000000004,0.001925,0.0,0.0,0.00524290938056636,0.0,0.0,0.00011089393939393942,0.9792164173643303,0.014312331803999491,9.204947313283185e-05,0.0010253980385769859,0.0,0.0,0.0,0.0,0.020072273538172192,0.9799277264618278,0.0,0.0,0.0,0.0,0.0,0.0,0.01807500000000001,0.001925,0.98,0.0,0.010950000000000014,0.0,0.0,0.0,0.014625000000000013,0.001925,0.0,0.9725,2.75
