time_period,pij_lndu_croplands_to_croplands,pij_lndu_croplands_to_forests_mangroves,pij_lndu_croplands_to_forests_primary,pij_lndu_croplands_to_forests_secondary,pij_lndu_croplands_to_grasslands,pij_lndu_croplands_to_other,pij_lndu_croplands_to_settlements,pij_lndu_croplands_to_wetlands,pij_lndu_forests_mangroves_to_croplands,pij_lndu_forests_mangroves_to_forests_mangroves,pij_lndu_forests_mangroves_to_forests_primary,pij_lndu_forests_mangroves_to_forests_secondary,pij_lndu_forests_mangroves_to_grasslands,pij_lndu_forests_mangroves_to_other,pij_lndu_forests_mangroves_to_settlements,pij_lndu_forests_mangroves_to_wetlands,pij_lndu_forests_primary_to_croplands,pij_lndu_forests_primary_to_forests_mangroves,pij_lndu_forests_primary_to_forests_primary,pij_lndu_forests_primary_to_forests_secondary,pij_lndu_forests_primary_to_grasslands,pij_lndu_forests_primary_to_other,pij_lndu_forests_primary_to_settlements,pij_lndu_forests_primary_to_wetlands,pij_lndu_forests_secondary_to_croplands,pij_lndu_forests_secondary_to_forests_mangroves,pij_lndu_forests_secondary_to_forests_primary,pij_lndu_forests_secondary_to_forests_secondary,pij_lndu_forests_secondary_to_grasslands,pij_lndu_forests_secondary_to_other,pij_lndu_forests_secondary_to_settlements,pij_lndu_forests_secondary_to_wetlands,pij_lndu_grasslands_to_croplands,pij_lndu_grasslands_to_forests_mangroves,pij_lndu_grasslands_to_forests_primary,pij_lndu_grasslands_to_forests_secondary,pij_lndu_grasslands_to_grasslands,pij_lndu_grasslands_to_other,pij_lndu_grasslands_to_settlements,pij_lndu_grasslands_to_wetlands,pij_lndu_other_to_croplands,pij_lndu_other_to_forests_mangroves,pij_lndu_other_to_forests_primary,pij_lndu_other_to_forests_secondary,pij_lndu_other_to_grasslands,pij_lndu_other_to_other,pij_lndu_other_to_settlements,pij_lndu_other_to_wetlands,pij_lndu_settlements_to_croplands,pij_lndu_settlements_to_forests_mangroves,pij_lndu_settlements_to_forests_primary,pij_lndu_settlements_to_forests_secondary,pij_lndu_settlements_to_grasslands,pij_lndu_settlements_to_other,pij_lndu_settlements_to_settlements,pij_lndu_settlements_to_wetlands,pij_lndu_wetlands_to_croplands,pij_lndu_wetlands_to_forests_mangroves,pij_lndu_wetlands_to_forests_primary,pij_lndu_wetlands_to_forests_secondary,pij_lndu_wetlands_to_grasslands,pij_lndu_wetlands_to_other,pij_lndu_wetlands_to_settlements,pij_lndu_wetlands_to_wetlands,country
0,0.9949999999999996,0.0,0.0,9.402198771824584e-05,9.999999999999998e-05,0.004699112551234861,2.524144485719153e-05,8.162401618995221e-05,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.00606138867027813,0.0,0.989897945747302,0.0,0.0037484698602597796,6.25e-05,2.884405403769656e-05,0.0002008516681223742,0.0010397032637033642,0.0,0.0,0.9985,0.000125,5e-05,9.77967362965856e-05,0.00018749999999999298,0.012431127008061144,0.0,0.0,5.542161981598971e-05,0.9863457252849182,0.0011067675981856072,0.0,6.095848901909441e-05,0.003182442030919501,0.0,0.0,5.587977641122973e-05,0.0,0.9966835789879124,9.578932743658605e-06,6.85202720130966e-05,0.001457362801575892,0.0,0.0,0.0007124999999999731,0.0,5e-05,0.9977801371984242,0.0,0.009515268914987423,0.0,0.0,0.0,0.0,6.250000000000001e-05,0.0,0.9904222310850126,argentina
1,0.9949999999999996,0.0,0.0,9.402198771824584e-05,9.999999999999998e-05,0.004699112551234861,2.524144485719153e-05,8.162401618995221e-05,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.00606138867027813,0.0,0.989897945747302,0.0,0.0037484698602597796,6.25e-05,2.884405403769656e-05,0.0002008516681223742,0.0010397032637033642,0.0,0.0,0.9985,0.000125,5e-05,9.77967362965856e-05,0.00018749999999999298,0.012431127008061144,0.0,0.0,5.542161981598971e-05,0.9863457252849182,0.0011067675981856072,0.0,6.095848901909441e-05,0.003182442030919501,0.0,0.0,5.587977641122973e-05,0.0,0.9966835789879124,9.578932743658605e-06,6.85202720130966e-05,0.001457362801575892,0.0,0.0,0.0007124999999999731,0.0,5e-05,0.9977801371984242,0.0,0.009515268914987423,0.0,0.0,0.0,0.0,6.250000000000001e-05,0.0,0.9904222310850126,argentina
2,0.9949999999999996,0.0,0.0,9.402198771824584e-05,9.999999999999998e-05,0.004699112551234861,2.524144485719153e-05,8.162401618995221e-05,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.00606138867027813,0.0,0.989897945747302,0.0,0.0037484698602597796,6.25e-05,2.884405403769656e-05,0.0002008516681223742,0.0010397032637033642,0.0,0.0,0.9985,0.000125,5e-05,9.77967362965856e-05,0.00018749999999999298,0.012431127008061144,0.0,0.0,5.542161981598971e-05,0.9863457252849182,0.0011067675981856072,0.0,6.095848901909441e-05,0.003182442030919501,0.0,0.0,5.587977641122973e-05,0.0,0.9966835789879124,9.578932743658605e-06,6.85202720130966e-05,0.001457362801575892,0.0,0.0,0.0007124999999999731,0.0,5e-05,0.9977801371984242,0.0,0.009515268914987423,0.0,0.0,0.0,0.0,6.250000000000001e-05,0.0,0.9904222310850126,argentina
3,0.9944271212121207,0.0,0.0,0.0003614391167175482,0.00010151515151515149,0.004699112551234861,9.703310635377638e-05,0.00031377886205771017,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.006056380074628545,0.0,0.989645119147738,0.0,0.004006567481875339,6.229623943191815e-05,2.8836687072110536e-05,0.0002008003692541562,0.0010391046466727471,0.0,0.0,0.9984987656363863,0.0001268939393939394,4.993939393939394e-05,9.779661539850566e-05,0.0001874997682091291,0.012426135979733837,0.0,0.0,5.374217679126275e-05,0.9863579967493462,0.0011030138320496004,0.0,5.9111262079121856e-05,0.00318060971581079,0.0,0.0,5.587987912747683e-05,0.0,0.9966854110567456,9.57895035131715e-06,6.852039796465982e-05,0.0014565237139022576,0.0,0.0,0.0007125005987224965,0.0,5.000004201561568e-05,0.9977809756453597,0.0,0.009509790426824248,0.0,0.0,0.0,0.0,6.250034569489006e-05,0.0,0.9904277092274809,argentina
4,0.9938542424242419,0.0,0.0,0.0006288562457168505,0.00010303030303030301,0.004699112551234861,0.00016882476785036124,0.0005459337079254681,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.00605137147897896,0.0,0.9893922925481738,0.0,0.004264665103490897,6.20924788638363e-05,2.8829320106524517e-05,0.00020074907038593822,0.00103850602964213,0.0,0.0,0.9984975312727725,0.00012878787878787878,4.987878787878788e-05,9.77964945004257e-05,0.00018749953641826524,0.01242114495140653,0.0,0.0,5.2062733766535783e-05,0.9863702682137742,0.0010992600659135935,0.0,5.7264035139149294e-05,0.0031787774007020785,0.0,0.0,5.5879981843723916e-05,0.0,0.9966872431255789,9.578967958975694e-06,6.852052391622303e-05,0.0014556846262286228,0.0,0.0,0.0007125011974450199,0.0,5.000008403123136e-05,0.9977818140922952,0.0,0.009504311938661074,0.0,0.0,0.0,0.0,6.250069138978009e-05,0.0,0.9904331873699491,argentina
5,0.9932813636363632,0.0,0.0,0.0008962733747161528,0.00010454545454545452,0.004699112551234861,0.00024061642934694607,0.000778088553793226,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.006046362883329375,0.0,0.9891394659486098,0.0,0.004522762725106457,6.188871829575445e-05,2.8821953140938494e-05,0.00020069777151772021,0.001037907412611513,0.0,0.0,0.9984962969091588,0.00013068181818181817,4.981818181818182e-05,9.779637360234575e-05,0.00018749930462740134,0.012416153923079225,0.0,0.0,5.0383290741808824e-05,0.9863825396782022,0.0010955062997775864,0.0,5.541680819917674e-05,0.0031769450855933675,0.0,0.0,5.588008455997101e-05,0.0,0.9966890751944121,9.578985566634238e-06,6.852064986778624e-05,0.0014548455385549883,0.0,0.0,0.0007125017961675433,0.0,5.0000126046847035e-05,0.9977826525392307,0.0,0.0094988334504979,0.0,0.0,0.0,0.0,6.250103708467014e-05,0.0,0.9904386655124174,argentina
6,0.9927084848484844,0.0,0.0,0.0011636905037154552,0.00010606060606060604,0.004699112551234861,0.0003124080908435309,0.0010102433996609839,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.00604135428767979,0.0,0.9888866393490456,0.0,0.004780860346722015,6.168495772767259e-05,2.881458617535247e-05,0.0002006464726495022,0.0010373087955808959,0.0,0.0,0.998495062545545,0.0001325757575757576,4.975757575757576e-05,9.779625270426581e-05,0.00018749907283653746,0.012411162894751918,0.0,0.0,4.8703847717081865e-05,0.9863948111426302,0.0010917525336415796,0.0,5.356958125920418e-05,0.003175112770484656,0.0,0.0,5.58801872762181e-05,0.0,0.9966909072632454,9.579003174292783e-06,6.852077581934945e-05,0.0014540064508813536,0.0,0.0,0.0007125023948900668,0.0,5.000016806246271e-05,0.9977834909861661,0.0,0.009493354962334725,0.0,0.0,0.0,0.0,6.250138277956018e-05,0.0,0.9904441436548858,argentina
7,0.9921356060606056,0.0,0.0,0.0014311076327147576,0.00010757575757575755,0.004699112551234861,0.00038419975234011577,0.0012423982455287417,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.006036345692030205,0.0,0.9886338127494816,0.0,0.005038957968337575,6.148119715959074e-05,2.8807219209766452e-05,0.00020059517378128423,0.0010367101785502787,0.0,0.0,0.9984938281819312,0.00013446969696969698,4.96969696969697e-05,9.779613180618585e-05,0.0001874988410456736,0.012406171866424611,0.0,0.0,4.7024404692354906e-05,0.9864070826070582,0.0010879987675055727,0.0,5.172235431923162e-05,0.003173280455375945,0.0,0.0,5.5880289992465195e-05,0.0,0.9966927393320786,9.579020781951326e-06,6.852090177091266e-05,0.0014531673632077191,0.0,0.0,0.0007125029936125902,0.0,5.000021007807839e-05,0.9977843294331017,0.0,0.00948787647417155,0.0,0.0,0.0,0.0,6.250172847445021e-05,0.0,0.990449621797354,argentina
8,0.9915627272727268,0.0,0.0,0.0016985247617140597,0.00010909090909090907,0.004699112551234861,0.0004559914138367006,0.0014745530913964997,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.00603133709638062,0.0,0.9883809861499175,0.0,0.005297055589953133,6.127743659150888e-05,2.879985224418043e-05,0.00020054387491306622,0.0010361115615196616,0.0,0.0,0.9984925938183175,0.00013636363636363637,4.963636363636364e-05,9.77960109081059e-05,0.00018749860925480972,0.012401180838097305,0.0,0.0,4.534496166762794e-05,0.9864193540714863,0.0010842450013695659,0.0,4.987512737925906e-05,0.003171448140267234,0.0,0.0,5.588039270871228e-05,0.0,0.9966945714009119,9.57903838960987e-06,6.852102772247588e-05,0.0014523282755340844,0.0,0.0,0.0007125035923351135,0.0,5.000025209369407e-05,0.9977851678800371,0.0,0.009482397986008376,0.0,0.0,0.0,0.0,6.250207416934026e-05,0.0,0.9904550999398223,argentina
9,0.9909898484848481,0.0,0.0,0.001965941890713362,0.00011060606060606058,0.004699112551234861,0.0005277830753332855,0.0017067079372642578,0.0,0.9985,0.0,0.0,0.0,0.0,0.0,0.0014999999999999439,0.006026328500731035,0.0,0.9881281595503534,0.0,0.005555153211568693,6.107367602342703e-05,2.879248527859441e-05,0.00020049257604484825,0.0010355129444890444,0.0,0.0,0.9984913594547037,0.00013825757575757576,4.957575757575758e-05,9.779589001002595e-05,0.00018749837746394584,0.012396189809769998,0.0,0.0,4.366551864290098e-05,0.9864316255359142,0.001080491235233559,0.0,4.802790043928651e-05,0.0031696158251585224,0.0,0.0,5.588049542495938e-05,0.0,0.9966964034697451,9.579055997268414e-06,6.852115367403909e-05,0.0014514891878604499,0.0,0.0,0.0007125041910576369,0.0,5.0000294109309744e-05,0.9977860063269727,0.0,0.009476919497845201,0.0,0.0,0.0,0.0,6.250241986423029e-05,0.0,0.9904605780822906,argentina
