time_period,pij_lndu_croplands_to_croplands,pij_lndu_croplands_to_forests_mangroves,pij_lndu_croplands_to_forests_primary,pij_lndu_croplands_to_forests_secondary,pij_lndu_croplands_to_grasslands,pij_lndu_croplands_to_other,pij_lndu_croplands_to_settlements,pij_lndu_croplands_to_wetlands,pij_lndu_forests_mangroves_to_croplands,pij_lndu_forests_mangroves_to_forests_mangroves,pij_lndu_forests_mangroves_to_forests_primary,pij_lndu_forests_mangroves_to_forests_secondary,pij_lndu_forests_mangroves_to_grasslands,pij_lndu_forests_mangroves_to_other,pij_lndu_forests_mangroves_to_settlements,pij_lndu_forests_mangroves_to_wetlands,pij_lndu_forests_primary_to_croplands,pij_lndu_forests_primary_to_forests_mangroves,pij_lndu_forests_primary_to_forests_primary,pij_lndu_forests_primary_to_forests_secondary,pij_lndu_forests_primary_to_grasslands,pij_lndu_forests_primary_to_other,pij_lndu_forests_primary_to_settlements,pij_lndu_forests_primary_to_wetlands,pij_lndu_forests_secondary_to_croplands,pij_lndu_forests_secondary_to_forests_mangroves,pij_lndu_forests_secondary_to_forests_primary,pij_lndu_forests_secondary_to_forests_secondary,pij_lndu_forests_secondary_to_grasslands,pij_lndu_forests_secondary_to_other,pij_lndu_forests_secondary_to_settlements,pij_lndu_forests_secondary_to_wetlands,pij_lndu_grasslands_to_croplands,pij_lndu_grasslands_to_forests_mangroves,pij_lndu_grasslands_to_forests_primary,pij_lndu_grasslands_to_forests_secondary,pij_lndu_grasslands_to_grasslands,pij_lndu_grasslands_to_other,pij_lndu_grasslands_to_settlements,pij_lndu_grasslands_to_wetlands,pij_lndu_other_to_croplands,pij_lndu_other_to_forests_mangroves,pij_lndu_other_to_forests_primary,pij_lndu_other_to_forests_secondary,pij_lndu_other_to_grasslands,pij_lndu_other_to_other,pij_lndu_other_to_settlements,pij_lndu_other_to_wetlands,pij_lndu_settlements_to_croplands,pij_lndu_settlements_to_forests_mangroves,pij_lndu_settlements_to_forests_primary,pij_lndu_settlements_to_forests_secondary,pij_lndu_settlements_to_grasslands,pij_lndu_settlements_to_other,pij_lndu_settlements_to_settlements,pij_lndu_settlements_to_wetlands,pij_lndu_wetlands_to_croplands,pij_lndu_wetlands_to_forests_mangroves,pij_lndu_wetlands_to_forests_primary,pij_lndu_wetlands_to_forests_secondary,pij_lndu_wetlands_to_grasslands,pij_lndu_wetlands_to_other,pij_lndu_wetlands_to_settlements,pij_lndu_wetlands_to_wetlands,country
0,0.9559167022919955,0.0,0.0,0.0,0.03945331695739257,0.004629980750611775,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.002536372697881,0.0,0.9898843888615618,0.0,0.007479238440557132,0.00010000000000000002,0.0,0.0,0.03067872543148688,0.0,0.0003750000000000001,0.9608,0.001,0.00010000000000000002,0.0007962745685131492,0.006250000000000001,0.028181597154869682,0.0,0.0,0.00017085847783731228,0.9660519076491796,0.005,1.1998401037245876e-05,0.0005836383170761724,0.0017315264730559385,0.0,0.0,7.683349288565395e-05,0.00493157901802814,0.9931928396411224,2.400238365204753e-06,6.482113654272353e-05,0.0012375000000000012,0.0,0.0,0.0002375000000000003,0.007425000000000006,0.00010000000000000002,0.991,0.0,0.01133936410383122,0.0,0.0,0.007028008369965396,0.0003125,8.750000000000001e-05,0.0012326275262034047,0.9800000000000002,argentina
1,0.9559167022919955,0.0,0.0,0.0,0.03945331695739257,0.004629980750611775,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.002536372697881,0.0,0.9898843888615618,0.0,0.007479238440557132,0.00010000000000000002,0.0,0.0,0.03067872543148688,0.0,0.0003750000000000001,0.9608,0.001,0.00010000000000000002,0.0007962745685131492,0.006250000000000001,0.028181597154869682,0.0,0.0,0.00017085847783731228,0.9660519076491796,0.005,1.1998401037245876e-05,0.0005836383170761724,0.0017315264730559385,0.0,0.0,7.683349288565395e-05,0.00493157901802814,0.9931928396411224,2.400238365204753e-06,6.482113654272353e-05,0.0012375000000000012,0.0,0.0,0.0002375000000000003,0.007425000000000006,0.00010000000000000002,0.991,0.0,0.01133936410383122,0.0,0.0,0.007028008369965396,0.0003125,8.750000000000001e-05,0.0012326275262034047,0.9800000000000002,argentina
2,0.9559167022919955,0.0,0.0,0.0,0.03945331695739257,0.004629980750611775,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.002536372697881,0.0,0.9898843888615618,0.0,0.007479238440557132,0.00010000000000000002,0.0,0.0,0.03067872543148688,0.0,0.0003750000000000001,0.9608,0.001,0.00010000000000000002,0.0007962745685131492,0.006250000000000001,0.028181597154869682,0.0,0.0,0.00017085847783731228,0.9660519076491796,0.005,1.1998401037245876e-05,0.0005836383170761724,0.0017315264730559385,0.0,0.0,7.683349288565395e-05,0.00493157901802814,0.9931928396411224,2.400238365204753e-06,6.482113654272353e-05,0.0012375000000000012,0.0,0.0,0.0002375000000000003,0.007425000000000006,0.00010000000000000002,0.991,0.0,0.01133936410383122,0.0,0.0,0.007028008369965396,0.0003125,8.750000000000001e-05,0.0012326275262034047,0.9800000000000002,argentina
3,0.9553113887046543,0.0,0.0,0.0,0.04004880117558463,0.004639810119761049,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.0025282862953306855,0.0,0.9892218495906584,0.0,0.008150227382191191,9.963673181964559e-05,0.0,0.0,0.030599704472042143,0.0,0.0003750000000000001,0.960863524781051,0.0010151515151515151,9.98787878787879e-05,0.0007963272154403154,0.0062504132284362714,0.02878433688054447,0.0,0.0,0.00016568094820587856,0.9654946833604263,0.004977711690228529,1.1634813127026304e-05,0.0005659523074678036,0.0017270664806253398,0.0,0.0,7.683383615683377e-05,0.004931601050983878,0.9931972769569992,2.4002490888179133e-06,6.482142614595752e-05,0.0012343125000000013,0.0,0.0,0.00023750075796923723,0.0074250236965119395,0.00010000031914494188,0.9910031627263739,0.0,0.011310156650836505,0.0,0.0,0.007028215994519928,0.00031250923201423165,8.750258496398487e-05,0.0012326639410349702,0.9800289515966306,argentina
4,0.9547060751173129,0.0,0.0,0.0,0.0406442853937767,0.004649639488910322,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.002520199892780371,0.0,0.9885593103197551,0.0,0.008821216323825251,9.927346363929117e-05,0.0,0.0,0.030520683512597405,0.0,0.0003750000000000001,0.960927049562102,0.0010303030303030303,9.975757575757577e-05,0.0007963798623674816,0.0062508264568725425,0.029387076606219257,0.0,0.0,0.00016050341857444487,0.964937459071673,0.004955423380457057,1.1271225216806733e-05,0.0005482662978594348,0.0017226064881947414,0.0,0.0,7.683417942801359e-05,0.004931623083939615,0.9932017142728761,2.400259812431074e-06,6.482171574919152e-05,0.001231125000000001,0.0,0.0,0.00023750151593847417,0.007425047393023874,0.00010000063828988375,0.9910063254527478,0.0,0.011280949197841787,0.0,0.0,0.007028423619074462,0.0003125184640284633,8.750516992796972e-05,0.0012327003558665357,0.980057903193261,argentina
5,0.9541007615299716,0.0,0.0,0.0,0.04123976961196876,0.0046594688580595955,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.002512113490230057,0.0,0.9878967710488517,0.0,0.00949220526545931,9.891019545893674e-05,0.0,0.0,0.030441662553152664,0.0,0.0003750000000000001,0.960990574343153,0.0010454545454545456,9.963636363636366e-05,0.0007964325092946478,0.006251239685308813,0.029989816331894046,0.0,0.0,0.00015532588894301116,0.9643802347829197,0.004933135070685586,1.090763730658716e-05,0.0005305802882510658,0.0017181464957641427,0.0,0.0,7.683452269919342e-05,0.004931645116895352,0.9932061515887529,2.4002705360442346e-06,6.48220053524255e-05,0.0012279375000000012,0.0,0.0,0.00023750227390771108,0.007425071089535807,0.00010000095743482561,0.9910094881791217,0.0,0.01125174174484707,0.0,0.0,0.007028631243628994,0.0003125276960426949,8.750775489195458e-05,0.0012327367706981012,0.9800868547898914,argentina
6,0.9534954479426302,0.0,0.0,0.0,0.04183525383016083,0.0046692982272088695,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.0025040270876797426,0.0,0.9872342317779482,0.0,0.010163194207093369,9.854692727858232e-05,0.0,0.0,0.030362641593707926,0.0,0.0003750000000000001,0.961054099124204,0.0010606060606060607,9.951515151515154e-05,0.000796485156221814,0.006251652913745084,0.03059255605756883,0.0,0.0,0.00015014835931157747,0.9638230104941664,0.004910846760914115,1.0544049396367589e-05,0.000512894278642697,0.001713686503333544,0.0,0.0,7.683486597037324e-05,0.00493166714985109,0.9932105889046298,2.400281259657395e-06,6.482229495565949e-05,0.0012247500000000012,0.0,0.0,0.00023750303187694801,0.00742509478604774,0.00010000127657976748,0.9910126509054955,0.0,0.011222534291852354,0.0,0.0,0.007028838868183528,0.00031253692805692653,8.751033985593945e-05,0.0012327731855296667,0.9801158063865218,argentina
7,0.9528901343552889,0.0,0.0,0.0,0.042430738048352894,0.0046791275963581425,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.0024959406851294283,0.0,0.9865716925070449,0.0,0.010834183148727429,9.81836590982279e-05,0.0,0.0,0.030283620634263188,0.0,0.0003750000000000001,0.961117623905255,0.0010757575757575758,9.939393939393942e-05,0.0007965378031489802,0.006252066142181354,0.03119529578324362,0.0,0.0,0.00014497082968014375,0.9632657862054131,0.0048885584511426435,1.0180461486148016e-05,0.0004952082690343281,0.0017092265109029455,0.0,0.0,7.683520924155306e-05,0.004931689182806827,0.9932150262205065,2.4002919832705554e-06,6.482258455889349e-05,0.001221562500000001,0.0,0.0,0.00023750378984618495,0.007425118482559674,0.00010000159572470934,0.9910158136318694,0.0,0.011193326838857636,0.0,0.0,0.00702904649273806,0.0003125461600711582,8.75129248199243e-05,0.001232809600361232,0.9801447579831521,argentina
8,0.9522848207679475,0.0,0.0,0.0,0.043026222266544956,0.004688956965507416,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.0024878542825791145,0.0,0.9859091532361415,0.0,0.011505172090361487,9.782039091787348e-05,0.0,0.0,0.03020459967481845,0.0,0.0003750000000000001,0.961181148686306,0.001090909090909091,9.927272727272729e-05,0.0007965904500761464,0.006252479370617625,0.03179803550891841,0.0,0.0,0.00013979330004871003,0.9627085619166599,0.0048662701413711715,9.816873575928445e-06,0.00047752225942595926,0.0017047665184723468,0.0,0.0,7.683555251273288e-05,0.004931711215762565,0.9932194635363834,2.4003027068837162e-06,6.482287416212747e-05,0.0012183750000000011,0.0,0.0,0.00023750454781542189,0.007425142179071607,0.00010000191486965121,0.9910189763582433,0.0,0.01116411938586292,0.0,0.0,0.007029254117292594,0.0003125553920853898,8.751550978390916e-05,0.0012328460151927974,0.9801737095797826,argentina
9,0.9516795071806062,0.0,0.0,0.0,0.043621706484737025,0.00469878633465669,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.020000000000000018,0.01,0.0024797678800288,0.0,0.985246613965238,0.0,0.012176161031995546,9.745712273751905e-05,0.0,0.0,0.030125578715373712,0.0,0.0003750000000000001,0.961244673467357,0.001106060606060606,9.915151515151517e-05,0.0007966430970033126,0.006252892599053895,0.0324007752345932,0.0,0.0,0.00013461577041727635,0.9621513376279065,0.0048439818315997,9.453285665708872e-06,0.00045983624981759037,0.001700306526041748,0.0,0.0,7.68358957839127e-05,0.004931733248718302,0.9932239008522602,2.4003134304968767e-06,6.482316376536146e-05,0.0012151875000000012,0.0,0.0,0.00023750530578465882,0.007425165875583541,0.00010000223401459307,0.9910221390846172,0.0,0.011134911932868204,0.0,0.0,0.007029461741847126,0.0003125646240996214,8.7518094747894e-05,0.001232882430024363,0.980202661176413,argentina
