fao_item,aggregate_fao_crop,cat_1,``$CAT-AGRICULTURE$``,super_cat
"Abaca, manila hemp, raw",0,fibers,fibers,fibers
Agave fibres nes,0,fibers,fibers,fibers
"Agave fibres, raw, n.e.c.",0,fibers,fibers,fibers
"Almonds, in shell",0,nuts,nuts,woody_perennial
"Almonds, with shell",0,nuts,nuts,woody_perennial
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",0,herbs,herbs_and_other_perennial_crops,herbs
"Anise, badian, fennel, coriander",0,herbs,herbs_and_other_perennial_crops,herbs
Apples,0,fruits,fruits,woody_perennial
Apricots,0,fruits,fruits,woody_perennial
Areca nuts,0,nuts,nuts,woody_perennial
Artichokes,0,vegetables,vegetables_and_vines,annual_crops
Asparagus,0,vegetables,vegetables_and_vines,annual_crops
Avocados,0,fruits,fruits,woody_perennial
Bambara beans,0,pulses,pulses,perennial_crops
"Bambara beans, dry",0,pulses,pulses,perennial_crops
Bananas,0,fruits,fruits,woody_perennial
Barley,0,cereals,cereals,cereals
"Bastfibres, other",0,fibers,fibers,fibers
"Beans, dry",0,pulses,pulses,perennial_crops
"Beans, green",0,pulses,pulses,perennial_crops
Berries nes,0,fruits,fruits,woody_perennial
Blueberries,0,fruits,fruits,woody_perennial
"Brazil nuts, with shell",0,nuts,nuts,woody_perennial
"Broad beans and horse beans, dry",0,pulses,pulses,perennial_crops
"Broad beans and horse beans, green",0,pulses,pulses,perennial_crops
"Broad beans, horse beans, dry",0,pulses,pulses,perennial_crops
Buckwheat,0,cereals,cereals,cereals
Cabbages,0,vegetables,vegetables_and_vines,annual_crops
Cabbages and other brassicas,0,vegetables,vegetables_and_vines,annual_crops
Canary seed,0,cereals,cereals,cereals
Cantaloupes and other melons,0,vegetables,vegetables_and_vines,annual_crops
Carobs,0,fruits,fruits,woody_perennial
Carrots and turnips,0,vegetables,vegetables_and_vines,annual_crops
"Cashew nuts, in shell",0,nuts,nuts,woody_perennial
"Cashew nuts, with shell",0,nuts,nuts,woody_perennial
Cashewapple,0,fruits,fruits,woody_perennial
Cassava,0,tubers,tubers,tubers
Cassava leaves,0,tubers,tubers,tubers
