fao_category,sisepuede_demand_subsector,sisepuede_demand_category,agg_to_fao_category
Chocolate products nes,agrc,bevs_and_spices,
Cinnamon (cannella),agrc,bevs_and_spices,
Cloves,agrc,bevs_and_spices,
"Cocoa, beans",agrc,bevs_and_spices,
"Cocoa, butter",agrc,bevs_and_spices,
"Cocoa, paste",agrc,bevs_and_spices,
"Cocoa, powder & cake",agrc,bevs_and_spices,
"Coffee, extracts",agrc,bevs_and_spices,
"Coffee, green",agrc,bevs_and_spices,
"Coffee, husks and skins",agrc,bevs_and_spices,
"Coffee, roasted",agrc,bevs_and_spices,
"Coffee, substitutes containing coffee",agrc,bevs_and_spices,
Maté,agrc,bevs_and_spices,
Mate,agrc,bevs_and_spices,
"Nutmeg, mace and cardamoms",agrc,bevs_and_spices,
Pepper (piper spp.),agrc,bevs_and_spices,
Spices nes,agrc,bevs_and_spices,
Tea,agrc,bevs_and_spices,
"Tea, mate extracts",agrc,bevs_and_spices,
Vermouths & similar,agrc,bevs_and_spices,
Alcoholic Beverages,agrc,cereals,
Barley,agrc,cereals,
"Barley, pearled",agrc,cereals,
Beer of barley,agrc,cereals,
"Bran, maize",agrc,cereals,
"Bran, sorghum",agrc,cereals,
"Bran, wheat",agrc,cereals,
Bread,agrc,cereals,
Buckwheat,agrc,cereals,
Bulgur,agrc,cereals,
"Cake, maize",agrc,cereals,
Canary seed,agrc,cereals,
Cereal preparations,agrc,cereals,
Cereal preparations nes,agrc,cereals,
Cereals,agrc,cereals,
Cereals nes,agrc,cereals,
"Cereals, breakfast",agrc,cereals,
"Cereals, Total",agrc,cereals,
"Feed and meal, gluten",agrc,cereals,
Fibre crops nes,agrc,cereals,
Flax fibre and tow,agrc,cereals,
"Flour, cereals",agrc,cereals,
"Flour, maize",agrc,cereals,
"Flour, mixed grain",agrc,cereals,
"Flour, wheat",agrc,cereals,
Fonio,agrc,cereals,
"Food preparations, flour, malt extract",agrc,cereals,
"Germ, maize",agrc,cereals,
"Grain, mixed",agrc,cereals,
Macaroni,agrc,cereals,
Maize,agrc,cereals,
"Maize, green",agrc,cereals,
Malt,agrc,cereals,
Millet,agrc,cereals,
