ipcc_categories_level_0,ipcc_categories_level_1,ipcc_categories_level_2,ipcc_categories_level_3,ipcc_categories_level_4,ipcc_categories_level_5,synthetic_categories,aggregation_category,secondary_category,gas,ipcc_account,included_in_inv,use_synthetic,sisepuede_fields,notes
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.i - Electricity Generation,,,Electricity and Heat Generation,,ch4,1,1,0,emission_co2e_ch4_entc_generation_pp_biogas|emission_co2e_ch4_entc_generation_pp_biomass|emission_co2e_ch4_entc_generation_pp_coal|emission_co2e_ch4_entc_generation_pp_coal_ccs|emission_co2e_ch4_entc_generation_pp_gas|emission_co2e_ch4_entc_generation_pp_gas_ccs|emission_co2e_ch4_entc_generation_pp_geothermal|emission_co2e_ch4_entc_generation_pp_hydropower|emission_co2e_ch4_entc_generation_pp_nuclear|emission_co2e_ch4_entc_generation_pp_ocean|emission_co2e_ch4_entc_generation_pp_oil|emission_co2e_ch4_entc_generation_pp_solar|emission_co2e_ch4_entc_generation_pp_waste_incineration|emission_co2e_ch4_entc_generation_pp_wind,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.i - Electricity Generation,,,Electricity and Heat Generation,,co2,1,1,0,emission_co2e_co2_entc_generation_pp_biogas|emission_co2e_co2_entc_generation_pp_coal|emission_co2e_co2_entc_generation_pp_coal_ccs|emission_co2e_co2_entc_generation_pp_gas|emission_co2e_co2_entc_generation_pp_gas_ccs|emission_co2e_co2_entc_generation_pp_geothermal|emission_co2e_co2_entc_generation_pp_hydropower|emission_co2e_co2_entc_generation_pp_nuclear|emission_co2e_co2_entc_generation_pp_ocean|emission_co2e_co2_entc_generation_pp_oil|emission_co2e_co2_entc_generation_pp_solar|emission_co2e_co2_entc_generation_pp_waste_incineration|emission_co2e_co2_entc_generation_pp_wind,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.i - Electricity Generation,,,Electricity and Heat Generation,,n2o,1,1,0,emission_co2e_n2o_entc_generation_pp_biogas|emission_co2e_n2o_entc_generation_pp_biomass|emission_co2e_n2o_entc_generation_pp_coal|emission_co2e_n2o_entc_generation_pp_coal_ccs|emission_co2e_n2o_entc_generation_pp_gas|emission_co2e_n2o_entc_generation_pp_gas_ccs|emission_co2e_n2o_entc_generation_pp_geothermal|emission_co2e_n2o_entc_generation_pp_hydropower|emission_co2e_n2o_entc_generation_pp_nuclear|emission_co2e_n2o_entc_generation_pp_ocean|emission_co2e_n2o_entc_generation_pp_oil|emission_co2e_n2o_entc_generation_pp_solar|emission_co2e_n2o_entc_generation_pp_waste_incineration|emission_co2e_n2o_entc_generation_pp_wind,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.ii - Combined Heat and Power Generation (CHP),,,Electricity and Heat Generation,,ch4,1,1,0,,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.ii - Combined Heat and Power Generation (CHP),,,Electricity and Heat Generation,,co2,1,1,0,,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.ii - Combined Heat and Power Generation (CHP),,,Electricity and Heat Generation,,n2o,1,1,0,,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.iii - Heat Plants,,,Electricity and Heat Generation,,ch4,1,1,0,,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.iii - Heat Plants,,,Electricity and Heat Generation,,co2,1,1,0,,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.a - Main Activity Electricity and Heat Production,1.A.1.a.iii - Heat Plants,,,Electricity and Heat Generation,,n2o,1,1,0,,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.b - Petroleum Refining,,,,Fuel Production,,ch4,1,1,0,emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.b - Petroleum Refining,,,,Fuel Production,,co2,1,1,0,emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_petroleum_refinement,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.b - Petroleum Refining,,,,Fuel Production,,n2o,1,1,0,emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.c - Manufacture of Solid Fuels and Other Energy Industries,1.A.1.c.i - Manufacture of Solid Fuels,,,Fuel Production,,ch4,1,1,0,emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal,
1 - Energy,1.A - Fuel Combustion Activities,1.A.1 - Energy Industries,1.A.1.c - Manufacture of Solid Fuels and Other Energy Industries,1.A.1.c.i - Manufacture of Solid Fuels,,,Fuel Production,,co2,1,1,0,emission_co2e_co2_entc_mining_and_extraction_me_coal,
