time_period,area_gnrl_country_ha,climate_change_factor_gnrl_hydropower_availability,elasticity_gnrl_rate_occupancy_to_gdppc,frac_gnrl_eating_red_meat,gdp_mmm_usd,limit_gnrl_annual_emissions_mt_ch4,limit_gnrl_annual_emissions_mt_co2,limit_gnrl_annual_emissions_mt_n2o,occrateinit_gnrl_occupancy,population_gnrl_rural,population_gnrl_urban,va_commercial_mmm_usd,va_industrial_mmm_usd,va_manufacturing_mmm_usd,va_mining_mmm_usd
0,5113100.0,1.0,-0.1,1.0,54.82991961,-999.0,-999.0,-999.0,3.145207224,1939122.0,2908682.0,38.83107386,10.64896106,6.239061372,2.954671495
1,5113100.0,1.0,-0.1,0.99,57.15799243,-999.0,-999.0,-999.0,3.145207224,1935241.0,2964104.0,40.7395256,10.93995588,6.518427514,3.080126548
2,5113100.0,1.0,-0.1,0.98,59.09975329,-999.0,-999.0,-999.0,3.145207224,1930482.0,3019472.0,42.25398672,11.22497854,6.936925587999999,3.183768001
3,5113100.0,1.0,-0.1,0.97,60.65643192,-999.0,-999.0,-999.0,3.145207224,1924785.0,3074656.0,43.09221382,11.80920172,7.196583448999999,3.266669999
4,5113100.0,1.0,-0.1,0.96,62.43010326,-999.0,-999.0,-999.0,3.145207224,1917502.0,3128555.0,44.39106086,12.14492665,7.402811149,3.361588594
5,5113100.0,1.0,-0.1,0.95,64.18828134,-999.0,-999.0,-999.0,3.145207224,1909226.0,3182044.0,45.67741973,12.47977591,7.607812281,3.455923617
6,5113100.0,1.0,-0.1,0.94,66.12371693,-999.0,-999.0,-999.0,3.145207224,1899964.0,3235075.0,47.09170214,12.84997243,7.833481796,3.560140589
7,5113100.0,1.0,-0.1,0.93,68.18433178,-999.0,-999.0,-999.0,3.145207224,1889752.0,3287652.0,48.59598329,13.2460467,8.074160761,3.67142209
8,5113100.0,1.0,-0.1,0.92,70.45918688,-999.0,-999.0,-999.0,3.145207224,1878616.0,3339763.0,50.25520448,13.68496934,8.340166596,3.794604334
9,5113100.0,1.0,-0.1,0.91,72.95089139,-999.0,-999.0,-999.0,3.145207224,1866592.0,3391415.0,52.07124644,14.16767585,8.632126083,3.929847167
10,5113100.0,1.0,-0.1,0.9,75.53079502,-999.0,-999.0,-999.0,3.145207224,1853714.0,3442611.0,53.95028727,14.67048758,8.935810938,4.07019666
11,5113100.0,1.0,-0.1,0.89,78.20202249,-999.0,-999.0,-999.0,3.145207224,1840003.0,3493338.0,55.89469218,15.19425785,9.251868678,4.215823087
12,5113100.0,1.0,-0.1,0.88,80.96780859999998,-999.0,-999.0,-999.0,3.145207224,1825469.0,3543557.0,57.90688651,15.73988515,9.580973605,4.366906548
13,5113100.0,1.0,-0.1,0.87,83.83150208,-999.0,-999.0,-999.0,3.145207224,1810127.0,3593238.0,59.98936838,16.30831534,9.923833127,4.5236353
14,5113100.0,1.0,-0.1,0.86,86.79656948,-999.0,-999.0,-999.0,3.145207224,1793994.0,3642352.0,62.14470074,16.9005455,10.28118606,4.686207257
15,5113100.0,1.0,-0.1,0.85,89.86659940000001,-999.0,-999.0,-999.0,3.145207224,1777085.0,3690869.0,64.37550593,17.51762663,10.65380161,4.854831048
16,5113100.0,1.0,-0.1,0.84,93.04530679999999,-999.0,-999.0,-999.0,3.145207224,1759419.0,3738764.0,66.68447044,18.16066381,11.04248122,5.029725587
17,5113100.0,1.0,-0.1,0.83,96.33653732,-999.0,-999.0,-999.0,3.145207224,1741025.0,3786038.0,69.07436058,18.83081376,11.44806257,5.211118257
18,5113100.0,1.0,-0.1,0.82,99.74427207,-999.0,-999.0,-999.0,3.145207224,1721923.0,3832667.0,71.54799061,19.52929278,11.87141183,5.399249713
19,5113100.0,1.0,-0.1,0.81,103.2726323,-999.0,-999.0,-999.0,3.145207224,1702153.0,3878676.0,74.10827634,20.25736572,12.31343688,5.594366965
20,5113100.0,1.0,-0.1,0.8,106.9258845,-999.0,-999.0,-999.0,3.145207224,1681739.0,3924057.0,76.75818214,21.01636007,12.77507543,5.796731138999999
