subsector,se,integrated_afolu,lsmm,soil,waso,wali,trww,prod,prod_w_adj,ippu,inen,trde,trns,scoe,ccsq,entc,enfu,enst,fgtv
se,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
integrated_afolu,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lsmm,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
soil,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waso,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
wali,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
trww,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
prod,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
prod_w_adj,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
ippu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
inen,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
trde,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
trns,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
scoe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ccsq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
entc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
enfu,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
enst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
fgtv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
