r,l,pp_hydropower,pp_solar,pp_biogas,pp_biomass,pp_coal,pp_gas,pp_geothermal,pp_nuclear,pp_ocean,pp_oil,pp_waste_incineration,pp_wind
afghanistan,dec_feb_wd0,0.393157519,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,dec_feb_wd12,0.393157519,0.474319806,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,dec_feb_wd18,0.393157519,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,dec_feb_wd6,0.393157519,0.180693259,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,dec_feb_we0,0.393157519,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,dec_feb_we12,0.393157519,0.474319806,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,dec_feb_we18,0.393157519,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,dec_feb_we6,0.393157519,0.180693259,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,jun_aug_wd0,0.203096431,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,jun_aug_wd12,0.203096431,0.55852785,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,jun_aug_wd18,0.203096431,0.046543988,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,jun_aug_wd6,0.203096431,0.345755336,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,jun_aug_we0,0.203096431,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,jun_aug_we12,0.203096431,0.55852785,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,jun_aug_we18,0.203096431,0.046543988,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,jun_aug_we6,0.203096431,0.345755336,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,mar_may_wd0,0.638449198,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,mar_may_wd12,0.638449198,0.506826923,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,mar_may_wd18,0.638449198,0.042235577,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,mar_may_wd6,0.638449198,0.31375,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,mar_may_we0,0.638449198,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,mar_may_we12,0.638449198,0.506826923,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,mar_may_we18,0.638449198,0.042235577,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,mar_may_we6,0.638449198,0.31375,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,sep_nov_wd0,0.239980017,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,sep_nov_wd12,0.239980017,0.544042346,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,sep_nov_wd18,0.239980017,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,sep_nov_wd6,0.239980017,0.328152526,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,sep_nov_we0,0.239980017,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,sep_nov_we12,0.239980017,0.544042346,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,sep_nov_we18,0.239980017,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
afghanistan,sep_nov_we6,0.239980017,0.328152526,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,dec_feb_wd0,0.513873845,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,dec_feb_wd12,0.513873845,0.454872203,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,dec_feb_wd18,0.513873845,0.037906017,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,dec_feb_wd6,0.513873845,0.20577552,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,dec_feb_we0,0.513873845,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,dec_feb_we12,0.513873845,0.454872203,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,dec_feb_we18,0.513873845,0.037906017,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,dec_feb_we6,0.513873845,0.20577552,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,jun_aug_wd0,0.378297765,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,jun_aug_wd12,0.378297765,0.64881933,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,jun_aug_wd18,0.378297765,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,jun_aug_wd6,0.378297765,0.202229402,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,jun_aug_we0,0.378297765,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,jun_aug_we12,0.378297765,0.64881933,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,jun_aug_we18,0.378297765,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,jun_aug_we6,0.378297765,0.202229402,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,mar_may_wd0,0.532452472,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,mar_may_wd12,0.532452472,0.612265461,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,mar_may_wd18,0.532452472,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,mar_may_wd6,0.532452472,0.190835988,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,mar_may_we0,0.532452472,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,mar_may_we12,0.532452472,0.612265461,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,mar_may_we18,0.532452472,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,mar_may_we6,0.532452472,0.190835988,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,sep_nov_wd0,0.279847348,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,sep_nov_wd12,0.279847348,0.503015407,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,sep_nov_wd18,0.279847348,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,sep_nov_wd6,0.279847348,0.24824137,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,sep_nov_we0,0.279847348,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,sep_nov_we12,0.279847348,0.503015407,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,sep_nov_we18,0.279847348,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
angola,sep_nov_we6,0.279847348,0.24824137,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_wd0,0.470463013,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_wd12,0.470463013,0.384908002,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_wd18,0.470463013,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_wd6,0.470463013,0.075719607,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_we0,0.470463013,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_we12,0.470463013,0.384908002,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_we18,0.470463013,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,dec_feb_we6,0.470463013,0.075719607,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_wd0,0.210359894,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_wd12,0.210359894,0.476587566,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_wd18,0.210359894,0.169894642,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_wd6,0.210359894,0.244282648,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_we0,0.210359894,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_we12,0.210359894,0.476587566,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_we18,0.210359894,0.169894642,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,jun_aug_we6,0.210359894,0.244282648,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_wd0,0.501567916,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_wd12,0.501567916,0.462536571,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_wd18,0.501567916,0.087796294,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
albania,mar_may_wd6,0.501567916,0.179263512,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
