r,f,l,val
afghanistan,fuel_electricity,dec_feb_wd0,0.0446177742019018
afghanistan,fuel_electricity,dec_feb_wd12,0.0486702950682027
afghanistan,fuel_electricity,dec_feb_wd18,0.0464133773209229
afghanistan,fuel_electricity,dec_feb_wd6,0.0443104313397589
afghanistan,fuel_electricity,dec_feb_we0,0.0170143456728958
afghanistan,fuel_electricity,dec_feb_we12,0.0185597161468656
afghanistan,fuel_electricity,dec_feb_we18,0.0176990730647219
afghanistan,fuel_electricity,dec_feb_we6,0.0168971448983136
afghanistan,fuel_electricity,jun_aug_wd0,0.0464084680646253
afghanistan,fuel_electricity,jun_aug_wd12,0.0506236331769392
afghanistan,fuel_electricity,jun_aug_wd18,0.0482761360847454
afghanistan,fuel_electricity,jun_aug_wd6,0.0460887902757221
afghanistan,fuel_electricity,jun_aug_we0,0.0176972009905287
afghanistan,fuel_electricity,jun_aug_we12,0.0193045935055543
afghanistan,fuel_electricity,jun_aug_we18,0.0184094092946171
afghanistan,fuel_electricity,jun_aug_we6,0.0175752964692557
afghanistan,fuel_electricity,mar_may_wd0,0.0420717820048075
afghanistan,fuel_electricity,mar_may_wd12,0.0458930567659693
afghanistan,fuel_electricity,mar_may_wd18,0.0437649239049112
afghanistan,fuel_electricity,mar_may_wd6,0.041781976828998
afghanistan,fuel_electricity,mar_may_we0,0.0160434682121369
afghanistan,fuel_electricity,mar_may_we12,0.0175006563139752
afghanistan,fuel_electricity,mar_may_we18,0.0166891234936234
afghanistan,fuel_electricity,mar_may_we6,0.0159329551816862
afghanistan,fuel_electricity,sep_nov_wd0,0.042436618298573
afghanistan,fuel_electricity,sep_nov_wd12,0.0462910302280431
afghanistan,fuel_electricity,sep_nov_wd18,0.0441444427147533
afghanistan,fuel_electricity,sep_nov_wd6,0.0421443000025386
afghanistan,fuel_electricity,sep_nov_we0,0.0161825932789333
afghanistan,fuel_electricity,sep_nov_we12,0.0176524177627136
afghanistan,fuel_electricity,sep_nov_we18,0.0168338475264897
afghanistan,fuel_electricity,sep_nov_we6,0.016071121906275
albania,fuel_electricity,dec_feb_wd0,0.0457887732199526
albania,fuel_electricity,dec_feb_wd12,0.0499476529990401
albania,fuel_electricity,dec_feb_wd18,0.0476315021655483
albania,fuel_electricity,dec_feb_wd6,0.0454733641062718
albania,fuel_electricity,dec_feb_we0,0.0174608892854387
albania,fuel_electricity,dec_feb_we12,0.0190468181991762
albania,fuel_electricity,dec_feb_we18,0.0181635874325928
albania,fuel_electricity,dec_feb_we6,0.0173406125619907
albania,fuel_electricity,jun_aug_wd0,0.0458983230309471
albania,fuel_electricity,jun_aug_wd12,0.0500671529454434
albania,fuel_electricity,jun_aug_wd18,0.0477454607124294
albania,fuel_electricity,jun_aug_wd6,0.0455821592997834
albania,fuel_electricity,jun_aug_we0,0.0175026645282875
albania,fuel_electricity,jun_aug_we12,0.0190923877828762
albania,fuel_electricity,jun_aug_we18,0.0182070438833839
albania,fuel_electricity,jun_aug_we6,0.0173821000423293
albania,fuel_electricity,mar_may_wd0,0.0415038840147342
albania,fuel_electricity,mar_may_wd12,0.0452735780214575
albania,fuel_electricity,mar_may_wd18,0.0431741713592152
albania,fuel_electricity,mar_may_wd6,0.0412179907192639
albania,fuel_electricity,mar_may_we0,0.0158269084916469
albania,fuel_electricity,mar_may_we12,0.0172644270155696
albania,fuel_electricity,mar_may_we18,0.016463848517464
albania,fuel_electricity,mar_may_we6,0.0157178872004304
albania,fuel_electricity,sep_nov_wd0,0.0423436623042737
albania,fuel_electricity,sep_nov_wd12,0.0461896312732133
albania,fuel_electricity,sep_nov_wd18,0.0440477457881398
albania,fuel_electricity,sep_nov_wd6,0.0420519843216985
albania,fuel_electricity,sep_nov_we0,0.0161471458491216
albania,fuel_electricity,sep_nov_we12,0.0176137507314866
albania,fuel_electricity,sep_nov_we18,0.0167969735460114
albania,fuel_electricity,sep_nov_we6,0.0160359186507801
algeria,fuel_electricity,dec_feb_wd0,0.0431047548358423
algeria,fuel_electricity,dec_feb_wd12,0.0470198519363514
algeria,fuel_electricity,dec_feb_wd18,0.0448394678199018
algeria,fuel_electricity,dec_feb_wd6,0.0428078341812335
algeria,fuel_electricity,dec_feb_we0,0.0164373775259096
algeria,fuel_electricity,dec_feb_we12,0.0179303434257678
algeria,fuel_electricity,dec_feb_we18,0.0170988853416175
algeria,fuel_electricity,dec_feb_we6,0.0163241511100853
algeria,fuel_electricity,jun_aug_wd0,0.0454596160949882
