Item Code,Item,KT CO2e Brazil 2019 (e.g.),,,,
5058,Enteric Fermentation,355082.6394,,,1,355082.6394
5059,Manure Management,12716.0083,,,1,12716.0083
5060,Rice Cultivation,3110.3739,,,1,3110.3739
5061,Synthetic Fertilizers,26935.7654,,,1,26935.7654
5062,Manure applied to Soils,9391.9169,,,1,9391.9169
5063,Manure left on Pasture,91016.3455,,,1,91016.3455
5064,Crop Residues,12828.4328,,,1,12828.4328
5066,Burning - Crop residues,2433.8286,,,1,2433.8286
6729,Drained organic soils,412.8578,,,1,412.8578
6750,Net Forest conversion,653402.772,,,1,653402.772
6751,Forestland,-269412.8448,,,1,-269412.8448
6795,Savanna fires,12101.0134,,,1,12101.0134
69921,Fires in humid tropical forests,9865.5627,,,0,0
6992,Forest fires,10057.3703,,,1,10057.3703
6993,Fires in organic soils,13380.4935,,,1,13380.4935
6994,On-farm energy use,26742.1954,,,0,0
1711,IPCC Agriculture,525712.7336,,,0,0
1709,Agricultural Soils,140268.8699,,,0,0
1707,LULUCF,407744.2395,,,0,0
6824,AFOLU,933456.973,,,-1,-933456.973
6995,Emissions on agricultural land,1229420.206,,,0,0
6996,Farm-gate emissions,552771.3774,,,0,0
,,,,,,-2.32831E-10
