subsector,variable,sum_group,sum_restriction_by_group,var_in_01_interval,parameter_constant_q,Fixed Parameter,Calibration,Calibration_in_integrated_only,Parameter That Needs Better Starting Value Before Calibration,Historical Data ,Historical Data for Initial Time Period Future Projections,Output from other Models,Fixed in Calibration (future lever),Notes,Min Scalar,Max Scalar
Liquid Waste,density_wali_kg_n_per_m3_ww_industrial,,,,,,1.0,,,,,,,,0.5,2.0
Liquid Waste,elasticity_protein_in_diet_to_gdppc,,,,,,,,1.0,,,,,,0.8,1.2
Liquid Waste,frac_wali_protein_in_diet_with_red_meat,,,1.0,,,1.0,,,,,,,,1.0,1.0
Liquid Waste,frac_wali_protein_in_diet_without_red_meat,,,1.0,,,1.0,,,,,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_advanced_aerobic,,,,,,,,,,,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_advanced_anaerobic,,,,,,,,,,,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_latrine_improved,1.0,=1,,,,,,,,1.0,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,1.0,=1,,,,,,,,1.0,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_primary,,,,,,,,,,,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_secondary_aerobic,,,,,,,,,,,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_secondary_anaerobic,,,,,,,,,,,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_septic,1.0,=1,,,,,,,,1.0,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,1.0,=1,,,,,,,,1.0,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,1.0,=1,,,,,,,,1.0,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_advanced_aerobic,,,,,,,,,,,,,,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_advanced_anaerobic,,,,,,,,,,,,,,1.0,1.0
