subsector,variable,sum_group,uniform_scaling_q,calib_scalar_min,calib_scalar_max,calib,var_in_01_interval
Liquid Waste,density_wali_kg_n_per_m3_ww_industrial,,,0.2,5.0,1.0,0.0
Liquid Waste,elasticity_protein_in_diet_to_gdppc,,,0.8,1.2,1.0,0.0
Liquid Waste,frac_wali_protein_in_diet_with_red_meat,,,1.0,1.0,1.0,1.0
Liquid Waste,frac_wali_protein_in_diet_without_red_meat,,,1.0,1.0,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_advanced_aerobic,,,,,,
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_advanced_anaerobic,,,,,,
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_latrine_improved,1.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,1.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_primary,,,,,,
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_secondary_aerobic,,,,,,
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_secondary_anaerobic,,,,,,
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_septic,1.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,1.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,1.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_advanced_aerobic,,,,,,
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_advanced_anaerobic,,,,,,
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_latrine_improved,2.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,2.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_primary,,,,,,
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_secondary_aerobic,,,,,,
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_secondary_anaerobic,,,,,,
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_septic,2.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,2.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage,2.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_industrial_treatment_path_advanced_aerobic,,,,,,
Liquid Waste,frac_wali_ww_industrial_treatment_path_advanced_anaerobic,,,,,,
Liquid Waste,frac_wali_ww_industrial_treatment_path_latrine_improved,3.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_industrial_treatment_path_latrine_unimproved,3.0,,0.7,1.3,1.0,1.0
Liquid Waste,frac_wali_ww_industrial_treatment_path_primary,,,,,,
Liquid Waste,frac_wali_ww_industrial_treatment_path_secondary_aerobic,,,,,,
Liquid Waste,frac_wali_ww_industrial_treatment_path_secondary_anaerobic,,,,,,
Liquid Waste,frac_wali_ww_industrial_treatment_path_septic,3.0,,0.7,1.3,1.0,1.0
